run_id,status,partition,supervision,architecture,checkpoint_selection,threshold,mean_tumor_dice,mean_tumor_iou,normal_specificity,notes
legacy_hybrid_wsss,diagnostic_invalid,legacy_val_374,CAM_SAM_pseudo,UNet,legacy_all_image_val_dice,0.5,0.1775616776,0.1119777329,0.0,"Leakage in legacy split; predicts non-empty mask for every normal image"
legacy_hybrid_supervised,diagnostic_invalid,legacy_val_374,GT_polygon,UNet,legacy_all_image_val_dice,0.5,0.0740079784,0.0451942843,0.2074468085,"Leakage in legacy split; best epoch 1 and stopped before credible convergence"
legacy_notebook_pseudo,diagnostic_unverified,legacy_val_374,CAM_SAM_pseudo,UNet,unknown,0.5,0.2481343959,0.1878501718,0.9361702128,"Notebook value; incomplete manifest"
legacy_notebook_supervised,diagnostic_unverified,legacy_val_374,GT_polygon,UNet,unknown,0.5,0.3245866065,0.2282406,0.1543,"Notebook value; incomplete manifest"
fs_resnet18_pw20_clean_seed42,paused_inconclusive,clean_val_371,GT_polygon,ResNet18UNet,val_tumor_dice_then_val_threshold,0.65,0.3262653238,0.2468842018,0.6524064171,"Supervised diagnostic paused after only 5 epochs; early over-segmentation is evidence for calibration risk but not convergence; eligible to resume under learning-curve gate; clean split hash 85511ee1..."
fs_resnet18_pw10_clean_seed42,hardware_interrupted_resume_ready,clean_val_371,GT_polygon,ResNet18UNet,val_tumor_dice,0.5,0.3177951202,,,"Only pos_weight changed from 20 to 10; epochs 1-5 completed; best epoch 4; NVIDIA 610.47 still produced nvlddmkm 14/153 plus bugcheck 0x133; epoch-5 checkpoint CPU-load verified; model remains inconclusive"
fs_resnet18_pw10_full_320_e10,screened_superseded,clean_val_371,GT_polygon,ResNet18UNet,val_tumor_dice_then_val_threshold,0.45,0.3850080019,0.2972620495,0.5187165775,"Kaggle T4; full train population; small-lesion Dice 0.1746308828; test untouched"
fs_resnet18_pw10_tumor_only_320_e10,rejected_purged,clean_val_371,GT_polygon,ResNet18UNet,val_tumor_dice_then_val_threshold,0.60,0.3771495833,0.2908883696,0.5828877005,"Worse overall and small-lesion Dice 0.1444527609 than full-320; runtime/CLI/filter/test and checkpoint artifacts removed; compact evidence retained"
fs_resnet18_pw10_full_448_e10,promoted_resume_in_progress,clean_val_371,GT_polygon,ResNet18UNet,val_tumor_dice_then_val_threshold,0.75,0.4183156334,0.3230857721,0.6256684492,"Kaggle T4; small-lesion Dice 0.2490390342; epoch-10 curve still improving; resume checkpoint SHA256 8278865e...; test untouched"
fs_resnet18_pw10_full_448_e20,current_validation_winner,clean_val_371,GT_polygon,ResNet18UNet,val_tumor_dice_then_val_threshold,0.20,0.4951316963,0.3932623939,0.5561497326,"Kaggle T4 continuation; best epoch 20, early stop epoch 30; small/medium/large Dice 0.3289549325/0.6624417784/0.6937033566; selected Dice group-bootstrap 95% CI 0.4428268900-0.5461137726; checkpoint SHA256 05606a0a...; test untouched"
fs_resnet18_pw10_full_448_e20_blind_blend50,rejected_purged,clean_val_371,GT_polygon,ResNet18UNet,frozen_checkpoint_then_val_threshold,0.40,0.4953371473,0.3919521569,0.4705882353,"Predeclared 50/50 full plus uniform blind 3x3 tiling; raw delta +0.0002054510 but paired group-bootstrap 95% CI -0.0132936291 to +0.0149442548; small Dice +0.0152059019 but medium/large and normal specificity worsened; test untouched; runtime purged"
btxrd_clean_binary_classifier_v1,promoted_to_gate_c,clean_val_371,image_level_binary_tumor,DenseNet121,val_tumor_f1_fixed_probability,0.50,,,,"Classifier diagnostic, not segmentation Dice: epoch 11 F1 0.7833333333, sensitivity 0.7663043478, specificity 0.8128342246, AUROC 0.8654528017; TP/FP/FN/TN 141/35/43/152; checkpoint SHA256 f62d3702...; test untouched"
fs_resnet18_pw10_crop60_full,diagnostic_not_promoted,clean_val_371,GT_polygon_crop_training,ResNet18UNet,val_tumor_dice_then_val_threshold,0.20,0.5155799970,0.4192700264,0.5240641711,"Fully supervised upper-bound only; paired delta vs CURRENT +0.0204483007 with 95% CI -0.0123973802 to +0.0527633776; checkpoint epoch 12 SHA256 ec2cdd1f...; test untouched"
fs_resnet18_pw10_crop60_blend50,diagnostic_not_promoted,clean_val_371,GT_polygon_crop_training,ResNet18UNet,val_tumor_dice_then_val_threshold,0.30,0.5268559713,0.4231738872,0.4171122995,"Fully supervised upper-bound only; paired delta +0.0317242750 with 95% CI -0.0008387065 to +0.0648922460; specificity materially worse; not a WSSS result; test untouched"
btxrd_binary_cam_sam_image_label_v1,gate_c_baseline,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,image_label_fixed_recipe,0.40,0.2023038352,0.1472105124,1.0,"All 184 tumors count; SAM oracle candidate Dice 0.3809186551 vs selected 0.2010835193; selection loss 0.1588909457; known normals explicitly empty; test untouched"
btxrd_binary_cam_sam_predicted_v1,diagnostic,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,predicted_gate_fixed_0.5,0.40,0.1704311003,0.1242047632,0.8181818182,"End-to-end includes 43/184 classifier false negatives as zero masks; conditional Dice on 141 reached tumors 0.2224065422; test untouched"
btxrd_binary_cam_sam_global_top1_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,image_label_global_top1,0.40,0.1777293956,0.1338259997,1.0,"Paired delta vs best-per-component baseline -0.0245744396 with 95% CI -0.0493509738 to -0.0012575416; oracle unchanged but selection loss worsened; test untouched"
btxrd_binary_cam_sam_prompt_hybrid_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,image_label_prompt_hybrid,0.40,0.1118186396,0.0746580600,1.0,"Paired delta vs baseline -0.0904851956 with independently reproduced 95% CI -0.1242405321 to -0.0558622391; oracle unchanged at 0.3809186551 but selection loss rose to 0.2495634445; test untouched"
btxrd_binary_cam_sam_tta_flip_v1,promoted_within_gate_c,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,image_label_tta_flip,0.40,0.2343392222,0.1732056760,1.0,"Paired delta vs Gate-C baseline +0.0320353870 with independently reproduced 95% CI +0.0085405304 to +0.0573916861; oracle Dice 0.4090762905; small/medium/large all improved; test untouched"
btxrd_binary_cam_sam_tta_flip_cam_candidate_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,image_label_tta_flip_plus_cam_candidate,0.40,0.2306616510,0.1697241857,1.0,"Paired delta vs TTA-only -0.0036775712 with independently reproduced 95% CI -0.0084839943 to +0.0005739561; all lesion-size subgroups decreased; test untouched"
btxrd_wsss_train_pseudo_v1,gate_d_training_input,clean_train_2981,image_level_binary_tumor,LayerCAM_SAM,checksum_bound_manifest,,,,,"2981 hash-verified masks; 1463 non-empty and 25 empty tumor masks; 1493 explicit empty normal masks; manifest SHA256 7b0b133e...; train polygons/validation/test untouched"
btxrd_wsss_segmenter_v1_k1,runtime_error_repaired,pretrain_start,checksum_bound_pseudo,ResNet18UNet,not_reached,,,,,"Stopped before epoch 1 because the validator conflated 320px pseudo source grid with 448px consumer grid; narrow source-grid validation/nearest-resize repair only; no scientific variable or test access changed"
btxrd_wsss_pseudo_morphology_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,image_label_tta_flip_plus_erosion,0.40,0.2246593401,,1.0,"Best erosion candidate was 3px but reduced Dice by -0.0096798820 with paired tumor-group 95% CI -0.0172828969 to -0.0031285875; wider 5/7/9px erosion was progressively worse; original 0.2343392222 retained; test untouched"
btxrd_wsss_segmenter_v1_k2,completed_result_wrapper_error,clean_val_371,checksum_bound_pseudo,ResNet18UNet,val_positive_dice_fixed_0.5_then_val_threshold,0.85,0.2300198701,0.1654705282,0.5133689840,"Training completed 23 epochs; best epoch 13 fixed Dice 0.2172072031; selected 95% CI 0.1857288351 to 0.2750307254; train positive Dice reached 0.7381718686 but small-lesion Dice only 0.0710014171; outer wrapper failed only because current evaluator omits optional missing key; 371/184/187 outputs verified; test untouched"
btxrd_binary_cam_sam_causal_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,image_label_tta_flip_plus_classifier_causal_rank,0.40,0.2267174872,0.1638773059,1.0,"Candidate decreased Dice by -0.0076217350 versus promoted flip-TTA 0.2343392222; paired tumor-group 95% CI -0.0270798054 to +0.0117573222; promotion rule false; test untouched"
btxrd_binary_adversarial_climbing_cam_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,image_label_tta_flip_plus_target_logit_climbing,0.40,0.2489722614,0.1813603732,1.0,"Point delta +0.0146330392 versus promoted flip-TTA, but paired tumor-group 95% CI -0.0187006140 to +0.0476416375 crosses zero; small-lesion Dice fell by -0.0475064946; test untouched"
btxrd_binary_advcam_dual_selection_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,expanded_proposals_plus_baseline_cam_ranking,0.40,0.2424091257,0.1792959080,1.0,"Point delta +0.0080699035 versus promoted flip-TTA, but paired 95% CI -0.0177663368 to +0.0336182788 crosses zero and small-lesion Dice fell by -0.0116827063; test untouched"
btxrd_binary_advcam_split_selector_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,expanded_eligibility_plus_baseline_within_component_ranking,0.40,0.2387746569,0.1742675195,1.0,"Point delta +0.0044354347 versus promoted flip-TTA, but paired 95% CI -0.0271092059 to +0.0354617169 crosses zero and small-lesion Dice fell by -0.0447992986; test untouched"
btxrd_clean_binary_classifier_448_v1,advanced_to_gate_c,clean_val_371,image_level_binary_tumor,DenseNet121,val_tumor_f1_fixed_probability,0.50,,,,"Controlled 320-to-448px resolution ablation: epoch 12 F1 0.7959183673, sensitivity 0.8478260870, specificity 0.7219251337, AUROC 0.8665717275; checkpoint SHA256 bb70912c...; classification alone is not segmentation evidence; test untouched"
btxrd_binary_cam_sam_classifier448_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,448px_classifier_plus_promoted_flip_tta_recipe,0.40,0.2296019980,0.1642036165,1.0,"Delta -0.0047372242 versus 320px promoted flip-TTA; paired 95% CI -0.0415031583 to +0.0320557694; small +0.0018854426, medium +0.0015835381, large -0.0646053111; test untouched"
btxrd_binary_advcam_regularized_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,flip_tta_plus_activation_regularized_climbing,0.40,0.2307861310,0.1667048627,1.0,"Delta -0.0035530912 versus promoted flip-TTA; paired 95% CI -0.0289307324 to +0.0207423190; small -0.0399829922, medium +0.0275501896, large +0.0622788244; official AD coefficient 7/threshold 0.5; test untouched"
btxrd_s2c_binary_classifier_v1,advanced_to_gate_c,clean_val_371,image_level_binary_tumor_plus_train_only_SAM_regions,DenseNet121,val_tumor_f1_fixed_probability,0.50,,,,"BCE plus S2C SSC weight/temperature 1 on final 10x10 DenseNet features; epoch 10 F1 0.8201058201 versus baseline 0.7833333333; sensitivity 0.8423913043, specificity 0.7914438503; checkpoint SHA256 6c1562a4...; train polygons/validation polygons/test untouched"
btxrd_s2c_gate_c_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,S2C_SSC_classifier_plus_promoted_flip_tta_recipe,0.40,0.2334851256,0.1649322436,1.0,"Delta -0.0008540966 versus promoted flip-TTA; paired 95% CI -0.0312535770 to +0.0291092193; small -0.0487671999, medium +0.0476879964, large +0.0551904038; final-feature SSC increased recall but doubled small predicted area and reduced small oracle/selected quality; test untouched"
btxrd_s2c_cpm_classifier_v1,advanced_to_gate_c,clean_val_371,image_level_binary_tumor_plus_train_only_SAM_regions_and_point_masks,DenseNet121_FPN_direct_CAM,val_tumor_f1_fixed_probability,0.50,,,,"BCE plus S2C SSC plus CPM, each weight 1; epoch 3 F1 0.7473684211 versus baseline 0.7833333333; sensitivity +0.0054347826, specificity -0.1016042781; independently verified checkpoint SHA256 7da19e9c...; classification is diagnostic only; train/validation polygons and test untouched"
btxrd_s2c_cpm_gate_c_v1,rejected,clean_val_371,image_level_binary_tumor,LayerCAM_SAM,S2C_SSC_CPM_classifier_plus_frozen_gate_c_recipe,0.40,0.1643982371,0.1175874562,1.0,"Delta -0.0699409850 versus promoted flip-TTA baseline; paired complete-group bootstrap 95% CI -0.1088206332 to -0.0322901766; small/medium/large deltas -0.0825044780/-0.0632940569/-0.0309193456; missing 0; test untouched"
