subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.6645141353044857,0.5433075872722246,0.8422937003866345,0.5965525084209288,76.66664843283459,23.4297945841265,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,1.0,0.925,0.8085106382978723,40,37,47,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.986762508753342,0.8466587538789343,0.6358015576633439,236824,42892,135657,3197299,0.8,0.6808510638297872,0.735632183908046,32,0.625,0.5319148936170213,0.5747126436781609,25,0.525,0.44680851063829785,0.4827586206896552,21,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.6580995563684144,0.5457769205313348,0.7244841454586497,0.6915439220626004,58.116349614196004,17.03664119720096,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,69,3,3,0.9583333333333334,0.9305555555555556,0.9146341463414634,0.719626168224299,82,75,107,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9935261042809702,0.728056692463048,0.7003679315028455,244413,91293,104565,14010417,0.8780487804878049,0.6728971962616822,0.7619047619047619,72,0.7926829268292683,0.6074766355140186,0.6878306878306878,65,0.6219512195121951,0.4766355140186916,0.5396825396825397,51,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,111,0,0.0,{},0.6096256684491979,0.39037433155080214,0.9989998574003465,0.0,,0,37537,0,37494111,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.3277105043636287,0.2406751399655487,0.3533572423123954,0.44008917803071806,85.70754177642375,39.19711356465542,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,78,16,16,0.8297872340425532,0.7021276595744681,0.6761904761904762,0.5669291338582677,105,71,127,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9976010830303824,0.21853216404614878,0.38176104429806007,12634,45179,20460,18787903,0.5904761904761905,0.4881889763779528,0.5344827586206896,62,0.44761904761904764,0.3700787401574803,0.4051724137931034,47,0.21904761904761905,0.18110236220472442,0.19827586206896552,23,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.4440517125396067,0.3483330238680873,0.47188460974287566,0.5366156456358981,77.7907406020727,32.7088750386524,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,116,15,15,0.8854961832061069,0.7786259541984732,0.7467532467532467,0.4,154,115,290,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.593939393939394,0.40606060606060607,0.9975790983021848,0.6289212174075574,0.6681117214905024,242268,142944,120348,58902824,0.6688311688311688,0.35517241379310344,0.46396396396396394,103,0.5584415584415584,0.296551724137931,0.38738738738738737,86,0.38311688311688313,0.20344827586206896,0.26576576576576577,59,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.6435759277115253,0.5221340473055371,0.7792037841615623,0.6272438124994112,59.75505938022517,16.48898851959498,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,1.0,1.0,0.6818181818181818,43,43,66,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.625,0.375,0.9941354225517162,0.737411313891685,0.6726669446489881,151642,53999,73792,9153655,0.9302325581395349,0.6060606060606061,0.7339449541284404,40,0.6744186046511628,0.4393939393939394,0.5321100917431193,29,0.4883720930232558,0.3181818181818182,0.3853211009174312,21,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.5467082637473598,0.449143473305756,0.6621602123646465,0.5525582958721378,66.61573906134372,19.402847476285743,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,4,4,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.7222222222222222,30,25,36,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.996340136605804,0.8335709937541174,0.6003555491492646,99961,19958,66542,5433251,0.7666666666666667,0.6388888888888888,0.696969696969697,23,0.7333333333333333,0.6111111111111112,0.6666666666666666,22,0.5,0.4166666666666667,0.45454545454545453,15,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.037161621015537404,0.018932593438877102,0.9666666666666667,0.018944961620120857,85.98950621570293,42.51450362029298,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.9999794430083102,0.9666666666666667,0.018944961620120857,116,4,6007,194577,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.5542792164611058,0.45089358765120924,0.6043292166837163,0.6266686937571686,97.5771971964014,33.2880166227963,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,43,5,5,0.8958333333333334,0.8541666666666666,0.86,0.5866666666666667,50,43,75,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9943378169968518,0.7082938894330475,0.5913958843524982,129440,53309,89432,9361611,0.8,0.5333333333333333,0.64,40,0.72,0.48,0.576,36,0.54,0.36,0.432,27,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.24234123154969844,0.1634764316264886,0.33244070051463886,0.3143568140507044,52.891960707737056,20.233143311468748,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,9,3,3,0.75,0.6666666666666666,0.6153846153846154,0.7272727272727273,13,8,11,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9992982453221207,0.3313515655965121,0.18685739830129638,836,1687,3638,2402287,0.46153846153846156,0.5454545454545454,0.5,6,0.23076923076923078,0.2727272727272727,0.25,3,0.07692307692307693,0.09090909090909091,0.08333333333333333,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
