subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.6937033565801356,0.5736891152394972,0.8250531171062303,0.6532035833994274,75.16309045075838,22.060643088272492,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,1.0,0.95,0.8222222222222222,40,38,45,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.982158767801034,0.8158016320366045,0.6873692886348566,256032,57809,116449,3182382,0.75,0.6666666666666666,0.7058823529411765,30,0.675,0.6,0.6352941176470588,27,0.55,0.4888888888888889,0.5176470588235295,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.6624417783635557,0.5478844697520362,0.6942306948605175,0.7275607651552565,62.06904102356515,17.322169052462527,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,69,3,3,0.9583333333333334,0.9305555555555556,0.9146341463414634,0.7256637168141593,82,75,113,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9915959128361028,0.684888964519697,0.738109565645972,257584,118512,91394,13983198,0.8780487804878049,0.6371681415929203,0.7384615384615385,72,0.8170731707317073,0.5929203539823009,0.6871794871794872,67,0.6463414634146342,0.4690265486725664,0.5435897435897435,53,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,124,0,0.0,{},0.5561497326203209,0.44385026737967914,0.998591455403184,0.0,,0,52865,0,37478783,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.32895493248574226,0.24027866579537419,0.3374712917387011,0.4703851713425573,91.24331967320356,40.95697078029427,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,80,14,14,0.851063829787234,0.7127659574468085,0.6857142857142857,0.5413533834586466,105,72,133,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9969973581594346,0.1955358921102797,0.41533208436574603,13745,56549,19349,18776533,0.6095238095238096,0.48120300751879697,0.5378151260504201,64,0.4857142857142857,0.38345864661654133,0.42857142857142855,51,0.20952380952380953,0.16541353383458646,0.18487394957983194,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.4440916086150882,0.3476034532652541,0.45038450946118885,0.5677680455414744,82.60009548041816,33.868640300056406,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,118,13,13,0.9007633587786259,0.7862595419847328,0.7597402597402597,0.37579617834394907,154,117,314,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.5333333333333333,0.4666666666666667,0.9968099830626304,0.577366915353116,0.7096156816025768,257318,188357,105298,58857411,0.6818181818181818,0.3343949044585987,0.44871794871794873,105,0.5844155844155844,0.28662420382165604,0.38461538461538464,90,0.38311688311688313,0.18789808917197454,0.25213675213675213,59,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.6698896230178443,0.5425824028921286,0.7620896143859316,0.6809138139062071,59.9853254222738,16.491017339087055,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,1.0,1.0,0.6865671641791045,43,43,67,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.625,0.375,0.9924163093009359,0.702808988764045,0.7325070752415341,165132,69828,60302,9137826,0.8837209302325582,0.5671641791044776,0.6909090909090909,38,0.7674418604651163,0.4925373134328358,0.6,33,0.5348837209302325,0.34328358208955223,0.41818181818181815,23,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.552802412370386,0.45473516426447486,0.633305398905804,0.5851047046155904,73.82270432311661,20.064322761889223,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,4,4,0.8181818181818182,0.8181818181818182,0.8333333333333334,0.7941176470588235,30,25,34,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9949479288250276,0.7920142532519006,0.6300847432178399,104911,27550,61592,5425659,0.7666666666666667,0.6764705882352942,0.71875,23,0.7333333333333333,0.6470588235294118,0.6875,22,0.5,0.4411764705882353,0.46875,15,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.06523794516230697,0.03371884671770647,0.9282511210762332,0.033806957373836356,50.795163804580476,22.16735499370617,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,2,0,0.0,{'1': 1},,,0.9999177720332406,0.9282511210762332,0.033806957373836356,207,16,5916,194565,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.5562577973945299,0.451711498034747,0.5740448338175339,0.6624388139155761,105.92009495933719,33.18702422856415,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,43,5,5,0.8958333333333334,0.8541666666666666,0.86,0.6075949367088608,50,43,79,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9925930331856245,0.6645275503429963,0.6311360064329836,138138,69736,80734,9345184,0.8,0.5063291139240507,0.6201550387596899,40,0.74,0.46835443037974683,0.5736434108527132,37,0.54,0.34177215189873417,0.4186046511627907,27,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.2564955215676336,0.17062201700267063,0.3980419067037937,0.34906850059294564,50.73069948066478,20.563077546412348,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,10,2,2,0.8333333333333334,0.75,0.6923076923076923,0.6923076923076923,13,9,13,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.999160972622832,0.3318979794633985,0.22396066160035763,1002,2017,3472,2401957,0.6153846153846154,0.6153846153846154,0.6153846153846154,8,0.3076923076923077,0.3076923076923077,0.3076923076923077,4,0.07692307692307693,0.07692307692307693,0.07692307692307693,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
