category,available,image_id,method,selection_reason,panel_path,panel_sha256,selected_candidate_index,oracle_candidate_index,direct_dice,cam_student_available,puzzlecam_student_available,s2c_student_available,rich_gallery_student_available,fully_supervised_available
dice_q10,1,IMG000001.jpeg,direct_rich_gallery,closest direct Dice to frozen q=0.10 value 0,dice_q10__IMG000001.png,bfd6415baf27f56541a0c9b4530a7b1ff6666a9f79d295afd9d583705b1fd055,219,163,0.0,0,0,0,0,0
dice_q50,1,IMG000905.jpeg,direct_rich_gallery,closest direct Dice to frozen q=0.50 value 0.112600092908,dice_q50__IMG000905.png,e6092b14c19c51f984abf76daacd9fdb201ce3f7fad2e732c52cf8f48fc18c6e,105,149,0.11353308020696032,0,0,0,0,0
dice_q90,1,IMG000415.jpeg,direct_rich_gallery,closest direct Dice to frozen q=0.90 value 0.781701195024,dice_q90__IMG000415.png,79ff89317ae52c89ad7482d35bc52de26880f1e4dce14078f6e858666f75d725,133,5,0.7830346018708346,0,0,0,0,0
small_representative,1,IMG000641.jpeg,direct_rich_gallery,closest Dice to the frozen small subgroup median 0.00699599813961,small_representative__IMG000641.png,739100fa0c780a73e1a1c6bbe5c159586e0682280a8516e84f5b41eaa8a20460,18,119,0.00693435394517003,0,0,0,0,0
medium_representative,1,IMG000125.jpeg,direct_rich_gallery,closest Dice to the frozen medium subgroup median 0.498917125427,medium_representative__IMG000125.png,ecc33085ae527560488048be66164d2fa3d768e1bfd360224a7db1b78e60b268,129,214,0.5009424083769634,0,0,0,0,0
large_representative,1,IMG000660.jpeg,direct_rich_gallery,closest Dice to the frozen large subgroup median 0.231934192595,large_representative__IMG000660.png,89d090445d6eabbb9cdfbcab5a02e9d98c68efbe400d13cb132775a8f444365e,122,10,0.25480762733624335,0,0,0,0,0
over_segmentation,1,IMG001759.jpeg,direct_rich_gallery,closest predicted_gt_area_ratio to the median among frozen over_segmentation cases,over_segmentation__IMG001759.png,136879e5e1fd8f53c8d7e7940291b04dd89371b0726e24c481fe31fa60ed8887,195,182,0.11166710560969186,0,0,0,0,0
under_segmentation,1,IMG001785.jpeg,direct_rich_gallery,closest predicted_gt_area_ratio to the median among frozen under_segmentation cases,under_segmentation__IMG001785.png,a9ab35d2a1c2ab2895da2d8e1b0b87771d5a0e45fbbae931ebfa6e434b608275,220,28,0.0,0,0,0,0,0
complete_miss,1,IMG000049.jpeg,direct_rich_gallery,closest full_gallery_oracle_dice_common320 to the median among frozen complete_miss cases,complete_miss__IMG000049.png,d86e5ff5e42975fc35905a25a6a4c023e953aeb831bc1b31513a67d311a01005,179,171,0.0,0,0,0,0,0
wrong_location,1,IMG001206.jpeg,direct_rich_gallery,closest predicted_gt_area_ratio to the median among frozen wrong_anatomical_structure cases,wrong_location__IMG001206.png,ca6318db0ea424ee81bbe502ad53ec24cf397f55fee8ada7d540c20fb6aed801,210,215,0.0,0,0,0,0,0
multifocal,1,IMG001858.jpeg,direct_rich_gallery,closest Dice to multifocal median 0.0626003251213,multifocal__IMG001858.png,5b234e1ccea5052e06f3278b5155fb5ab864b4534174e348e9f257ffcd2aa8d2,173,70,0.06106628697990824,0,0,0,0,0
