category,available,image_id,method,selection_reason,panel_path,panel_sha256,selected_candidate_index,oracle_candidate_index,direct_dice,cam_student_available,puzzlecam_student_available,s2c_student_available,rich_gallery_student_available,fully_supervised_available
dice_q10,1,IMG000001.jpeg,direct_rich_gallery,closest direct Dice to frozen q=0.10 value 0,dice_q10__IMG000001.png,5d4ad3e6022bc2c00a486c1d993a7535bf81cce4fd4c15d2dc1b65455dc22318,219,163,0.0,1,1,1,1,1
dice_q50,1,IMG000905.jpeg,direct_rich_gallery,closest direct Dice to frozen q=0.50 value 0.112600092908,dice_q50__IMG000905.png,b4e6f72b45c0d627c92c7dbb00cdb6b8c5a5f3d6fc2b92d7e6bc2b1931338c22,105,149,0.11353308020696032,1,1,1,1,1
dice_q90,1,IMG000415.jpeg,direct_rich_gallery,closest direct Dice to frozen q=0.90 value 0.781701195024,dice_q90__IMG000415.png,c4d6c6b423246160c17786879d918de13b25e61325ddc43e46ba60debc239c0e,133,5,0.7830346018708346,1,1,1,1,1
small_representative,1,IMG000641.jpeg,direct_rich_gallery,closest Dice to the frozen small subgroup median 0.00699599813961,small_representative__IMG000641.png,44798f5e86db421da15cb98c822a107edac2b3b8598e4466f101a0d7c330984d,18,119,0.00693435394517003,1,1,1,1,1
medium_representative,1,IMG000125.jpeg,direct_rich_gallery,closest Dice to the frozen medium subgroup median 0.498917125427,medium_representative__IMG000125.png,5729f1e30b478abc0fde3a741dbb73a2adbf9bcfea40919b966badefc42bddb4,129,214,0.5009424083769634,1,1,1,1,1
large_representative,1,IMG000660.jpeg,direct_rich_gallery,closest Dice to the frozen large subgroup median 0.231934192595,large_representative__IMG000660.png,2b22717c09745280839bc61fb329973d61d7f48bebe4ec5df28053504d7597bf,122,10,0.25480762733624335,1,1,1,1,1
over_segmentation,1,IMG001759.jpeg,direct_rich_gallery,closest predicted_gt_area_ratio to the median among frozen over_segmentation cases,over_segmentation__IMG001759.png,a5a5b71ea98cb06565127dc691fb3b53a0ba1754455e44eb33041aae087e443d,195,182,0.11166710560969186,1,1,1,1,1
under_segmentation,1,IMG001785.jpeg,direct_rich_gallery,closest predicted_gt_area_ratio to the median among frozen under_segmentation cases,under_segmentation__IMG001785.png,718a45df7a212445b20ce66a243b4276fa9600488500938fa04a6c3a71bae873,220,28,0.0,1,1,1,1,1
complete_miss,1,IMG000049.jpeg,direct_rich_gallery,closest full_gallery_oracle_dice_common320 to the median among frozen complete_miss cases,complete_miss__IMG000049.png,35909f50f2254284d63d4efe873ef26168590bc464d0ec77241186ed7f398ece,179,171,0.0,1,1,1,1,1
wrong_location,1,IMG001206.jpeg,direct_rich_gallery,closest predicted_gt_area_ratio to the median among frozen wrong_anatomical_structure cases,wrong_location__IMG001206.png,42f543d74dea4e19d24cff3ec8f1052a63c5c4224b8ee1d2f40c7d5d7bb63239,210,215,0.0,1,1,1,1,1
normal_false_positive,1,IMG001870.jpeg,cam_seed42,first deterministic method/image normal FP after method then image_id sort,normal_false_positive__IMG001870.png,ff2109a83e517e72b7f8f757619be8764349e87a9977e14c73565d24d8763cc0,39,-1,1.0,1,1,1,1,1
multifocal,1,IMG001858.jpeg,direct_rich_gallery,closest Dice to multifocal median 0.0626003251213,multifocal__IMG001858.png,5286d840662ec73ae317a81aa920822790f19c98b70a70b1f6303f1c18752690,173,70,0.06106628697990824,1,1,1,1,1
