subset,image_id,group_id,size_group,k_i,selected_source,dice,iou,oracle_dice,selector_regret,recall_at_0_10,recall_at_0_30,recall_at_0_50
layercam320,IMG000001.jpeg,btxrd-heuristic-000001,medium,27,layercam320,0.0,0.0,0.027559990496555,0.027559990496555,0,0,0
classifier448,IMG000001.jpeg,btxrd-heuristic-000001,medium,27,classifier448,0.0,0.0,0.7213025037624846,0.7213025037624846,1,1,1
external_saliency,IMG000001.jpeg,btxrd-heuristic-000001,medium,27,external_saliency,0.0,0.0,0.17731141424740585,0.17731141424740585,1,0,0
layercam320+classifier448,IMG000001.jpeg,btxrd-heuristic-000001,medium,27,classifier448,0.0,0.0,0.6266881028938907,0.6266881028938907,1,1,1
layercam320+external_saliency,IMG000001.jpeg,btxrd-heuristic-000001,medium,27,layercam320,0.0,0.0,0.027559990496555,0.027559990496555,0,0,0
classifier448+external_saliency,IMG000001.jpeg,btxrd-heuristic-000001,medium,27,classifier448,0.0,0.0,0.7213025037624846,0.7213025037624846,1,1,1
layercam320+classifier448+external_saliency,IMG000001.jpeg,btxrd-heuristic-000001,medium,27,classifier448,0.0,0.0,0.023597399470262462,0.023597399470262462,0,0,0
layercam320,IMG000010.jpeg,btxrd-heuristic-000006,medium,27,layercam320,0.5725130476039855,0.4010635940615998,0.7220941272209412,0.14958107961695577,1,1,1
classifier448,IMG000010.jpeg,btxrd-heuristic-000006,medium,27,classifier448,0.6400454739235469,0.47063740856844305,0.6985283403759289,0.05848286645238199,1,1,1
external_saliency,IMG000010.jpeg,btxrd-heuristic-000006,medium,27,external_saliency,0.5935210809050953,0.4219907407407407,0.7206405693950177,0.1271194884899225,1,1,1
layercam320+classifier448,IMG000010.jpeg,btxrd-heuristic-000006,medium,27,layercam320,0.5725130476039855,0.4010635940615998,0.7220941272209412,0.14958107961695577,1,1,1
layercam320+external_saliency,IMG000010.jpeg,btxrd-heuristic-000006,medium,27,external_saliency,0.5935210809050953,0.4219907407407407,0.7220941272209412,0.12857304631584598,1,1,1
classifier448+external_saliency,IMG000010.jpeg,btxrd-heuristic-000006,medium,27,external_saliency,0.5935210809050953,0.4219907407407407,0.7206405693950177,0.1271194884899225,1,1,1
layercam320+classifier448+external_saliency,IMG000010.jpeg,btxrd-heuristic-000006,medium,27,external_saliency,0.5935210809050953,0.4219907407407407,0.7220941272209412,0.12857304631584598,1,1,1
layercam320,IMG000017.jpeg,btxrd-heuristic-000009,medium,27,layercam320,0.5860619469026549,0.4144891253324988,0.5860619469026549,0.0,1,1,1
classifier448,IMG000017.jpeg,btxrd-heuristic-000009,medium,27,classifier448,0.47415811273185665,0.31075179983476925,0.5540039275583679,0.07984581482651126,1,1,1
external_saliency,IMG000017.jpeg,btxrd-heuristic-000009,medium,27,external_saliency,0.5877569460131015,0.4161868202175304,0.5972613382538603,0.00950439224075883,1,1,1
layercam320+classifier448,IMG000017.jpeg,btxrd-heuristic-000009,medium,27,layercam320,0.5860619469026549,0.4144891253324988,0.5860619469026549,0.0,1,1,1
layercam320+external_saliency,IMG000017.jpeg,btxrd-heuristic-000009,medium,27,layercam320,0.5860619469026549,0.4144891253324988,0.5972613382538603,0.011199391351205401,1,1,1
classifier448+external_saliency,IMG000017.jpeg,btxrd-heuristic-000009,medium,27,classifier448,0.47415811273185665,0.31075179983476925,0.5972613382538603,0.12310322552200365,1,1,1
layercam320+classifier448+external_saliency,IMG000017.jpeg,btxrd-heuristic-000009,medium,27,layercam320,0.5860619469026549,0.4144891253324988,0.594562747243498,0.008500800340843107,1,1,1
layercam320,IMG000018.jpeg,btxrd-heuristic-000009,large,27,layercam320,0.6888702928870293,0.5254020934388562,0.7046394929131086,0.01576920002607929,1,1,1
classifier448,IMG000018.jpeg,btxrd-heuristic-000009,large,27,classifier448,0.5897385875926648,0.41817678793747404,0.7310918638750596,0.1413532762823948,1,1,1
external_saliency,IMG000018.jpeg,btxrd-heuristic-000009,large,27,external_saliency,0.8364141765114663,0.7188246536072623,0.8580927667855984,0.021678590274132103,1,1,1
layercam320+classifier448,IMG000018.jpeg,btxrd-heuristic-000009,large,27,classifier448,0.5404627249357327,0.37029730872199523,0.7310918638750596,0.19062913893932698,1,1,1
layercam320+external_saliency,IMG000018.jpeg,btxrd-heuristic-000009,large,27,external_saliency,0.8364141765114663,0.7188246536072623,0.8580927667855984,0.021678590274132103,1,1,1
classifier448+external_saliency,IMG000018.jpeg,btxrd-heuristic-000009,large,27,external_saliency,0.8364141765114663,0.7188246536072623,0.8580927667855984,0.021678590274132103,1,1,1
layercam320+classifier448+external_saliency,IMG000018.jpeg,btxrd-heuristic-000009,large,27,classifier448,0.5404627249357327,0.37029730872199523,0.8580927667855984,0.31763004184986576,1,1,1
layercam320,IMG000033.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6132264529058116,0.4421965317919075,0.6132264529058116,0.0,1,1,1
classifier448,IMG000033.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.6993328732459168,0.5376724442872303,0.6993328732459168,0.0,1,1,1
external_saliency,IMG000033.jpeg,btxrd-heuristic-000017,medium,27,external_saliency,0.1749829118250171,0.09588014981273409,0.25594713656387663,0.08096422473885953,1,0,0
layercam320+classifier448,IMG000033.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.5955469506292352,0.42404190791287566,0.6993328732459168,0.10378592261668151,1,1,1
layercam320+external_saliency,IMG000033.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6132264529058116,0.4421965317919075,0.6132264529058116,0.0,1,1,1
classifier448+external_saliency,IMG000033.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.6993328732459168,0.5376724442872303,0.6993328732459168,0.0,1,1,1
layercam320+classifier448+external_saliency,IMG000033.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.5955469506292352,0.42404190791287566,0.6993328732459168,0.10378592261668151,1,1,1
layercam320,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6064516129032258,0.4351851851851852,0.7264260768335273,0.11997446393030153,1,1,1
classifier448,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.6469224826165336,0.47811191473163306,0.7657969192077962,0.11887443659126262,1,1,1
external_saliency,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,external_saliency,0.513739059637696,0.3456587236373596,0.513739059637696,0.0,1,1,1
layercam320+classifier448,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6064516129032258,0.4351851851851852,0.7657969192077962,0.15934530630457044,1,1,1
layercam320+external_saliency,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6064516129032258,0.4351851851851852,0.7264260768335273,0.11997446393030153,1,1,1
classifier448+external_saliency,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.6469224826165336,0.47811191473163306,0.7657969192077962,0.11887443659126262,1,1,1
layercam320+classifier448+external_saliency,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6064516129032258,0.4351851851851852,0.7657969192077962,0.15934530630457044,1,1,1
layercam320,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.01285140562248996,0.01285140562248996,0,0,0
external_saliency,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,external_saliency,0.07876126956463451,0.04099504570511479,0.49062576089603116,0.41186449133139663,1,1,0
layercam320+classifier448,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
layercam320+external_saliency,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448+external_saliency,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.01285140562248996,0.01285140562248996,0,0,0
layercam320+classifier448+external_saliency,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
layercam320,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.0,0.0,0,0,0
external_saliency,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,external_saliency,0.04346732765743435,0.02221650998824912,0.05317499780631197,0.00970767014887762,0,0,0
layercam320+classifier448,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.0,0.0,0,0,0
layercam320+external_saliency,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448+external_saliency,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.04346732765743435,0.04346732765743435,0,0,0
layercam320+classifier448+external_saliency,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.0,0.0,0,0,0
layercam320,IMG000050.jpeg,btxrd-heuristic-000026,large,27,layercam320,0.7446110590440488,0.5931317655841732,0.8104371097234612,0.06582605067941238,1,1,1
classifier448,IMG000050.jpeg,btxrd-heuristic-000026,large,27,classifier448,0.0,0.0,0.25272137860433375,0.25272137860433375,1,0,0
external_saliency,IMG000050.jpeg,btxrd-heuristic-000026,large,27,external_saliency,0.15526403188309532,0.0841659915383923,0.7857839503764679,0.6305199184933725,1,1,1
layercam320+classifier448,IMG000050.jpeg,btxrd-heuristic-000026,large,27,layercam320,0.7446110590440488,0.5931317655841732,0.8104371097234612,0.06582605067941238,1,1,1
layercam320+external_saliency,IMG000050.jpeg,btxrd-heuristic-000026,large,27,external_saliency,0.15526403188309532,0.0841659915383923,0.8104371097234612,0.6551730778403658,1,1,1
classifier448+external_saliency,IMG000050.jpeg,btxrd-heuristic-000026,large,27,external_saliency,0.15526403188309532,0.0841659915383923,0.7857839503764679,0.6305199184933725,1,1,1
layercam320+classifier448+external_saliency,IMG000050.jpeg,btxrd-heuristic-000026,large,27,external_saliency,0.15526403188309532,0.0841659915383923,0.8104371097234612,0.6551730778403658,1,1,1
layercam320,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.6996361676323946,0.5380310880829016,0.6996361676323946,0.0,1,1,1
classifier448,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,classifier448,0.6848083884658595,0.5206909643128322,0.7163258682246024,0.03151747975874297,1,1,1
external_saliency,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,external_saliency,0.787209493983847,0.6490894264745855,0.8254781420765027,0.03826864809265573,1,1,1
layercam320+classifier448,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.6274689940284796,0.4571619812583668,0.7163258682246024,0.08885687419612287,1,1,1
layercam320+external_saliency,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.6274689940284796,0.4571619812583668,0.8254781420765027,0.19800914804802316,1,1,1
classifier448+external_saliency,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,classifier448,0.6848083884658595,0.5206909643128322,0.8254781420765027,0.14066975361064327,1,1,1
layercam320+classifier448+external_saliency,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.6274689940284796,0.4571619812583668,0.8254781420765027,0.19800914804802316,1,1,1
layercam320,IMG000056.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.8485258317554775,0.7369039229504346,0.8485258317554775,0.0,1,1,1
