candidate_epoch,train_loss,train_positive_dice,train_empty_specificity,val_loss,val_positive_dice,val_empty_specificity,full_samples,crop_samples,tumor_crop_samples,normal_crop_samples,improved
0,,,,,0.49017143767812976,0.6096256684491979,2981,0,0,0,True
1,0.45228880901778157,0.6072725093868245,0.38914936369725384,0.4867026143960876,0.46501383120599,0.5775401069518716,1494,1487,749,738,False
2,0.41965232676045683,0.6444838153603938,0.4105827193569993,0.4680174365840511,0.453182657127795,0.39572192513368987,1500,1481,733,748,False
3,0.40526647327410936,0.6617779205202736,0.43603482920294706,0.45601353892740215,0.4409414108680642,0.48128342245989303,1484,1497,729,768,False
4,0.3777151280443607,0.7083565782835727,0.5097119892833222,0.4494578560407592,0.49035036239935004,0.49732620320855614,1501,1480,747,733,True
5,0.3750958142065434,0.7113393510401409,0.507032819825854,0.4613499675156935,0.4774723700855089,0.6524064171122995,1497,1484,724,760,False
6,0.37966688993552195,0.70891667023221,0.5251172136637642,0.4605705659344511,0.4767328099064205,0.7005347593582888,1449,1532,755,777,False
7,0.38670663378135506,0.6945932564996583,0.48760884125920967,0.4477944317853676,0.5050931883894879,0.6256684491978609,1463,1518,775,743,True
8,0.37295118568128327,0.7167464708241278,0.5371734762223711,0.4575079141280079,0.5023345733466356,0.6203208556149733,1480,1501,778,723,False
9,0.36297819913633317,0.7309901430922491,0.5378432685867381,0.4591109281922929,0.48281674686127696,0.7005347593582888,1504,1477,736,741,False
10,0.36498462200084814,0.7370837394258267,0.5277963831212324,0.46297423971309815,0.5008487426068472,0.6844919786096256,1465,1516,733,783,False
11,0.3672723648622907,0.7259064423703121,0.5572672471533825,0.46243554417977756,0.49664429186478903,0.732620320855615,1455,1526,750,776,False
12,0.36061555010206303,0.7440995512921024,0.5552578700602813,0.4691219964438693,0.5153785840324734,0.24598930481283424,1516,1465,711,754,True
13,0.35754499925098654,0.7466297577065165,0.5264567983924984,0.4414061201871887,0.4853040556544843,0.5240641711229946,1460,1521,750,771,False
14,0.34740701842651955,0.7637329873539641,0.6054922973878097,0.4583571199779562,0.49587496855984564,0.7486631016042781,1502,1479,755,724,False
15,0.3491780451982863,0.7600375187973822,0.6175485599464167,0.46417520855957606,0.5168398761230967,0.7486631016042781,1477,1504,769,735,True
