subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.7066515932953369,0.5953898879103079,0.7717687271816533,0.7181344426207158,46.214554415133264,14.514644129035252,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,17,1,1,0.9444444444444444,0.9444444444444444,0.875,0.8717948717948718,40,35,39,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9728765989412352,0.7650736709293872,0.7683908709437528,286211,87885,86270,3152306,0.775,0.7948717948717948,0.7848101265822784,31,0.7,0.717948717948718,0.7088607594936709,28,0.55,0.5641025641025641,0.5569620253164557,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.6821749935422784,0.5676982183483815,0.6939888913771748,0.7586746078691387,61.71124194409667,18.584501408126215,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,71,1,1,0.9861111111111112,0.9722222222222222,0.9634146341463414,0.7657657657657657,82,79,111,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9905787312318861,0.6676223499802358,0.7646843067471302,266858,132856,82120,13968854,0.9024390243902439,0.6666666666666666,0.7668393782383419,74,0.7804878048780488,0.5765765765765766,0.6632124352331606,64,0.6097560975609756,0.45045045045045046,0.5181347150259067,50,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,141,0,0.0,{},0.5240641711229946,0.47593582887700536,0.9984766989182037,0.0,,0,57172,0,37474476,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.35138714082702743,0.27185526753115546,0.36661277216930566,0.4608117300266651,81.434483341215,45.70979177800352,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,83,11,11,0.8829787234042553,0.6595744680851063,0.6285714285714286,0.4962962962962963,105,66,135,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9975718260027753,0.23212546596366324,0.4177192240285248,13824,45730,19270,18787352,0.5714285714285714,0.4444444444444444,0.5,60,0.5333333333333333,0.4148148148148148,0.4666666666666667,56,0.34285714285714286,0.26666666666666666,0.3,36,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.45491145285687157,0.3651458876946589,0.4644689409787078,0.5588198929063601,73.20893087749393,36.40663139405405,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,119,12,12,0.9083969465648855,0.7480916030534351,0.7142857142857143,0.3613707165109034,154,110,321,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.503030303030303,0.49696969696969695,0.9966041935469448,0.5622564398132077,0.710230657224171,257541,200508,105075,58845260,0.6493506493506493,0.3115264797507788,0.42105263157894735,100,0.6038961038961039,0.2897196261682243,0.391578947368421,93,0.43506493506493504,0.2087227414330218,0.28210526315789475,67,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.6889843107171417,0.5696870074534744,0.7227569931622463,0.7481043079191659,44.96672170540908,12.357832310496244,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,1.0,1.0,0.6666666666666666,43,43,63,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.625,0.375,0.9896650113047254,0.6646911039777873,0.8367859329116283,188640,95161,36794,9112493,0.8837209302325582,0.6031746031746031,0.7169811320754716,38,0.7441860465116279,0.5079365079365079,0.6037735849056604,32,0.5116279069767442,0.3492063492063492,0.41509433962264153,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.6324911588917783,0.5296034696517995,0.6849881725500325,0.6577570381831852,86.68459871997686,30.699015725096967,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,21,1,1,0.9545454545454546,0.9090909090909091,0.9,0.6666666666666666,30,27,42,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.8333333333333334,0.16666666666666666,0.9948701764410643,0.8118585475431446,0.7249839342234073,120712,27974,45791,5425235,0.9,0.6428571428571429,0.75,27,0.7666666666666667,0.5476190476190477,0.6388888888888888,23,0.6333333333333333,0.4523809523809524,0.5277777777777778,19,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.2257613858619726,0.12724409448818896,0.7806763285024154,0.13196145680222113,46.7845354843637,14.058724265012172,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,3,0,0.0,{'1': 1},,,0.9988333907216018,0.7806763285024154,0.13196145680222113,808,227,5315,194354,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.542807919466205,0.4441579628521586,0.5635668985386666,0.6486848005499969,103.24090848196113,41.6118630107053,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,47,1,1,0.9791666666666666,0.875,0.88,0.5813953488372093,50,44,86,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.99105037536166,0.6390259784769347,0.6815124821813663,149164,84260,69708,9330660,0.82,0.47674418604651164,0.6029411764705882,41,0.72,0.4186046511627907,0.5294117647058824,36,0.54,0.313953488372093,0.39705882352941174,27,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.2273914756547314,0.15676059704604192,0.36302961868852196,0.3304326755837293,105.058153401902,35.11918694036672,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,9,3,3,0.75,0.6666666666666666,0.6153846153846154,0.5333333333333333,13,8,15,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9991992425874823,0.3273934311670161,0.2094322753687975,937,1925,3537,2402049,0.46153846153846156,0.4,0.42857142857142855,6,0.3076923076923077,0.26666666666666666,0.2857142857142857,4,0.23076923076923078,0.2,0.21428571428571427,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
