threshold,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition,median_tumor_dice,tumor_empty_prediction_count,tumor_classifier_skip_count,missing_output_count,evaluation_scope
0.2,371,184,187,tumor images only,0.5155799970222863,0.4192700263662914,0.5343512926757668,0.6025396432405293,69.74390479771328,31.345972325993287,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,171,13,13,0.9293478260869565,0.8097826086956522,0.7929515418502202,0.43661971830985913,227,180,426,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5240641711229946,0.47593582887700536,0.9956090382152998,0.6365750514297007,0.7512964629389851,566893,323643,187660,73382988,0.7268722466960352,0.3873239436619718,0.5053598774885145,165,0.6519823788546255,0.3474178403755869,0.45329249617151607,148,0.47577092511013214,0.2535211267605634,0.33078101071975496,108,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.6448723810315506,13,0,0,full_clean_validation
0.25,371,184,187,tumor images only,0.5139996159266423,0.41875388776972283,0.5417416621805152,0.5921225252266129,69.03454021622252,30.647451035954834,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,170,14,14,0.9239130434782609,0.8043478260869565,0.788546255506608,0.4397163120567376,227,179,423,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5347593582887701,0.46524064171123,0.9960651979874103,0.6571381621335338,0.7366772115411376,555862,290021,198691,73416610,0.7180616740088106,0.38534278959810875,0.5015384615384615,163,0.6519823788546255,0.34988179669030733,0.4553846153846154,148,0.47577092511013214,0.2553191489361702,0.3323076923076923,108,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.6479935520161876,14,0,0,full_clean_validation
0.3,371,184,187,tumor images only,0.5122764003567105,0.4179440627274615,0.5420323904775577,0.583638467505718,64.65245367971806,29.697678164117168,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,167,17,17,0.907608695652174,0.7989130434782609,0.7797356828193832,0.4289044289044289,227,177,429,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5454545454545454,0.45454545454545453,0.9964871545953579,0.6785926199939919,0.7244845623832918,546662,258920,207891,73447711,0.7180616740088106,0.37995337995337997,0.4969512195121951,163,0.6431718061674009,0.34032634032634035,0.4451219512195122,146,0.4669603524229075,0.24708624708624707,0.3231707317073171,106,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.6376262626262625,17,0,0,full_clean_validation
0.35,371,184,187,tumor images only,0.5109825058307635,0.4172796348223707,0.5472520017263317,0.5765334541479394,64.61338315727184,29.627576933848154,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,167,17,17,0.907608695652174,0.7989130434782609,0.7797356828193832,0.4358974358974359,227,177,429,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5561497326203209,0.44385026737967914,0.996784102097951,0.6942949449614053,0.7134449137436336,538332,237033,216221,73469598,0.7136563876651982,0.3776223776223776,0.49390243902439024,162,0.6211453744493393,0.32867132867132864,0.4298780487804878,141,0.46255506607929514,0.24475524475524477,0.3201219512195122,105,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.6437035778871436,17,0,0,full_clean_validation
0.4,371,184,187,tumor images only,0.5101320223882376,0.41692822139183233,0.5519908368955493,0.5704307572413547,64.28386997264228,29.61512678571343,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,167,17,17,0.907608695652174,0.7880434782608695,0.7709251101321586,0.4468599033816425,227,175,414,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5561497326203209,0.44385026737967914,0.9969935540806363,0.7056448131347011,0.7040194658294381,531220,221595,223333,73485036,0.7092511013215859,0.3888888888888889,0.5023400936037441,161,0.6211453744493393,0.34057971014492755,0.43993759750390016,141,0.4713656387665198,0.2584541062801932,0.3338533541341654,107,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.6445949883449884,17,0,0,full_clean_validation
0.45,371,184,187,tumor images only,0.5085326792787302,0.4157040705760668,0.5554389318288431,0.5640803457643762,61.33997207789871,28.003372547887366,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,166,18,18,0.9021739130434783,0.7880434782608695,0.7709251101321586,0.45925925925925926,227,175,405,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5614973262032086,0.4385026737967914,0.9971667542368067,0.7150391493844445,0.6944575132561928,524005,208829,230548,73497802,0.7004405286343612,0.3925925925925926,0.5031645569620253,159,0.6167400881057269,0.345679012345679,0.4430379746835443,140,0.47577092511013214,0.26666666666666666,0.34177215189873417,108,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.6417122481478917,18,0,0,full_clean_validation
0.5,371,184,187,tumor images only,0.5070761427360893,0.41457381807175214,0.5588582241795986,0.5580096079829177,61.34626647598286,27.97828968897927,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,166,18,18,0.9021739130434783,0.7880434782608695,0.7709251101321586,0.46835443037974683,227,175,395,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5668449197860963,0.43315508021390375,0.9973209466051975,0.7234676615243281,0.6846543582756943,516608,197464,237945,73509167,0.7004405286343612,0.40253164556962023,0.5112540192926045,159,0.6167400881057269,0.35443037974683544,0.45016077170418006,140,0.46255506607929514,0.26582278481012656,0.33762057877813506,105,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.6386508617282577,18,0,0,full_clean_validation
0.55,371,184,187,tumor images only,0.5053874818259887,0.41299452174802076,0.5616827432894004,0.5520502065674403,61.51133910470344,28.06903925580587,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,166,18,18,0.9021739130434783,0.782608695652174,0.7665198237885462,0.4689119170984456,227,174,386,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5721925133689839,0.42780748663101603,0.9974573522428396,0.7313353240791844,0.6760969739700193,510151,187410,244402,73519221,0.6916299559471366,0.4067357512953368,0.5122349102773246,157,0.6123348017621145,0.3601036269430052,0.4535073409461664,139,0.4669603524229075,0.27461139896373055,0.3458401305057096,106,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.6376422114667177,18,0,0,full_clean_validation
0.6,371,184,187,tumor images only,0.5037467768903743,0.4114887383790887,0.5653189636088554,0.5460905013147359,61.6079279568281,28.041676685928056,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,166,18,18,0.9021739130434783,0.782608695652174,0.7665198237885462,0.48031496062992124,227,174,381,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5882352941176471,0.4117647058823529,0.9975921433717408,0.7393362492619606,0.6671274251112911,503383,177475,251170,73529156,0.6916299559471366,0.4120734908136483,0.5164473684210527,157,0.6123348017621145,0.3648293963254593,0.45723684210526316,139,0.46255506607929514,0.2755905511811024,0.34539473684210525,105,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.633483856740475,18,0,0,full_clean_validation
0.65,371,184,187,tumor images only,0.5009276901662525,0.40905768342926313,0.5683972811940219,0.5387367141207072,60.91961663200019,27.112741167552716,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,165,19,19,0.8967391304347826,0.782608695652174,0.7665198237885462,0.4972375690607735,227,174,362,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6149732620320856,0.3850267379679144,0.9977233391660514,0.747066785643227,0.6568537929078541,495631,167805,258922,73538826,0.6828193832599119,0.4281767955801105,0.5263157894736842,155,0.6123348017621145,0.3839779005524862,0.47198641765704585,139,0.4581497797356828,0.287292817679558,0.3531409168081494,104,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50",0.6280904147229521,19,0,0,full_clean_validation
