candidate_epoch,train_loss,train_positive_dice,train_empty_specificity,val_loss,val_positive_dice,val_empty_specificity,full_samples,crop_samples,tumor_crop_samples,normal_crop_samples,improved
0,,,,,0.49017143767812976,0.6096256684491979,2981,0,0,0,True
1,0.44917136384752204,0.605176840730053,0.3697253851306095,0.4811058902354896,0.4838689325944237,0.41711229946524064,1494,1487,749,738,False
2,0.4119212712788894,0.6538636931017923,0.4574681848626926,0.4616220349250135,0.4540190385735553,0.6524064171122995,1500,1481,733,748,False
3,0.40798662649389483,0.6659634846180642,0.4447421299397187,0.4602984153035516,0.44824043256433116,0.3850267379679144,1484,1497,729,768,False
4,0.38846673298825835,0.6854327380537025,0.4722036168787676,0.46240372526035156,0.47599516614623694,0.6951871657754011,1501,1480,747,733,False
5,0.3766519861887542,0.7090592419193055,0.5572672471533825,0.4583583282974531,0.47450420616761496,0.6310160427807486,1497,1484,724,760,False
6,0.38126273150813533,0.7041611844894066,0.5237776289350301,0.46636178824458163,0.4699917367619017,0.6898395721925134,1449,1532,755,777,False
7,0.37643947846455206,0.7141069215472925,0.5606162089752177,0.4533459717693997,0.5035154864839886,0.5133689839572193,1463,1518,775,743,True
8,0.3791480145471202,0.7146229269506595,0.4675150703281983,0.45458001316075697,0.49974585292132007,0.5026737967914439,1480,1501,778,723,False
9,0.3696196503244923,0.7261818291078652,0.580040187541862,0.4547329636596926,0.49578587386919104,0.5935828877005348,1504,1477,736,741,False
10,0.3584319649527274,0.746405495631118,0.565304755525787,0.45200529895381464,0.4995169995919518,0.7807486631016043,1465,1516,733,783,False
11,0.3632018255811536,0.7389336811207995,0.5760214333556597,0.47149195487929807,0.46416165971237683,0.8288770053475936,1455,1526,750,776,False
12,0.35034256363746824,0.7573721180920319,0.6061620897521768,0.4589841478275803,0.5070608604861342,0.5721925133689839,1516,1465,711,754,True
13,0.3571313349883135,0.7473531156698222,0.5900870730073677,0.43344831466674805,0.4840500749971556,0.5347593582887701,1460,1521,750,771,False
14,0.35369795986727076,0.7548076285309689,0.5860683188211654,0.4510557257904197,0.4982741024831067,0.6363636363636364,1502,1479,755,724,False
15,0.3518425930530103,0.7592589140579264,0.6188881446751507,0.4768988122194604,0.5009575291820194,0.7005347593582888,1477,1504,769,735,False
