subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.5932205787502878,0.4808521359228458,0.830123016807134,0.5280490563790724,90.43443649698503,28.812791875453893,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.9444444444444444,0.85,0.8636363636363636,40,34,44,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.990239155654713,0.8694846569056305,0.5656583825752186,210697,31627,161784,3208564,0.7,0.6363636363636364,0.6666666666666666,28,0.675,0.6136363636363636,0.6428571428571429,27,0.5,0.45454545454545453,0.47619047619047616,20,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.6334746995783046,0.5333511012794427,0.6721790937912149,0.6566044686980906,53.536291179893745,17.999334521804357,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,64,8,8,0.8888888888888888,0.8611111111111112,0.8658536585365854,0.7731958762886598,82,71,97,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9946573855227486,0.7560248962118121,0.6689877298855516,233462,75340,115516,14026370,0.8048780487804879,0.6804123711340206,0.7374301675977654,66,0.7682926829268293,0.6494845360824743,0.7039106145251397,63,0.6341463414634146,0.5360824742268041,0.5810055865921788,52,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,105,0,0.0,{},0.5828877005347594,0.41711229946524064,0.9993931255030422,0.0,,0,22777,0,37508871,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.40081596411049186,0.3118100514996799,0.41327280833644975,0.51407674439271,61.287505863346155,31.780542796727616,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,78,16,16,0.8297872340425532,0.6914893617021277,0.6761904761904762,0.6153846153846154,105,71,117,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9980687175896117,0.3204416792780674,0.5182510424850426,17151,36372,15943,18796710,0.638095238095238,0.5726495726495726,0.6036036036036037,67,0.5619047619047619,0.5042735042735043,0.5315315315315315,59,0.3619047619047619,0.3247863247863248,0.34234234234234234,38,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.4780359272167527,0.38585029818739475,0.506008505745127,0.5591861994636679,61.42322358578521,26.821924560554073,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,112,19,19,0.8549618320610687,0.7480916030534351,0.7337662337662337,0.4377358490566038,154,113,265,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.5818181818181818,0.41818181818181815,0.998208152699445,0.6749615210919715,0.6058806009663115,219702,105801,142914,58939967,0.6818181818181818,0.39622641509433965,0.5011933174224343,105,0.6233766233766234,0.3622641509433962,0.45823389021479716,96,0.44155844155844154,0.25660377358490566,0.324582338902148,68,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.636548231969738,0.523330617385627,0.7068964676550278,0.633695905725478,52.422571541521926,22.172511411398542,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,29,2,2,0.9354838709677419,0.9032258064516129,0.8837209302325582,0.7368421052631579,43,38,57,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.6875,0.3125,0.9954214178769097,0.776543360383329,0.6498797874322418,146505,42158,78929,9165496,0.7906976744186046,0.5964912280701754,0.68,34,0.7441860465116279,0.5614035087719298,0.64,32,0.5813953488372093,0.43859649122807015,0.5,25,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.527688534412402,0.4362329262817212,0.6357203767820305,0.5548024330350118,75.5217017625184,26.44271682030472,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,19,3,3,0.8636363636363636,0.8181818181818182,0.8333333333333334,0.6585365853658537,30,25,41,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.3333333333333333,0.6666666666666666,0.9966704008593839,0.8396874448172347,0.5711788976775193,95103,18157,71400,5435052,0.7333333333333333,0.5365853658536586,0.6197183098591549,22,0.7,0.5121951219512195,0.5915492957746479,21,0.5666666666666667,0.4146341463414634,0.4788732394366197,17,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.12238029677221968,0.06517842594101353,0.966183574879227,0.06532745386248572,61.289417993647064,21.939309255128897,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,2,0,0.0,{'1': 1},,,0.9999280505290856,0.966183574879227,0.06532745386248572,400,14,5723,194567,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.5574697083438377,0.4624539429288206,0.5951711683893052,0.6516907886000353,74.03166657315806,29.59092761010273,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,44,4,4,0.9166666666666666,0.8541666666666666,0.86,0.6923076923076923,50,43,65,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9946135495575108,0.7154328296233117,0.5825231185350341,127498,50713,91374,9364207,0.78,0.6,0.6782608695652174,39,0.74,0.5692307692307692,0.6434782608695652,37,0.6,0.46153846153846156,0.5217391304347826,30,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.3870247214333286,0.27916297397209583,0.5724266552626993,0.4176642564660367,35.17930222138902,21.280470690890454,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,11,1,1,0.9166666666666666,0.8333333333333334,0.7692307692307693,0.7692307692307693,13,10,13,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9994101433709349,0.5352343493936415,0.3649977648636567,1633,1418,2841,2402556,0.6923076923076923,0.6923076923076923,0.6923076923076923,9,0.5384615384615384,0.5384615384615384,0.5384615384615384,7,0.15384615384615385,0.15384615384615385,0.15384615384615385,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
