threshold,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
0.2,371,184,187,tumor images only,0.5111104855779324,0.4151238175967139,0.5372547574726244,0.5970958490515714,65.2316278207889,26.020409774283078,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,161,23,23,0.875,0.7934782608695652,0.788546255506608,0.4666666666666667,227,179,405,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5347593582887701,0.46524064171123,0.9970877247123126,0.6943491602412126,0.646251489292336,487631,214654,266922,73491977,0.7092511013215859,0.39753086419753086,0.509493670886076,161,0.6563876651982379,0.36790123456790125,0.47151898734177217,149,0.4845814977973568,0.2716049382716049,0.34810126582278483,110,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.25,371,184,187,tumor images only,0.5113904440613517,0.4155582268458225,0.5425878841047996,0.591311074236238,64.36232500182876,25.82096101640149,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,161,23,23,0.875,0.7934782608695652,0.788546255506608,0.473551637279597,227,179,397,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5454545454545454,0.45454545454545453,0.9972376840829965,0.7032193833523801,0.6393599919422492,482431,203601,272122,73503030,0.7092511013215859,0.40554156171284633,0.5160256410256411,161,0.6563876651982379,0.37531486146095716,0.4775641025641026,149,0.4889867841409692,0.2795969773299748,0.3557692307692308,111,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.3,371,184,187,tumor images only,0.5109474146615661,0.41538500731565997,0.5412261967992732,0.5864749105844114,63.07267766565222,25.968544232220616,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,160,24,24,0.8695652173913043,0.782608695652174,0.7797356828193832,0.4869791666666667,227,177,384,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5668449197860963,0.43315508021390375,0.9973538744431285,0.7102217348927875,0.633512821498291,478019,195037,276534,73511594,0.7092511013215859,0.4192708333333333,0.5270049099836334,161,0.6519823788546255,0.3854166666666667,0.4844517184942717,148,0.4889867841409692,0.2890625,0.36333878887070375,111,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.35,371,184,187,tumor images only,0.5109023459990076,0.4153246359017451,0.5451956868992994,0.5820676666478378,63.86224008728882,26.09219225080537,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,160,24,24,0.8695652173913043,0.782608695652174,0.775330396475771,0.49604221635883905,227,176,379,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5668449197860963,0.43315508021390375,0.9974706346298747,0.7174620061711556,0.6274085451916566,473413,186431,281140,73520200,0.7092511013215859,0.42480211081794195,0.5313531353135313,161,0.6563876651982379,0.39313984168865435,0.49174917491749176,149,0.4933920704845815,0.2955145118733509,0.3696369636963696,112,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.4,371,184,187,tumor images only,0.5108397203394807,0.41526095481040115,0.5487868640614115,0.578108688425791,63.36518897771259,26.01760321249744,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,160,24,24,0.8695652173913043,0.782608695652174,0.775330396475771,0.5013333333333333,227,176,375,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5721925133689839,0.42780748663101603,0.9975814116371701,0.7245244706940434,0.6213678827067151,468855,178266,285698,73528365,0.7092511013215859,0.42933333333333334,0.5348837209302325,161,0.6563876651982379,0.3973333333333333,0.4950166112956811,149,0.4889867841409692,0.296,0.3687707641196013,111,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.45,371,184,187,tumor images only,0.5107325498086555,0.4151132384837123,0.5522677912955082,0.5745207300935943,61.37953909084244,25.939045249251215,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,160,24,24,0.8695652173913043,0.782608695652174,0.775330396475771,0.5027027027027027,227,176,370,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5721925133689839,0.42780748663101603,0.9976718648285525,0.7303903392450886,0.616090586082091,464873,171599,289680,73535032,0.7092511013215859,0.43513513513513513,0.5393634840871022,161,0.6563876651982379,0.4027027027027027,0.4991624790619765,149,0.4889867841409692,0.3,0.37185929648241206,111,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.5,371,184,187,tumor images only,0.510678529421355,0.415036753150549,0.5553627882560989,0.5712153192065249,61.46604968624956,25.934187508115023,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,160,24,24,0.8695652173913043,0.782608695652174,0.775330396475771,0.509641873278237,227,176,363,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5828877005347594,0.41711229946524064,0.9977462543363297,0.7352420843254822,0.6113685851093297,461310,166116,293243,73540515,0.7092511013215859,0.44352617079889806,0.5457627118644067,161,0.6563876651982379,0.41046831955922863,0.5050847457627119,149,0.4845814977973568,0.30303030303030304,0.3728813559322034,110,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.55,371,184,187,tumor images only,0.5106511223345782,0.4150529621311664,0.5583604032705197,0.5678364391657327,60.94177808433201,25.81424859502254,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,160,24,24,0.8695652173913043,0.782608695652174,0.775330396475771,0.5165745856353591,227,176,362,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5989304812834224,0.40106951871657753,0.9978167500289086,0.7399377802917054,0.6067897152353777,457855,160920,296698,73545711,0.7092511013215859,0.4447513812154696,0.5466893039049237,161,0.6475770925110133,0.40607734806629836,0.499151103565365,147,0.4801762114537445,0.3011049723756906,0.3701188455008489,109,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.6,371,184,187,tumor images only,0.5098414485052466,0.41428333541573376,0.5611642917113038,0.5633500374865447,59.868941254240994,25.74682679660483,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,160,24,24,0.8695652173913043,0.782608695652174,0.775330396475771,0.5223463687150838,227,176,358,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6042780748663101,0.39572192513368987,0.9978864181161665,0.7446641469355109,0.6021220510686459,454333,155785,300220,73550846,0.7048458149779736,0.44692737430167595,0.5470085470085471,160,0.6431718061674009,0.40782122905027934,0.49914529914529915,146,0.4845814977973568,0.30726256983240224,0.37606837606837606,110,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.65,371,184,187,tumor images only,0.509009783298816,0.4134208819580856,0.5639989617643231,0.5590871827930727,59.86270058032612,25.871512384070165,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,160,24,24,0.8695652173913043,0.782608695652174,0.775330396475771,0.5252808988764045,227,176,356,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6096256684491979,0.39037433155080214,0.9979597222399162,0.7497591309745086,0.5971310166416408,450567,150382,303986,73556249,0.7048458149779736,0.449438202247191,0.548885077186964,160,0.6431718061674009,0.4101123595505618,0.5008576329331046,146,0.4801762114537445,0.3061797752808989,0.37392795883361923,109,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.7,371,184,187,tumor images only,0.5080282342048207,0.4124177293788728,0.5620572842059477,0.5544440282540862,60.393591621243665,26.088667738857705,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,159,25,25,0.8641304347826086,0.7771739130434783,0.7665198237885462,0.5269121813031161,227,174,353,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6203208556149733,0.37967914438502676,0.9980417230031854,0.7556148908683631,0.5914481819037232,446279,144338,308274,73562293,0.7048458149779736,0.45325779036827196,0.5517241379310345,160,0.6431718061674009,0.41359773371104813,0.503448275862069,146,0.47577092511013214,0.3059490084985836,0.3724137931034483,108,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.75,371,184,187,tumor images only,0.5071929877416731,0.41156667647182366,0.5654664453064346,0.5492814453878921,60.42882879970384,26.058599943368282,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,159,25,25,0.8641304347826086,0.7771739130434783,0.7665198237885462,0.5380116959064327,227,174,342,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6310160427807486,0.3689839572192513,0.9981285265907758,0.7618307641306149,0.5847541524584754,441228,137940,313325,73568691,0.7048458149779736,0.4678362573099415,0.562390158172232,160,0.6343612334801763,0.42105263157894735,0.5061511423550088,144,0.4713656387665198,0.3128654970760234,0.37609841827768015,107,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.8,371,184,187,tumor images only,0.5059296741483272,0.41016198528370335,0.5696952075512826,0.54274941592394,60.48219743756787,25.992486531796654,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,159,25,25,0.8641304347826086,0.7771739130434783,0.7665198237885462,0.5459940652818991,227,174,337,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6363636363636364,0.36363636363636365,0.9982294130361216,0.7692392023170856,0.5765453188841606,435034,130504,319519,73576127,0.7048458149779736,0.47477744807121663,0.5673758865248227,160,0.6343612334801763,0.42729970326409494,0.5106382978723404,144,0.4669603524229075,0.314540059347181,0.375886524822695,106,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.85,371,184,187,tumor images only,0.5044008123084138,0.40837589449836253,0.5717773352072744,0.5347192197892143,60.429311824915594,25.652167986299883,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,158,26,26,0.8586956521739131,0.7717391304347826,0.762114537444934,0.5585585585585585,227,173,333,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6524064171122995,0.34759358288770054,0.9983472450395948,0.7779703678592064,0.5656885599818701,426842,121819,327711,73584812,0.7092511013215859,0.48348348348348347,0.575,161,0.6387665198237885,0.43543543543543545,0.5178571428571429,145,0.4713656387665198,0.3213213213213213,0.3821428571428571,107,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
