subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.6072223413382152,0.4959823220856998,0.8113104245691797,0.5556337743876213,93.49463329945483,26.155934127640656,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.9444444444444444,0.875,0.8085106382978723,40,35,47,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9877260321999537,0.8482240650915349,0.596704261425415,222261,39770,150220,3200421,0.7,0.5957446808510638,0.6436781609195402,28,0.65,0.5531914893617021,0.5977011494252874,26,0.475,0.40425531914893614,0.4367816091954023,19,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.6330372530709371,0.5323147985075969,0.6497689185494724,0.6784036555824406,54.79564762604326,18.471440587591506,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,64,8,8,0.8888888888888888,0.8611111111111112,0.8658536585365854,0.7475728155339806,82,71,103,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9934289529425864,0.7233609983281586,0.694304512032277,242297,92663,106681,14009047,0.8048780487804879,0.6407766990291263,0.7135135135135136,66,0.7804878048780488,0.6213592233009708,0.6918918918918919,64,0.6585365853658537,0.5242718446601942,0.5837837837837838,54,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,126,0,0.0,{},0.5454545454545454,0.45454545454545453,0.9992643808233521,0.0,,0,27609,0,37504039,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.3998633759797166,0.31072730265469967,0.4090342648667648,0.5314336863676051,65.47480351693008,31.69867989540825,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,79,15,15,0.8404255319148937,0.7127659574468085,0.6952380952380952,0.6033057851239669,105,73,121,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9976871018774304,0.29093957546555543,0.540067685985375,17873,43559,15221,18789523,0.638095238095238,0.5537190082644629,0.5929203539823009,67,0.5619047619047619,0.48760330578512395,0.5221238938053098,59,0.3619047619047619,0.3140495867768595,0.336283185840708,38,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.4774868982091726,0.38471245191012804,0.49559328056905155,0.5779476643989886,64.92559102208584,26.63454566224683,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,113,18,18,0.8625954198473282,0.7633587786259542,0.7532467532467533,0.4013605442176871,154,116,294,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.5393939393939394,0.46060606060606063,0.9978246705166067,0.6401917199611181,0.6302397026055111,228535,128444,134081,58917324,0.6818181818181818,0.35714285714285715,0.46875,105,0.6233766233766234,0.32653061224489793,0.42857142857142855,96,0.45454545454545453,0.23809523809523808,0.3125,70,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.6423909667855687,0.5293644210808474,0.6882434997287503,0.6593572126300375,52.26345564388099,22.257020802783714,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,29,2,2,0.9354838709677419,0.9032258064516129,0.8837209302325582,0.6949152542372882,43,38,59,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.6875,0.3125,0.9944375624887729,0.7501512254136746,0.6821286939858229,153775,51217,71659,9156437,0.7906976744186046,0.576271186440678,0.6666666666666666,34,0.7209302325581395,0.5254237288135594,0.6078431372549019,31,0.5581395348837209,0.4067796610169492,0.47058823529411764,24,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.528679003251567,0.43886752208628627,0.617177383143006,0.5750009105304147,79.4790697961148,26.421971606632635,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,19,3,3,0.8636363636363636,0.8181818181818182,0.8333333333333334,0.6590909090909091,30,25,44,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.3333333333333333,0.6666666666666666,0.9956099243582999,0.8070304124583874,0.6013164927959256,100121,23940,66382,5429269,0.7333333333333333,0.5,0.5945945945945946,22,0.7333333333333333,0.5,0.5945945945945946,22,0.5666666666666667,0.38636363636363635,0.4594594594594595,17,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.13175470552519733,0.07052323691907703,0.9333333333333333,0.070880287440797,61.09411708155671,21.71875665023092,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,0.6666666666666666,1,1,3,0,0.0,{'1': 1},,,0.9998406833144038,0.9333333333333333,0.070880287440797,434,31,5689,194550,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.5529809565216904,0.4569236880241765,0.5748139315115574,0.6695761430785944,73.8838804302376,29.82510766546974,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,44,4,4,0.9166666666666666,0.8541666666666666,0.86,0.6818181818181818,50,43,66,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9934429607474095,0.681816307597155,0.6043989180891114,132286,61734,86586,9353186,0.78,0.5909090909090909,0.6724137931034483,39,0.74,0.5606060606060606,0.6379310344827587,37,0.62,0.4696969696969697,0.5344827586206896,31,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.4093351896144179,0.29644358594543846,0.5541252993882632,0.44686284383333,41.931778065449116,21.482060506876923,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,11,1,1,0.9166666666666666,0.8333333333333334,0.7692307692307693,0.7142857142857143,13,10,14,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9993277797513617,0.5294117647058824,0.40634778721502013,1818,1616,2656,2402358,0.6923076923076923,0.6428571428571429,0.6666666666666666,9,0.5384615384615384,0.5,0.5185185185185185,7,0.15384615384615385,0.14285714285714285,0.14814814814814814,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot,7,7,0,tumor images only,0.32529048222415735,0.2655281385112565,0.36554710453421874,0.31427998855005146,37.36439612559142,30.230774672581482,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,4,3,3,0.5714285714285714,0.42857142857142855,0.375,0.5,8,3,6,1,0.14285714285714285,"{'1': 6, '2': 1}",,,0.9986088206629073,0.6860183841315917,0.7883617494440326,4254,1947,1142,1397585,0.375,0.5,0.42857142857142855,3,0.375,0.5,0.42857142857142855,3,0.25,0.3333333333333333,0.2857142857142857,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot|tibia|fibula,1,1,0,tumor images only,0.4942247112355618,0.32821943282194327,0.3422200678623364,0.889168765743073,41.467958047989576,11.221576674813353,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,0.5,1,1,2,0,0.0,{'1': 1},,,0.9932119453754189,0.3422200678623364,0.889168765743073,706,1357,88,198553,1.0,0.5,0.6666666666666666,1,1.0,0.5,0.6666666666666666,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hand,8,8,0,tumor images only,0.13575913902994702,0.10967216137245929,0.3326771576375465,0.1380843963625156,96.77990335137622,63.40025668345372,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,1,1,0.875,0.375,0.375,0.3,8,3,10,0,0.0,{'1': 8},,,0.9986760942888424,0.7401535793906366,0.28556410378936303,5976,2098,14951,1582607,0.125,0.1,0.1111111111111111,1,0.125,0.1,0.1111111111111111,1,0.125,0.1,0.1111111111111111,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip bone,10,10,0,tumor images only,0.30558539859763884,0.2640925246344463,0.3235473424054495,0.2900836468498649,98.03264696240286,32.78103111881433,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,5,5,5,0.5,0.4,0.4,0.5,10,4,8,0,0.0,{'1': 10},,,0.9961544056853499,0.8267683481424474,0.4696803084301594,35451,7428,40028,1924133,0.4,0.5,0.4444444444444444,4,0.4,0.5,0.4444444444444444,4,0.3,0.375,0.3333333333333333,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip-joint,2,2,0,tumor images only,0.7968882365186851,0.6685849483843918,0.9111309358133222,0.7342441881849403,160.46673072617133,18.60751127229388,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,0.6666666666666666,2,2,3,0,0.0,{'1': 2},,,0.9949256716218918,0.9066516236632983,0.7005647576090664,18483,1903,7900,373122,1.0,0.6666666666666666,0.8,2,1.0,0.6666666666666666,0.8,2,1.0,0.6666666666666666,0.8,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,humerus,25,25,0,tumor images only,0.6547305315489937,0.5571100777889876,0.6207853442882042,0.7362079264324933,61.771379857004035,27.035680626961256,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,24,1,1,0.96,0.84,0.84,0.6,25,21,35,0,0.0,{'1': 25},,,0.9948664887638797,0.7454044487349664,0.8650181461729662,74126,25318,11567,4906589,0.84,0.6,0.7,21,0.8,0.5714285714285714,0.6666666666666666,20,0.8,0.5714285714285714,0.6666666666666666,20,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,knee-joint,2,2,0,tumor images only,0.5288568399177012,0.45039081191278774,0.8911536506153916,0.49855135640549386,44.16614564074096,16.47035558469252,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,3,0,0.0,{'1': 2},,,0.9981790961271473,0.8874479666986872,0.36143714136671884,5543,703,9793,385369,0.5,0.3333333333333333,0.4,1,0.5,0.3333333333333333,0.4,1,0.5,0.3333333333333333,0.4,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,radius,7,7,0,tumor images only,0.489091252580725,0.39317134897230643,0.4684883303827899,0.5820713617546798,91.38344724919145,15.665835105384218,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,5,2,2,0.7142857142857143,0.7142857142857143,0.7777777777777778,0.6363636363636364,9,7,11,1,0.14285714285714285,"{'1': 6, '3': 1}",,,0.9977990234648674,0.7686381146612282,0.7666691780305884,10176,3063,3097,1388592,0.6666666666666666,0.5454545454545454,0.6,6,0.6666666666666666,0.5454545454545454,0.6,6,0.5555555555555556,0.45454545454545453,0.5,5,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,shoulder-joint,2,2,0,tumor images only,0.0,0.0,0.0,0.0,182.68580859809876,125.38069717723997,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,1,1,0.5,0.0,0.0,0.0,2,0,1,0,0.0,{'1': 2},,,0.986617251383536,0.0,0.0,0,5337,2611,393460,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
