subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.01539567704287776,0.008349904957163064,0.11898317995632825,0.008494485879045135,190.71648565378982,105.27914700950198,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,8,10,10,0.4444444444444444,0.16666666666666666,0.075,0.375,40,3,8,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9954536573681176,0.19880609743097752,0.009815634489981738,1865,7516,188138,1645681,0.025,0.125,0.041666666666666664,1,0.025,0.125,0.041666666666666664,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.05793018332543608,0.04192429732465124,0.10046937692874595,0.06325315317440344,138.72175097278895,99.37291347050531,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,32,40,40,0.4444444444444444,0.125,0.12048192771084337,0.28125,83,10,32,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9916043636460676,0.16596479116327234,0.06753150440190796,12020,60405,165971,7134404,0.0963855421686747,0.25,0.1391304347826087,8,0.060240963855421686,0.15625,0.08695652173913043,5,0.024096385542168676,0.0625,0.034782608695652174,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.007247395202184537,0.004321693932789517,0.012069121077273546,0.032777411779828895,113.81188386089842,88.73075141680795,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,34,60,60,0.3617021276595745,0.0425531914893617,0.0380952380952381,0.11764705882352941,105,4,34,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9891863460681473,0.003672487031230523,0.022767804066103913,383,103906,16439,9504872,0.01904761904761905,0.058823529411764705,0.02877697841726619,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.01958958343249987,0.013555659562632997,0.031232974832938312,0.040655430116303674,118.53597430719871,86.85418662325135,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,46,85,85,0.3511450381679389,0.061068702290076333,0.05844155844155844,0.17391304347826086,154,9,46,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9960861729735216,0.04949010439759765,0.03320191023207265,6139,117906,178760,30007595,0.032467532467532464,0.10869565217391304,0.05,5,0.012987012987012988,0.043478260869565216,0.02,2,0.006493506493506494,0.021739130434782608,0.01,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.07562153520996902,0.054078291448717584,0.17641972814444834,0.07544083007299081,136.80229200866737,94.25123594790875,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,13,18,18,0.41935483870967744,0.22580645161290322,0.1590909090909091,0.5384615384615384,44,7,13,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9977472093430677,0.41806884416584184,0.066072251045007,7603,10583,107468,4687146,0.11363636363636363,0.38461538461538464,0.17543859649122806,5,0.09090909090909091,0.3076923076923077,0.14035087719298245,4,0.022727272727272728,0.07692307692307693,0.03508771929824561,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.009947614274637365,0.005584931303221422,0.0431572038070233,0.0056217001902400445,173.55649022575295,121.23022022075205,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,15,7,7,0.6818181818181818,0.045454545454545456,0.03333333333333333,0.06666666666666667,30,1,15,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9844239805574704,0.011991610432245121,0.0061994672701129105,526,43338,84320,2739016,0.03333333333333333,0.06666666666666667,0.044444444444444446,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,214.05221281526394,185.1946432990251,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,1,0,0.0,{'1': 1},,,0.9990934456117732,0.0,0.0,0,90,3123,99187,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.05213747428317201,0.03614070872554496,0.10220267078915019,0.07310707091112865,139.0123381197304,101.27926987530556,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,32,16,16,0.6666666666666666,0.14583333333333334,0.14,0.21875,50,7,32,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9879906986620479,0.05976693016054111,0.03286136750604893,3667,57688,107923,4745922,0.1,0.15625,0.12195121951219512,5,0.06,0.09375,0.07317073170731707,3,0.02,0.03125,0.024390243902439025,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.0,0.0,0.0,0.0,213.11913897228942,169.70757566352853,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,10,10,0.16666666666666666,0.0,0.0,0.0,13,0,2,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9864806030652228,0.0,0.0,0,16582,2266,1209952,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
