above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_causal_score_max,classifier_causal_score_mean,classifier_causal_score_min,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
6,0,1.0,0.2721407115459442,0.0,0.903232421875,0.2287977635860443,ground_truth,,,,0.9999306201934814,0.001328125,btxrd-heuristic-000001,IMG000001.jpeg,0.001328125,136,320,masks/IMG000001.png,2ab2b700ce4847317c7511f090bced79026c41adb3c32bef892c256e7ecb55a7,0|255,320,9,,16,1024,0.001328125,1,0,0,0.7208622694015503,0.2772674560546875,6.739583477610722e-05,val,ok,0.15,1,9,0,1024,1024
1,0,1.0,0.1333007663488388,0.0,0.74419921875,0.15117280185222626,ground_truth,,,,0.061212100088596344,0.001083984375,btxrd-heuristic-000006,IMG000010.jpeg,0.001083984375,111,320,masks/IMG000010.png,7dff3bb6d88f902e3e1932735547c989405ded0a66f836dabdf5547802e60d1f,0|255,320,8,,15,1024,0.001083984375,1,0,0,0.4928872883319855,0.10990981012582779,0.0012729327427223325,val,ok,0.15,1,8,0,1024,1024
0,0,1.0,0.09971494972705841,0.0,0.759375,0.16776877641677856,ground_truth,,,,0.9684011936187744,0.0,btxrd-heuristic-000009,IMG000017.jpeg,0.0,0,320,masks/IMG000017.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,3,no_candidate_survived_or_postprocess_empty,10,1024,0.0,0,0,0,0.3375866413116455,0.10810766369104385,0.0002708073006942868,val,empty_after_localization,0.150009765625,1,8,0,1024,1024
0,0,1.0,0.09069505333900452,0.0,0.630380859375,0.17235170304775238,ground_truth,,,,0.9734755158424377,0.0,btxrd-heuristic-000009,IMG000018.jpeg,0.0,0,320,masks/IMG000018.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,3,no_candidate_survived_or_postprocess_empty,10,1024,0.0,0,0,0,0.1559060662984848,0.08888588845729828,0.01666666753590107,val,empty_after_localization,0.15,1,8,0,1024,1024
0,0,1.0,0.08954978734254837,0.0,0.68390625,0.15360811352729797,ground_truth,,,,0.9885359406471252,0.0,btxrd-heuristic-000017,IMG000033.jpeg,0.0,0,320,masks/IMG000033.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,4,no_candidate_survived_or_postprocess_empty,7,1024,0.0,0,0,0,0.19500420987606049,0.08691572397947311,0.00032199491397477686,val,empty_after_localization,0.15,1,8,0,1024,1024
0,0,1.0,0.0713447630405426,0.0,0.579013671875,0.13294021785259247,ground_truth,,,,0.9991543292999268,0.0,btxrd-heuristic-000017,IMG000034.jpeg,0.0,0,320,masks/IMG000034.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,8,no_candidate_survived_or_postprocess_empty,7,1024,0.0,0,0,0,0.15079189836978912,0.07564457505941391,0.00045975190005265176,val,empty_after_localization,0.15,1,8,0,1024,1024
0,0,1.0,0.08566564321517944,0.0,0.594072265625,0.17022116482257843,ground_truth,,,,0.22406648099422455,0.0,btxrd-heuristic-000025,IMG000048.jpeg,0.0,0,320,masks/IMG000048.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,9,no_candidate_survived_or_postprocess_empty,14,1024,0.0,0,0,0,0.36201804876327515,0.10446419566869736,0.0,val,empty_after_localization,0.13359375,1,8,0,1024,1024
3,0,1.0,0.16568320989608765,0.0,0.812314453125,0.21014592051506042,ground_truth,,,,0.7224388122558594,0.001015625,btxrd-heuristic-000025,IMG000049.jpeg,0.001015625,104,320,masks/IMG000049.png,adfec25dc70b15a99dfa370bae7a98699f3a16143a69870c2b07885a226492fb,0|255,320,9,,21,1024,0.001015625,1,0,0,0.7214267253875732,0.1846749633550644,0.00831501092761755,val,ok,0.14404296875,1,8,0,1024,1024
3,0,1.0,0.21889528632164001,0.0,0.932041015625,0.2013392448425293,ground_truth,,,,0.9999688863754272,0.0,btxrd-heuristic-000026,IMG000050.jpeg,0.0,0,320,masks/IMG000050.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,9,no_candidate_survived_or_postprocess_empty,15,1024,0.0,1,0,0,0.6477074027061462,0.17097897827625275,0.01688624732196331,val,empty_after_localization,0.1389453125,1,8,0,1024,1024
0,0,1.0,0.12520712614059448,0.0,0.63607421875,0.17499837279319763,ground_truth,,,,0.9976662397384644,0.0,btxrd-heuristic-000029,IMG000055.jpeg,0.0,0,320,masks/IMG000055.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,7,no_candidate_survived_or_postprocess_empty,9,1024,0.0,0,0,0,0.15186707675457,0.07554247975349426,0.0,val,empty_after_localization,0.15,1,8,0,1024,1024
1,0,1.0,0.13169705867767334,0.0,0.8485546875,0.17607209086418152,ground_truth,,,,0.9999642372131348,0.00298828125,btxrd-heuristic-000029,IMG000056.jpeg,0.00298828125,306,320,masks/IMG000056.png,5f03d8c3f84ca4647755cd4e684b759bbcce2e9d7ead8dd1c0e8eb3a48b48a59,0|255,320,4,,6,1024,0.00298828125,1,0,0,0.6038241982460022,0.1794927567243576,0.03244011476635933,val,ok,0.15,1,8,0,1024,1024
0,0,1.0,0.16200922429561615,0.0,0.93251953125,0.1941419094800949,ground_truth,,,,0.9999889135360718,0.0,btxrd-heuristic-000037,IMG000071.jpeg,0.0,0,320,masks/IMG000071.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,7,no_candidate_survived_or_postprocess_empty,20,1024,0.0,0,0,0,0.28473296761512756,0.08633993566036224,0.002615033881738782,val,empty_after_localization,0.15,1,8,0,1024,1024
1,0,1.0,0.11433553695678711,0.0,0.86359375,0.18037304282188416,ground_truth,,,,0.9970747232437134,0.0025,btxrd-heuristic-000039,IMG000076.jpeg,0.0025,256,320,masks/IMG000076.png,53322e0d389c8959ca53a94d4b0d9a8e0c169efb44310ac1d532caffecfe1c5d,0|255,320,4,,7,1024,0.0025,1,0,0,0.6781646013259888,0.16437242925167084,6.8064465175154965e-09,val,ok,0.15,1,8,0,1024,1024
0,0,1.0,0.05529196560382843,0.0,0.317529296875,0.16640058159828186,ground_truth,,,,0.8206584453582764,0.0,btxrd-heuristic-000063,IMG000125.jpeg,0.0,0,320,masks/IMG000125.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,4,no_candidate_survived_or_postprocess_empty,11,1024,0.0,0,0,0,0.1502029001712799,0.08362119644880295,7.011913839960471e-05,val,empty_after_localization,0.149736328125,1,8,0,1024,1024
1,0,1.0,0.0963677242398262,0.0,0.650576171875,0.21199361979961395,ground_truth,,,,0.9559813141822815,0.01798828125,btxrd-heuristic-000063,IMG000126.jpeg,0.01798828125,1842,320,masks/IMG000126.png,f08412b55ff9a012ddcddae917a8d4257ca7d6975c73b60a85b32462d59b89af,0|255,320,3,,14,1024,0.01798828125,1,0,0,0.5390731692314148,0.10837172716856003,0.00015633321891073138,val,ok,0.15,1,8,0,1024,1024
