subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.3843911809676046,0.2956542690344299,0.498506853279801,0.3716703994735279,123.27059357328443,54.23119677320009,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.7777777777777778,0.475,0.6,40,19,35,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9744228909198359,0.5764187327823691,0.30284258669599956,57541,42284,132462,1610913,0.4,0.45714285714285713,0.4266666666666667,16,0.275,0.3142857142857143,0.29333333333333333,11,0.15,0.17142857142857143,0.16,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.28530965744080905,0.20339530233158076,0.24798421162060658,0.4453662774480873,117.12664182902714,63.291017164083925,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,67,5,5,0.9305555555555556,0.6527777777777778,0.5783132530120482,0.48,83,48,100,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9631295285253576,0.23085665907021785,0.4473372249158665,79622,265276,98369,6929533,0.5180722891566265,0.43,0.46994535519125685,43,0.37349397590361444,0.31,0.33879781420765026,31,0.18072289156626506,0.15,0.16393442622950818,15,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.02965892596781363,0.017764397082229468,0.023659218964376453,0.27992830144765024,145.4209697734665,92.58347688078926,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,88,6,6,0.9361702127659575,0.4148936170212766,0.3904761904761905,0.2702702702702703,105,41,148,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9520923472266712,0.010047182186896514,0.27773154202829625,4672,460334,12150,9148444,0.05714285714285714,0.04054054054054054,0.04743083003952569,6,0.01904761904761905,0.013513513513513514,0.015810276679841896,2,0.01904761904761905,0.013513513513513514,0.015810276679841896,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.14702316229359016,0.10554228986574532,0.12927419458556344,0.37244800545513373,127.17991796448608,74.90887823705235,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,124,7,7,0.9465648854961832,0.549618320610687,0.487012987012987,0.36585365853658536,154,75,205,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9808502105906886,0.1305506993006993,0.46848820166685595,86623,576897,98276,29548604,0.24675324675324675,0.18536585365853658,0.2116991643454039,38,0.18181818181818182,0.13658536585365855,0.15598885793871867,28,0.08441558441558442,0.06341463414634146,0.07242339832869081,13,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.30109034203439083,0.22134237387354794,0.3056835084564334,0.42995336362470493,105.52940590839992,58.930379393777145,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,27,4,4,0.8709677419354839,0.6129032258064516,0.5227272727272727,0.5897435897435898,44,23,39,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9847475237503057,0.40270090030010003,0.4198103779405758,48308,71652,66763,4626077,0.4318181818181818,0.48717948717948717,0.4578313253012048,19,0.3181818181818182,0.358974358974359,0.3373493975903614,14,0.22727272727272727,0.2564102564102564,0.24096385542168675,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.07524730775469034,0.04311083516956812,0.12003840570514686,0.13411165981256942,192.8998745366326,112.9174778361003,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.4090909090909091,0.3333333333333333,0.28205128205128205,30,10,39,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9571064645260812,0.05468558166797361,0.08137095443509416,6904,119345,77942,2663009,0.26666666666666666,0.20512820512820512,0.2318840579710145,8,0.06666666666666667,0.05128205128205128,0.057971014492753624,2,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,175.93180496999398,134.97449147084208,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,1,0,0.0,{'1': 1},,,0.9702045791069432,0.0,0.0,0,2958,3123,96319,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.2339106433925211,0.1630995773365024,0.19345134706608055,0.46219303647578514,130.96989928292143,75.93315824936555,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.625,0.6,0.4246575342465753,50,30,73,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9577388672269398,0.18698086457824378,0.41838874451115693,46688,203006,64902,4600604,0.48,0.3287671232876712,0.3902439024390244,24,0.34,0.2328767123287671,0.2764227642276423,17,0.12,0.0821917808219178,0.0975609756097561,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.011752531949172293,0.0061297520169351855,0.0061311127821233645,0.22680555555555557,169.71218693150087,107.23813284280469,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.3333333333333333,0.3076923076923077,0.21052631578947367,13,4,19,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.938031884970168,0.006262665882199124,0.2113857016769638,479,76006,1787,1150528,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
