above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_causal_score_max,classifier_causal_score_mean,classifier_causal_score_min,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
69,18,1.0,0.2721407115459442,0.0,0.903232421875,0.2287977635860443,ground_truth,,,,0.9999306201934814,0.028876953125,btxrd-heuristic-000001,IMG000001.jpeg,0.028876953125,2957,320,masks/IMG000001.png,f6845163d3f477241543ab00b5877c2b4b96094b935c13999213010b3d5c4246,0|255,320,9,,81,27,0.028876953125,3,0,3,0.7539575099945068,0.5800663232803345,0.15058840811252594,val,ok,0.15,1,9,29,20,49
17,16,1.0,0.1333007663488388,0.0,0.74419921875,0.15117280185222626,ground_truth,,,,0.061212100088596344,0.0301953125,btxrd-heuristic-000006,IMG000010.jpeg,0.0301953125,3092,320,masks/IMG000010.png,f79efdd655cb43aee950fc3388d6b3bd9630ba10371cffe8c6c923216383eeee,0|255,320,8,,72,24,0.030986328125,3,0,3,0.5698014497756958,0.29449474811553955,0.007697597611695528,val,ok,0.15,1,8,32,19,51
13,6,1.0,0.09971494972705841,0.0,0.759375,0.16776877641677856,ground_truth,,,,0.9684011936187744,0.1373046875,btxrd-heuristic-000009,IMG000017.jpeg,0.1373046875,14060,320,masks/IMG000017.png,b2287aab858ac14e02c984f1370f1a2de9409b3ea4a7bdd5a27c33d229f02098,0|255,320,3,,27,9,0.13806640625,3,0,3,0.6777307391166687,0.41376960277557373,0.19030506908893585,val,ok,0.150009765625,1,8,12,5,17
24,6,1.0,0.09069505333900452,0.0,0.630380859375,0.17235170304775238,ground_truth,,,,0.9734755158424377,0.0591796875,btxrd-heuristic-000009,IMG000018.jpeg,0.0591796875,6060,320,masks/IMG000018.png,e43a3f7dcf67de08e1b94c4d9fc47b8e01c2ffa79968d4397b262080ed5510ea,0|255,320,3,,27,9,0.072470703125,3,0,3,0.7527127265930176,0.5300589203834534,0.23983322083950043,val,ok,0.15,1,8,12,5,17
14,8,1.0,0.08954978734254837,0.0,0.68390625,0.15360811352729797,ground_truth,,,,0.9885359406471252,0.0851953125,btxrd-heuristic-000017,IMG000033.jpeg,0.0851953125,8724,320,masks/IMG000033.png,eb86d86d4d187bf5912613874fa1745fa5c4ffd089e8de45d1efb61c1caabea0,0|255,320,4,,36,12,0.0851953125,3,0,3,0.6057425737380981,0.33042654395103455,0.001319841481745243,val,ok,0.15,1,8,14,8,22
7,16,1.0,0.0713447630405426,0.0,0.579013671875,0.13294021785259247,ground_truth,,,,0.9991543292999268,0.0,btxrd-heuristic-000017,IMG000034.jpeg,0.0,0,320,masks/IMG000034.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,8,no_candidate_survived_or_postprocess_empty,72,24,0.167001953125,2,0,2,0.56687331199646,0.1926669180393219,0.004362506326287985,val,empty_after_localization,0.15,1,8,30,15,45
29,18,1.0,0.08566564321517944,0.0,0.594072265625,0.17022116482257843,ground_truth,,,,0.22406648099422455,0.017490234375,btxrd-heuristic-000025,IMG000048.jpeg,0.017490234375,1791,320,masks/IMG000048.png,95958845f7469c9908caa4674a6e1d997f7b47a830c57bb02ff4487a0c321248,0|255,320,9,,81,27,0.017666015625,3,0,3,0.7048782706260681,0.3306480050086975,0.045482516288757324,val,ok,0.13359375,1,8,34,17,51
54,18,1.0,0.16568320989608765,0.0,0.812314453125,0.21014592051506042,ground_truth,,,,0.7224388122558594,0.053017578125,btxrd-heuristic-000025,IMG000049.jpeg,0.053017578125,5429,320,masks/IMG000049.png,37eb3bdcd7d9789480d16d4c31f41e5e7594287bce13936fa609fd717d508548,0|255,320,9,,81,27,0.053125,3,0,3,0.7588834762573242,0.4664810001850128,0.04645335674285889,val,ok,0.14404296875,1,8,32,19,51
61,18,1.0,0.21889528632164001,0.0,0.932041015625,0.2013392448425293,ground_truth,,,,0.9999688863754272,0.045888671875,btxrd-heuristic-000026,IMG000050.jpeg,0.045888671875,4699,320,masks/IMG000050.png,b2233a469963b03dd74706ecb2e6f90d43bca2740bdeed417d1689e14320ebd2,0|255,320,9,,81,27,0.04595703125,3,0,3,0.6938306093215942,0.48425590991973877,0.21212881803512573,val,ok,0.1389453125,1,8,36,15,51
23,14,1.0,0.12520712614059448,0.0,0.63607421875,0.17499837279319763,ground_truth,,,,0.9976662397384644,0.071337890625,btxrd-heuristic-000029,IMG000055.jpeg,0.071337890625,7305,320,masks/IMG000055.png,a24c637d31de04f1962b171a2f7dd170d10b3eab5fd11e5ee19a623b8c9fadd1,0|255,320,7,,63,21,0.07150390625,3,0,3,0.6200313568115234,0.337606281042099,0.004671942442655563,val,ok,0.15,1,8,28,15,43
24,8,1.0,0.13169705867767334,0.0,0.8485546875,0.17607209086418152,ground_truth,,,,0.9999642372131348,0.120068359375,btxrd-heuristic-000029,IMG000056.jpeg,0.120068359375,12295,320,masks/IMG000056.png,3b3e73ba1ecf2edf6cb3d8365d651c780d9263ca8b70e61348a11ca10cf8aab5,0|255,320,4,,36,12,0.120087890625,3,0,3,0.7547747492790222,0.4158952832221985,0.001620560185983777,val,ok,0.15,1,8,13,7,20
34,14,1.0,0.16200922429561615,0.0,0.93251953125,0.1941419094800949,ground_truth,,,,0.9999889135360718,0.082509765625,btxrd-heuristic-000037,IMG000071.jpeg,0.082509765625,8449,320,masks/IMG000071.png,192b1d814529271ed2fdce4df6694844605b91b4233e006431aff5ec2e1aa208,0|255,320,7,,63,21,0.083037109375,3,0,3,0.7097102999687195,0.4073179364204407,0.033156994730234146,val,ok,0.15,1,8,24,20,44
22,8,1.0,0.11433553695678711,0.0,0.86359375,0.18037304282188416,ground_truth,,,,0.9970747232437134,0.160625,btxrd-heuristic-000039,IMG000076.jpeg,0.160625,16448,320,masks/IMG000076.png,53e8a366d3318e95a08f216ec2ebb056e35e76b836615b6b58e2cfc126b13862,0|255,320,4,,36,12,0.16064453125,3,0,3,0.68916916847229,0.4501969516277313,0.13620074093341827,val,ok,0.15,1,8,16,10,26
25,8,1.0,0.05529196560382843,0.0,0.317529296875,0.16640058159828186,ground_truth,,,,0.8206584453582764,0.046669921875,btxrd-heuristic-000063,IMG000125.jpeg,0.046669921875,4779,320,masks/IMG000125.png,b89cccc9ff73003528667ef57688e2f1b110702d90b9ae01b45f7b68bdbb8544,0|255,320,4,,36,12,0.046875,3,0,3,0.7237897515296936,0.4694693982601166,0.0028471723198890686,val,ok,0.149736328125,1,8,16,10,26
22,4,1.0,0.0963677242398262,0.0,0.650576171875,0.21199361979961395,ground_truth,,,,0.9559813141822815,0.1150390625,btxrd-heuristic-000063,IMG000126.jpeg,0.1150390625,11780,320,masks/IMG000126.png,18e00b9c5d3dcac265c516de413b1c7ebf300906f4d9b8d84e05aba11fdb7ab4,0|255,320,3,,24,8,0.1150390625,3,0,3,0.7446532845497131,0.5477513670921326,0.36883464455604553,val,ok,0.15,1,8,12,5,17
16,12,1.0,0.059530388563871384,0.0,0.41861328125,0.15513718128204346,ground_truth,,,,0.97459477186203,0.0801171875,btxrd-heuristic-000069,IMG000137.jpeg,0.0801171875,8204,320,masks/IMG000137.png,2762e91ca60c072b6d7f3c04d268abf43a9457a5b0f254df261f2bea103fb847,0|255,320,6,,54,18,0.080302734375,3,0,3,0.6771856546401978,0.31315872073173523,0.09100715816020966,val,ok,0.15,1,8,22,10,32
17,10,1.0,0.08679669350385666,0.0,0.8115625,0.15008515119552612,ground_truth,,,,0.9994407296180725,0.071875,btxrd-heuristic-000069,IMG000138.jpeg,0.071875,7360,320,masks/IMG000138.png,6c95e9af6f57b821f9a0c61d8448cc6a4672db9166c49aa9f63b3d8c6630111c,0|255,320,5,,45,15,0.075390625,3,0,3,0.6176736354827881,0.30251315236091614,0.003700071247294545,val,ok,0.15,1,8,15,10,25
41,16,1.0,0.20026786625385284,0.0,0.95984375,0.2020019292831421,ground_truth,,,,0.9999953508377075,0.048994140625,btxrd-heuristic-000073,IMG000144.jpeg,0.048994140625,5017,320,masks/IMG000144.png,91e1e591465b80de186bfe3329826d37c2428e7765efd284fef921f8502cd448,0|255,320,8,,72,24,0.048994140625,3,0,3,0.7525051832199097,0.4253697395324707,0.01721825636923313,val,ok,0.15,1,8,31,15,46
74,18,1.0,0.2585165500640869,0.0,0.90666015625,0.21849559247493744,ground_truth,,,,0.9999502897262573,0.06591796875,btxrd-heuristic-000078,IMG000152.jpeg,0.06591796875,6750,320,masks/IMG000152.png,d03a16e6e83b528f79e60dc1a73d7384eaa82abc136eed20d540b56366759b53,0|255,320,9,,81,27,0.066064453125,3,0,3,0.755626916885376,0.5428349375724792,0.27726903557777405,val,ok,0.1280859375,1,8,36,15,51
23,6,1.0,0.12155240029096603,0.0,0.770625,0.19499945640563965,ground_truth,,,,0.963493287563324,0.053115234375,btxrd-heuristic-000082,IMG000160.jpeg,0.053115234375,5439,320,masks/IMG000160.png,23b7a053f5fd2dade82c0e644719abbd97269ba90264351cec20862283c8632a,0|255,320,3,,27,9,0.055341796875,3,0,3,0.7408432364463806,0.5693114995956421,0.2933323085308075,val,ok,0.15,1,8,12,5,17
26,14,1.0,0.1809636354446411,0.0,0.906669921875,0.19413313269615173,ground_truth,,,,0.9999790191650391,0.0447265625,btxrd-heuristic-000082,IMG000161.jpeg,0.0447265625,4580,320,masks/IMG000161.png,c75f83279dab2560a9030d85dd1d5b94987cc4a3ceee41cff0863a9808a3613b,0|255,320,7,,63,21,0.045009765625,3,0,3,0.7530714273452759,0.3609588146209717,0.0021891589276492596,val,ok,0.15,1,8,25,18,43
21,8,1.0,0.09664680808782578,0.0,0.833359375,0.1596587598323822,ground_truth,,,,0.9956977367401123,0.060009765625,btxrd-heuristic-000098,IMG000200.jpeg,0.060009765625,6145,320,masks/IMG000200.png,e61728421347fcd724da03221342750b19e12052235d596ffeaa5a0b571bf7c4,0|255,320,4,,36,12,0.060009765625,3,0,3,0.7062276005744934,0.37882494926452637,0.02094302512705326,val,ok,0.15,1,8,13,8,21
18,8,1.0,0.08672265708446503,0.0,0.76984375,0.15232740342617035,ground_truth,,,,0.9729684591293335,0.01794921875,btxrd-heuristic-000098,IMG000201.jpeg,0.01794921875,1838,320,masks/IMG000201.png,236ad2623a43d36b5c1fd16531d7d921769363ec49c5ecdeb336634df89af6ba,0|255,320,4,,36,12,0.018720703125,3,0,3,0.742171585559845,0.37784814834594727,0.0003065292548853904,val,ok,0.15,1,8,13,6,19
11,8,1.0,0.13907462358474731,0.0,0.899208984375,0.16116422414779663,ground_truth,,,,0.9999936819076538,0.022890625,btxrd-heuristic-000099,IMG000202.jpeg,0.022890625,2344,320,masks/IMG000202.png,d3844d53485b7d0aa0e131e33a287129c97d198b4a381e86185221ad919e3f2e,0|255,320,4,,36,12,0.02298828125,3,0,3,0.6938644051551819,0.316959023475647,0.0049366638995707035,val,ok,0.15,1,8,16,8,24
18,12,1.0,0.05542238801717758,0.0,0.518056640625,0.1351134330034256,ground_truth,,,,0.019777970388531685,0.02888671875,btxrd-heuristic-000109,IMG000222.jpeg,0.02888671875,2958,320,masks/IMG000222.png,b1ad69d19e06b0bcb4f0b169893becbd4f3a7b5f16bcc3123275320b3d61057b,0|255,320,6,,54,18,0.028896484375,3,0,3,0.7608569860458374,0.3057016134262085,0.0005048118764534593,val,ok,0.15,1,6,19,14,33
35,8,1.0,0.07826681435108185,0.0,0.296943359375,0.1909485161304474,ground_truth,,,,0.0010066379327327013,0.047861328125,btxrd-heuristic-000120,IMG000244.jpeg,0.047861328125,4901,320,masks/IMG000244.png,dd2412e2fff764cf98db091ce9fffbb6944c48432f6f14426e69d8374014652f,0|255,320,4,,36,12,0.049443359375,3,0,3,0.721013605594635,0.5533131957054138,0.19296479225158691,val,ok,0.15,1,1,14,8,22
22,8,1.0,0.11705262213945389,0.0,0.788828125,0.1591523140668869,ground_truth,,,,0.9932445883750916,0.019697265625,btxrd-heuristic-000121,IMG000245.jpeg,0.019697265625,2017,320,masks/IMG000245.png,6ce57a43fb64b1f73b8dfb0de41f883346f3fe621604dd2a801fb3e6880f34cb,0|255,320,4,,36,12,0.019990234375,3,0,3,0.7753326892852783,0.41877481341362,0.005645227152854204,val,ok,0.15,1,3,15,8,23
31,8,1.0,0.1119856908917427,0.0,0.64640625,0.1865515261888504,ground_truth,,,,0.9900348782539368,0.066259765625,btxrd-heuristic-000128,IMG000260.jpeg,0.066259765625,6785,320,masks/IMG000260.png,dd022151ebc341925a119cfa04d9ffb607c1414e5199e45119a7543820356c01,0|255,320,4,,36,12,0.0665625,3,0,3,0.7678692936897278,0.5453329086303711,0.3092353641986847,val,ok,0.15,1,1,16,10,26
43,12,1.0,0.12182856351137161,0.0,0.88251953125,0.2002582848072052,ground_truth,,,,0.9999485015869141,0.0586328125,btxrd-heuristic-000137,IMG000275.jpeg,0.0586328125,6004,320,masks/IMG000275.png,634cc707c6d25168dd0f169c4d5888cab80685fcef767c9fb1663c9e5339df00,0|255,320,6,,54,18,0.06087890625,3,0,3,0.7128795981407166,0.4591039717197418,0.13282185792922974,val,ok,0.15,1,1,24,10,34
24,6,1.0,0.07391273975372314,0.0,0.575,0.1652887612581253,ground_truth,,,,0.17335329949855804,0.08955078125,btxrd-heuristic-000140,IMG000279.jpeg,0.08955078125,9170,320,masks/IMG000279.png,90d4c6a28663d8043b859711f6dbdc45cb2bc4729f946e3da16584fbc6f96efb,0|255,320,3,,27,9,0.08955078125,3,0,3,0.6609460711479187,0.5008835792541504,0.28985700011253357,val,ok,0.15,1,1,12,5,17
24,6,1.0,0.13305771350860596,0.0,0.632255859375,0.2265218198299408,ground_truth,,,,0.9996305704116821,0.003388671875,btxrd-heuristic-000145,IMG000285.jpeg,0.003388671875,347,320,masks/IMG000285.png,e88b5efeabc9d1b11f65f5f3462efcc9092e32fe43dc304f08520f8bdd2b62cd,0|255,320,3,,27,9,0.00357421875,3,0,3,0.7559657096862793,0.5874401926994324,0.22066456079483032,val,ok,0.15,1,1,12,5,17
