subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.4705009303082,0.35128103664292065,0.5795703178960202,0.45051246068824885,95.01857154955856,35.56656446081225,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.9444444444444444,0.65,0.7931034482758621,40,26,29,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.959531138757208,0.5239203296116816,0.387499144750346,73626,66903,116377,1586294,0.5,0.6896551724137931,0.5797101449275363,20,0.425,0.5862068965517241,0.4927536231884058,17,0.15,0.20689655172413793,0.17391304347826086,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.39629171082251075,0.27378987009058936,0.33287794458317255,0.7183188362231284,89.01290379910387,32.94349443088883,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,71,1,1,0.9861111111111112,0.9444444444444444,0.9156626506024096,0.6728971962616822,83,76,107,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9472355694223432,0.2456688000604053,0.6946250091296751,123637,379630,54354,6815179,0.7228915662650602,0.5607476635514018,0.631578947368421,60,0.5180722891566265,0.40186915887850466,0.45263157894736844,43,0.10843373493975904,0.08411214953271028,0.09473684210526316,9,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.06339620406803097,0.045868122598884446,0.05452875267068671,0.5068352084637263,126.89763157600125,66.2705932425542,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,93,1,1,0.9893617021276596,0.7127659574468085,0.6666666666666666,0.4503311258278146,105,70,151,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9289117721316904,0.01367712907357377,0.5630721673998336,9472,683071,7350,8925707,0.09523809523809523,0.06622516556291391,0.078125,10,0.047619047619047616,0.033112582781456956,0.0390625,5,0.0380952380952381,0.026490066225165563,0.03125,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.17835523209914328,0.1272504877616566,0.16152779943653292,0.5498645928491662,110.29556978494097,53.67747810032065,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,130,1,1,0.9923664122137404,0.8015267175572519,0.7337662337662337,0.5294117647058824,154,113,204,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9710237516049941,0.11319754152486412,0.6026317070400597,111426,872924,73473,29252577,0.2922077922077922,0.22058823529411764,0.25139664804469275,45,0.18181818181818182,0.13725490196078433,0.1564245810055866,28,0.05844155844155844,0.04411764705882353,0.05027932960893855,9,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.4578671374226134,0.3244279002588371,0.4439139386868235,0.7597104702618064,81.27933782487197,26.67092683933722,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,30,1,1,0.967741935483871,0.967741935483871,0.8181818181818182,0.7555555555555555,44,36,45,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9737207063242685,0.3489040546812371,0.5749059276446715,66155,123453,48916,4574276,0.7045454545454546,0.6888888888888889,0.6966292134831461,31,0.5909090909090909,0.5777777777777777,0.5842696629213483,26,0.1590909090909091,0.15555555555555556,0.15730337078651685,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.24558392918520464,0.16456609207223555,0.20925939353109094,0.5403365388494198,138.8602721549118,62.00688537379396,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.7727272727272727,0.7666666666666667,0.5526315789473685,30,23,38,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9521171640991765,0.17954070981210857,0.34361077717276006,29154,133227,55692,2649127,0.4666666666666667,0.3684210526315789,0.4117647058823529,14,0.36666666666666664,0.2894736842105263,0.3235294117647059,11,0.1,0.07894736842105263,0.08823529411764706,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.49937421777221525,0.3327773144286906,0.3463971226590599,0.8943323727185398,53.144613836810336,19.988189133080834,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.9469162041560483,0.3463971226590599,0.8943323727185398,2793,5270,330,94007,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.3230422660845471,0.22920646951183166,0.3014489042004087,0.6467616153244069,99.68010893867422,43.790915617891905,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.8541666666666666,0.86,0.6197183098591549,50,43,71,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9426747800092015,0.18074984678182326,0.5444394659019626,60754,275368,50836,4528242,0.62,0.43661971830985913,0.512396694214876,31,0.5,0.352112676056338,0.4132231404958678,25,0.12,0.08450704225352113,0.09917355371900827,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.03204372443102697,0.01754667417039366,0.017732505562796836,0.31084782295225716,135.54888920388558,73.49454096932352,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.5833333333333334,0.5384615384615384,0.3181818181818182,13,7,22,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9410077502947329,0.016314100821143075,0.529567519858782,1200,72356,1066,1154178,0.07692307692307693,0.045454545454545456,0.05714285714285714,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot,7,7,0,tumor images only,0.05578728253604313,0.033445551792770124,0.0346114580242961,0.5510117016089712,157.77754008396087,73.46891880501742,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.5714285714285714,0.5,0.25,8,4,16,1,0.14285714285714285,"{'1': 6, '2': 1}",,,0.9264857870280898,0.039978054133138256,0.7995610826627652,2186,52494,548,661572,0.125,0.0625,0.08333333333333333,1,0.125,0.0625,0.08333333333333333,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot|tibia|fibula,1,1,0,tumor images only,0.10643344203972725,0.05620792234225771,0.056597824373324924,0.890818858560794,76.17601367525684,35.134992030263746,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,0.5,1,1,2,0,0.0,{'1': 1},,,0.941331607792386,0.056597824373324924,0.890818858560794,359,5984,44,96013,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hand,8,8,0,tumor images only,0.17502892901689793,0.1349609943739383,0.15636433263620894,0.656443938399541,96.59458198984254,50.47169133105854,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,8,0,0,1.0,0.875,0.875,0.6363636363636364,8,7,11,0,0.0,{'1': 8},,,0.9423043861677957,0.09947684407636918,0.4824454639078738,5153,46648,5528,761871,0.375,0.2727272727272727,0.3157894736842105,3,0.25,0.18181818181818182,0.21052631578947367,2,0.125,0.09090909090909091,0.10526315789473684,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip bone,10,10,0,tumor images only,0.2962064785776401,0.21408393885129948,0.26761906015320314,0.5264522360103585,102.5108076450152,45.044326117939356,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,10,0,0,1.0,1.0,1.0,0.5555555555555556,10,10,18,0,0.0,{'1': 10},,,0.9315096294447202,0.22968500342387582,0.5222796044948486,20125,67495,18408,917972,0.6,0.3333333333333333,0.42857142857142855,6,0.4,0.2222222222222222,0.2857142857142857,4,0.2,0.1111111111111111,0.14285714285714285,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip-joint,2,2,0,tumor images only,0.9252118790966595,0.861571445824236,0.9543776091630432,0.9012569142507101,11.224918343295581,3.088862467343756,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,2,0,0.0,{'1': 2},,,0.9971984842545407,0.9571474256475856,0.8884601113172542,11972,536,1503,190789,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,1.0,1.0,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,humerus,25,25,0,tumor images only,0.35113508278394456,0.24266517431858844,0.2782268393265768,0.7185667408519858,106.71482302084091,40.861356857198096,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,24,1,1,0.96,0.88,0.88,0.5897435897435898,25,22,39,0,0.0,{'1': 25},,,0.9534663479403004,0.24002907712577803,0.8455927746655997,36982,117091,6753,2399174,0.72,0.46153846153846156,0.5625,18,0.48,0.3076923076923077,0.375,12,0.12,0.07692307692307693,0.09375,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,knee-joint,2,2,0,tumor images only,0.7001672521066336,0.5613416283854825,0.7250686817868853,0.704349213225308,23.854660608233853,6.35455927273499,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,2,0,0.0,{'1': 2},,,0.9898503188594175,0.7394421272158499,0.7228593272171254,5673,1999,2175,194953,1.0,1.0,1.0,2,1.0,1.0,1.0,2,0.5,0.5,0.5,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,radius,7,7,0,tumor images only,0.18560156079094176,0.12905397287519038,0.18403025026733685,0.48522148976395085,106.97137982497709,44.99339762105429,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.8571428571428571,0.8888888888888888,0.46153846153846156,9,8,13,1,0.14285714285714285,"{'1': 6, '3': 1}",,,0.9406561121979181,0.08471630897558433,0.5761560053183631,3900,42136,2869,667895,0.2222222222222222,0.15384615384615385,0.18181818181818182,2,0.1111111111111111,0.07692307692307693,0.09090909090909091,1,0.1111111111111111,0.07692307692307693,0.09090909090909091,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,shoulder-joint,2,2,0,tumor images only,0.0,0.0,0.0,0.0,112.55449175092625,64.13504003674329,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,0.0,0.0,0.0,2,0,4,0,0.0,{'1': 2},,,0.9395312492321,0.0,0.0,0,12304,1323,191173,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
