above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_causal_score_max,classifier_causal_score_mean,classifier_causal_score_min,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
17,6,1.0,0.11207202821969986,0.0,0.999990234375,0.16469219326972961,ground_truth,,,,0.9602217078208923,0.09697265625,btxrd-heuristic-000001,IMG000001.jpeg,0.09697265625,9930,320,masks/IMG000001.png,655fd94471d12ff66aa304a9d803342242e0384b13806a0d8737c522cfd53e85,0|255,320,3,,27,9,0.097841796875,3,0,3,0.683560311794281,0.4432353377342224,0.04359870404005051,val,ok,0.15,1,9,12,5,17
14,6,1.0,0.09007826447486877,0.0,0.999990234375,0.1512340009212494,ground_truth,,,,0.04949028789997101,0.05884765625,btxrd-heuristic-000006,IMG000010.jpeg,0.05884765625,6026,320,masks/IMG000010.png,9ecc7ab49dd45aa159562c8387c3c9c8e5fe0af493d66d551cd54d8f3007740d,0|255,320,3,,27,9,0.060751953125,3,0,3,0.6042704582214355,0.4285307228565216,0.285007506608963,val,ok,0.15,1,8,12,5,17
21,6,1.0,0.14887142181396484,0.0,0.999990234375,0.21514847874641418,ground_truth,,,,0.999578058719635,0.138759765625,btxrd-heuristic-000009,IMG000017.jpeg,0.138759765625,14209,320,masks/IMG000017.png,557ccdd4563994c09277aa4a871089fd60ea4d740acea4ec1e11eefe2357c906,0|255,320,3,,27,9,0.13955078125,3,0,3,0.80870121717453,0.5507681369781494,0.28491124510765076,val,ok,0.15,1,8,12,5,17
20,6,1.0,0.11855266243219376,0.0,0.999990234375,0.17534592747688293,ground_truth,,,,0.9998819828033447,0.063740234375,btxrd-heuristic-000009,IMG000018.jpeg,0.063740234375,6527,320,masks/IMG000018.png,737b5644706d3a307c5174754cafffbef5f85db6744319ce723bc27889bd2fc2,0|255,320,3,,27,9,0.063974609375,3,0,3,0.7547456622123718,0.4958988428115845,0.3067697286605835,val,ok,0.15,1,8,12,5,17
16,6,1.0,0.09704283624887466,0.0,0.999990234375,0.15374630689620972,ground_truth,,,,0.9999382495880127,0.074775390625,btxrd-heuristic-000017,IMG000033.jpeg,0.074775390625,7657,320,masks/IMG000033.png,af11441ab5aa0f97a2a5a53e1d12960e2bff2568e2cf6705f5c2c1b75f11a7f6,0|255,320,3,,27,9,0.074775390625,3,0,3,0.5941823720932007,0.40595585107803345,0.25575685501098633,val,ok,0.15,1,8,12,5,17
12,6,1.0,0.09673643112182617,0.0,0.999990234375,0.1633218228816986,ground_truth,,,,0.9998831748962402,0.06537109375,btxrd-heuristic-000017,IMG000034.jpeg,0.06537109375,6694,320,masks/IMG000034.png,3231c58c33014271f915860dc9a6dc6275bcec76e6bb4b08b19cc6f12bf2eba0,0|255,320,3,,27,9,0.06537109375,3,0,3,0.6699356436729431,0.41100212931632996,0.25515061616897583,val,ok,0.15,1,8,12,5,17
47,10,1.0,0.2499413639307022,0.0,0.999990234375,0.2470339685678482,ground_truth,,,,0.7239019870758057,0.065439453125,btxrd-heuristic-000025,IMG000048.jpeg,0.065439453125,6701,320,masks/IMG000048.png,76302b94794145125edb5e092984a788887a28d502f157a21d36a57efdc99199,0|255,320,6,,51,17,0.06552734375,3,0,3,0.7608811855316162,0.6066384315490723,0.23714999854564667,val,ok,0.15,1,8,23,15,38
59,12,1.0,0.2707078456878662,0.0,0.9999609375,0.22486647963523865,ground_truth,,,,0.9926896691322327,0.080302734375,btxrd-heuristic-000025,IMG000049.jpeg,0.080302734375,8223,320,masks/IMG000049.png,a10617a10fc0c9fcdb16fb74667587f84d8e2fb82f867b43b56d1c3c36a7dbec,0|255,320,7,,60,20,0.080380859375,3,0,3,0.7612399458885193,0.6423434615135193,0.35116028785705566,val,ok,0.15,1,8,23,13,36
14,12,1.0,0.1458980143070221,0.0,0.999990234375,0.16348916292190552,ground_truth,,,,0.9893770217895508,0.1233984375,btxrd-heuristic-000026,IMG000050.jpeg,0.1233984375,12636,320,masks/IMG000050.png,b32f60762e0611d81f352e97f8ed93a2087dd8516788547cc45b34de55f5f282,0|255,320,6,,54,18,0.12455078125,3,0,3,0.6115367412567139,0.2576247751712799,0.006081961095333099,val,ok,0.15,1,8,21,13,34
42,12,1.0,0.179781973361969,0.0,0.999990234375,0.22076572477817535,ground_truth,,,,0.9983990788459778,0.101884765625,btxrd-heuristic-000029,IMG000055.jpeg,0.101884765625,10433,320,masks/IMG000055.png,43972fe90d117bd38079f4896f35b368b3d85339195e0c7b0cc0c2e83ebd777e,0|255,320,6,,54,18,0.102119140625,3,0,3,0.7547881603240967,0.49910545349121094,0.16636689007282257,val,ok,0.15,1,8,22,10,32
26,6,0.9999999403953552,0.11584636569023132,0.0,0.999990234375,0.1883217692375183,ground_truth,,,,0.9999196529388428,0.057705078125,btxrd-heuristic-000029,IMG000056.jpeg,0.057705078125,5909,320,masks/IMG000056.png,067834c22da137849b76e7dbf715bb201b2b14b4c919962840759a4a5d44cb28,0|255,320,3,,27,9,0.057802734375,3,0,3,0.7667829990386963,0.5910816788673401,0.35588836669921875,val,ok,0.15,1,8,12,5,17
27,12,1.0,0.16411864757537842,0.0,0.999990234375,0.18132545053958893,ground_truth,,,,0.9998279809951782,0.07876953125,btxrd-heuristic-000037,IMG000071.jpeg,0.07876953125,8066,320,masks/IMG000071.png,a2dc7b938b8509f4f9a13c166982ef35cc86069fae30d9be413e9d2d298daab7,0|255,320,6,,54,18,0.07896484375,3,0,3,0.7033863067626953,0.36026132106781006,0.0003315047943033278,val,ok,0.15,1,8,22,11,33
24,6,1.0,0.13292637467384338,0.0,0.999990234375,0.1911928504705429,ground_truth,,,,0.9999973773956299,0.002021484375,btxrd-heuristic-000039,IMG000076.jpeg,0.002021484375,207,320,masks/IMG000076.png,f4fcf12c48738b408310d0d6ae8706d3e8cf6d606df880f7010b8c354f8d85cc,0|255,320,3,,27,9,0.0022265625,3,0,3,0.7536299824714661,0.5774706602096558,0.30711036920547485,val,ok,0.15,1,8,12,5,17
23,6,1.0,0.11583025008440018,0.0,0.999990234375,0.1659095585346222,ground_truth,,,,0.9263429641723633,0.039697265625,btxrd-heuristic-000063,IMG000125.jpeg,0.039697265625,4065,320,masks/IMG000125.png,939219279b29a9a99b098a9e3d64a9f0029b31068ff5ec8c9cacd23b745e1aad,0|255,320,3,,27,9,0.03998046875,3,0,3,0.638296902179718,0.5081928968429565,0.357205331325531,val,ok,0.15,1,8,12,5,17
17,6,1.0,0.10208097100257874,0.0,0.999990234375,0.16897371411323547,ground_truth,,,,0.9999635219573975,0.1362890625,btxrd-heuristic-000063,IMG000126.jpeg,0.1362890625,13956,320,masks/IMG000126.png,065a9c7e45b1505b0b1d6c64f7672a0243c4b650286c44a459c942866d647147,0|255,320,3,,27,9,0.136328125,3,0,3,0.5784215927124023,0.4295504093170166,0.2680788040161133,val,ok,0.15,1,8,12,5,17
16,6,1.0,0.12423746287822723,0.0,0.9999609375,0.16457107663154602,ground_truth,,,,0.9999998807907104,0.061611328125,btxrd-heuristic-000069,IMG000137.jpeg,0.061611328125,6309,320,masks/IMG000137.png,0df4aa0d844b2feda44951461ca9b7c511c8b19022d90abc6a6511c1ed564121,0|255,320,3,,27,9,0.062265625,3,0,3,0.6988438963890076,0.44657233357429504,0.08887267857789993,val,ok,0.15,1,8,12,5,17
31,10,1.0,0.1513230949640274,0.0,0.999990234375,0.1840803176164627,ground_truth,,,,0.9999997615814209,0.057109375,btxrd-heuristic-000069,IMG000138.jpeg,0.057109375,5848,320,masks/IMG000138.png,5720eadf69b9c85f6440c63217aa05885e67e297f05dac5598b5f76a585f8bb2,0|255,320,5,,45,15,0.057119140625,3,0,3,0.6835843324661255,0.44896936416625977,0.1482021063566208,val,ok,0.15,1,8,18,10,28
44,12,1.0,0.1768869161605835,0.0,0.999990234375,0.18183699250221252,ground_truth,,,,0.9999896287918091,0.06400390625,btxrd-heuristic-000073,IMG000144.jpeg,0.06400390625,6554,320,masks/IMG000144.png,9bde690ac9b6fdc58138b5f517767c77bd18bf3848845abf53a7b5d69cab1e85,0|255,320,6,,54,18,0.06404296875,3,0,3,0.7227786183357239,0.5102275013923645,0.3310531973838806,val,ok,0.15,1,8,24,10,34
58,14,1.0,0.26380977034568787,0.0,0.999990234375,0.23227600753307343,ground_truth,,,,0.9998369216918945,0.08419921875,btxrd-heuristic-000078,IMG000152.jpeg,0.08419921875,8622,320,masks/IMG000152.png,68396829510ecfffc1eb12ebebfb513268230fd1283a42675a1db1e8f6308787,0|255,320,7,,63,21,0.084853515625,3,0,3,0.7674529552459717,0.5778798460960388,0.2106030285358429,val,ok,0.15,1,8,27,15,42
32,8,1.0,0.25984665751457214,0.0,0.999990234375,0.23549135029315948,ground_truth,,,,0.05815567448735237,0.14275390625,btxrd-heuristic-000082,IMG000160.jpeg,0.14275390625,14618,320,masks/IMG000160.png,4d090cf54b75e9d6f143ab2ac3ecf621eb6b2a83f4ca215d42b07103b5bf89f1,0|255,320,4,,36,12,0.14296875,3,0,3,0.7929970622062683,0.593474268913269,0.22167576849460602,val,ok,0.15,1,8,15,10,25
