subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.33079390233559147,0.26516281760979427,0.4584573039984767,0.3067492259979405,121.92154438576608,59.165786676954134,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.7777777777777778,0.425,0.59375,40,17,32,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9710125290573356,0.4822769357086525,0.23494892185912855,44641,47922,145362,1605275,0.275,0.34375,0.3055555555555556,11,0.25,0.3125,0.2777777777777778,10,0.15,0.1875,0.16666666666666666,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.3196700566314228,0.22079470836951445,0.266374276520298,0.5599319476251077,105.91481302572298,50.97246015627711,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,72,0,0,1.0,0.7916666666666666,0.7108433734939759,0.48760330578512395,83,59,121,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9523263230476305,0.21228593540801166,0.5193408655493817,92438,343003,85553,6851806,0.6024096385542169,0.4132231404958678,0.49019607843137253,50,0.43373493975903615,0.2975206611570248,0.35294117647058826,36,0.10843373493975904,0.0743801652892562,0.08823529411764706,9,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.052443751039388836,0.03783685550509513,0.04257673661732878,0.4765342028102882,133.44961446665164,89.1758206107975,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,94,0,0,1.0,0.574468085106383,0.5523809523809524,0.3333333333333333,105,58,171,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9491157980754681,0.01571442663279254,0.4640351920104625,7806,488935,9016,9119843,0.0761904761904762,0.04678362573099415,0.057971014492753624,8,0.047619047619047616,0.029239766081871343,0.036231884057971016,5,0.0380952380952381,0.023391812865497075,0.028985507246376812,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.15301433302558462,0.11098465653576806,0.13193622785761783,0.49513850488102523,118.22391723790375,70.79885161685071,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,131,0,0,1.0,0.648854961832061,0.5909090909090909,0.3907563025210084,154,91,238,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9783520612653047,0.11306785186313484,0.44964007377000415,83138,652155,101761,29473346,0.2532467532467532,0.1638655462184874,0.1989795918367347,39,0.19480519480519481,0.12605042016806722,0.15306122448979592,30,0.07792207792207792,0.05042016806722689,0.061224489795918366,12,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.37358692720919956,0.2653598836608931,0.3989653746766441,0.6557382019468123,94.01185783385317,43.72934830474007,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,0.9032258064516129,0.6590909090909091,0.6744186046511628,44,29,43,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9715530631928747,0.27919783817604193,0.4498353190638823,51763,133636,63308,4564093,0.5454545454545454,0.5581395348837209,0.5517241379310345,24,0.38636363636363635,0.3953488372093023,0.39080459770114945,17,0.13636363636363635,0.13953488372093023,0.13793103448275862,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.1033715703349483,0.06643944260849895,0.0809918254154109,0.24726240733510405,180.13715207483003,113.05768498171383,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.5454545454545454,0.4666666666666667,0.3023255813953488,30,14,43,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.96619085853202,0.09595110184233036,0.11767201753765646,9984,94069,74862,2688285,0.2,0.13953488372093023,0.1643835616438356,6,0.13333333333333333,0.09302325581395349,0.1095890410958904,4,0.03333333333333333,0.023255813953488372,0.0273972602739726,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,138.49343482425178,63.15431584354013,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,2,0,0.0,{'1': 1},,,0.9237084118174401,0.0,0.0,0,7574,3123,91703,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.24012150164280857,0.17284848649161136,0.2184164815049561,0.4343553201207923,132.57329974608137,74.04234866015226,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.6666666666666666,0.66,0.42857142857142855,50,33,77,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9582128857255272,0.16457945753372205,0.3543686710278699,39544,200729,72046,4602881,0.44,0.2857142857142857,0.3464566929133858,22,0.34,0.22077922077922077,0.2677165354330709,17,0.12,0.07792207792207792,0.09448818897637795,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.028177366766491938,0.014674015916767834,0.014915155059264955,0.4516837715935272,155.54063108547527,98.66316164601494,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.6666666666666666,0.6153846153846154,0.27586206896551724,13,8,29,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9531476502078214,0.014795384800013715,0.3808473080317741,863,57466,1403,1169068,0.15384615384615385,0.06896551724137931,0.09523809523809523,2,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
