above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_causal_score_max,classifier_causal_score_mean,classifier_causal_score_min,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
37,10,1.0,0.20463229715824127,0.0,0.999990234375,0.22211365401744843,ground_truth,,,,0.09137753397226334,0.102158203125,btxrd-heuristic-000001,IMG000001.jpeg,0.102158203125,10461,320,masks/IMG000001.png,d781612ebbe793a65892f8fc317de081ed03712703752f501635fd12241236f3,0|255,320,5,,45,15,0.103134765625,3,0,3,0.7790861129760742,0.5625916719436646,2.4587428924860433e-05,val,ok,0.15,1,9,15,9,24
22,6,1.0,0.16786690056324005,0.0,0.999990234375,0.19511273503303528,ground_truth,,,,0.009893962182104588,0.123125,btxrd-heuristic-000006,IMG000010.jpeg,0.123125,12608,320,masks/IMG000010.png,f649a88ef3e9801063888461ebd46cbae9595139a1462daa096732b879fe2303,0|255,320,3,,27,9,0.123525390625,3,0,3,0.758647084236145,0.5377222895622253,0.3074704110622406,val,ok,0.15,1,8,12,5,17
26,6,0.9999999403953552,0.1574683040380478,0.0,0.999990234375,0.20602425932884216,ground_truth,,,,0.9957103729248047,0.120888671875,btxrd-heuristic-000009,IMG000017.jpeg,0.120888671875,12379,320,masks/IMG000017.png,6f59195c4bb5eb2f4f4865d29f6f04006648461b3fd29da29b07389ca9209e6e,0|255,320,3,,27,9,0.121669921875,3,0,3,0.79318767786026,0.5953930020332336,0.3858835697174072,val,ok,0.15,1,8,12,5,17
9,6,1.0,0.1023595780134201,0.0,0.999921875,0.15122519433498383,ground_truth,,,,0.9999973773956299,0.02341796875,btxrd-heuristic-000009,IMG000018.jpeg,0.02341796875,2398,320,masks/IMG000018.png,8f2c61ecc9f941bcff4aaa657f8455a9abcf4228382521193ed66b93813bc1f4,0|255,320,3,,27,9,0.02341796875,2,0,2,0.5866789817810059,0.333234965801239,0.14718206226825714,val,ok,0.15,1,8,12,5,17
14,6,1.0,0.09487711638212204,0.0,0.999990234375,0.15426550805568695,ground_truth,,,,0.8087465763092041,0.0449609375,btxrd-heuristic-000017,IMG000033.jpeg,0.0449609375,4604,320,masks/IMG000033.png,cb1da66aa3dea44b79f9d04c5328732a0799becc5341736c0a8faa0345e39ef6,0|255,320,3,,27,9,0.046181640625,3,0,3,0.6136682629585266,0.42219823598861694,0.11885238438844681,val,ok,0.15,1,8,12,5,17
12,6,0.9999999403953552,0.09146631509065628,0.0,0.999990234375,0.15600048005580902,ground_truth,,,,0.7197674512863159,0.04158203125,btxrd-heuristic-000017,IMG000034.jpeg,0.04158203125,4258,320,masks/IMG000034.png,617df5e18dfe9cd694b580112439c0f9f5e854ce601bea5ac1f6d6d2e872e135,0|255,320,3,,27,9,0.0419921875,2,0,2,0.599588930606842,0.3842783570289612,0.052618883550167084,val,ok,0.15,1,8,12,5,17
47,16,1.0,0.25468653440475464,0.0,0.999990234375,0.2068103700876236,ground_truth,,,,6.109501555329189e-05,0.058955078125,btxrd-heuristic-000025,IMG000048.jpeg,0.058955078125,6037,320,masks/IMG000048.png,2f259ca5c666b0c69bf45981024c60e595da746bed0804a57ccc81eab40f52c8,0|255,320,8,,72,24,0.058955078125,3,0,3,0.7353963851928711,0.4500107169151306,0.028035946190357208,val,ok,0.149140625,1,8,26,14,40
57,18,1.0,0.17716245353221893,0.0,0.999990234375,0.2082764357328415,ground_truth,,,,0.013176805339753628,0.028291015625,btxrd-heuristic-000025,IMG000049.jpeg,0.028291015625,2897,320,masks/IMG000049.png,bd2d44644af69ed4ae590b0cf7ff86753c8d2b193ab1d8b0f49a2216dee548da,0|255,320,9,,81,27,0.0283984375,3,0,3,0.7645522952079773,0.5257855653762817,0.04873882234096527,val,ok,0.149833984375,1,8,34,17,51
40,10,1.0,0.2595733404159546,0.0,0.999990234375,0.2601606249809265,ground_truth,,,,0.9949990510940552,0.11716796875,btxrd-heuristic-000026,IMG000050.jpeg,0.11716796875,11998,320,masks/IMG000050.png,522d9719c36e28f17a46a282f7fab248012015c03a95aa6c0637462576fac31e,0|255,320,5,,45,15,0.1183203125,3,0,3,0.7832398414611816,0.5620562434196472,0.14548473060131073,val,ok,0.15,1,8,15,14,29
48,12,1.0,0.256991982460022,0.0,0.999990234375,0.2571130096912384,ground_truth,,,,0.9076321125030518,0.045205078125,btxrd-heuristic-000029,IMG000055.jpeg,0.045205078125,4629,320,masks/IMG000055.png,034eb3fc966912a6486848f3346a338bfaed84ea1a4e641f24cfcfed7b59a829,0|255,320,6,,54,18,0.045810546875,3,0,3,0.7842302918434143,0.6026139855384827,0.08966194838285446,val,ok,0.15,1,8,19,14,33
27,6,1.0,0.14327658712863922,0.0,0.999990234375,0.212135449051857,ground_truth,,,,0.9999985694885254,0.0769140625,btxrd-heuristic-000029,IMG000056.jpeg,0.0769140625,7876,320,masks/IMG000056.png,f3173d0193fef8ef797194674e59a3729fc6b99529185f3e04884a68dbc10508,0|255,320,3,,27,9,0.079921875,3,0,3,0.7777669429779053,0.6112235188484192,0.4533728361129761,val,ok,0.15,1,8,12,5,17
52,14,1.0,0.2328018993139267,0.0,0.999990234375,0.21673722565174103,ground_truth,,,,0.08196985721588135,0.08025390625,btxrd-heuristic-000037,IMG000071.jpeg,0.08025390625,8218,320,masks/IMG000071.png,9bb5fdb8bff6521ecd7c46b40de75e73dd7b901e80654999b651f4ae6cea4e85,0|255,320,7,,63,21,0.080556640625,3,0,3,0.7533831596374512,0.5735342502593994,0.156027689576149,val,ok,0.15,1,8,26,15,41
49,16,0.9999999403953552,0.2742053270339966,0.0,0.999990234375,0.20632795989513397,ground_truth,,,,0.9998935461044312,0.080048828125,btxrd-heuristic-000039,IMG000076.jpeg,0.080048828125,8197,320,masks/IMG000076.png,9de8493442e92812ae7ca55633225613eb654b4faf8576105f2a75c7ed3fd5a8,0|255,320,8,,72,24,0.080830078125,3,0,3,0.7464284896850586,0.4518824815750122,0.00041636364767327905,val,ok,0.149462890625,1,8,22,14,36
