subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.6407446633600085,0.5191567485319504,0.7585397821810935,0.6205596601609631,107.12122357500056,36.147714939682686,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.9444444444444444,0.9,0.8235294117647058,40,36,51,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9801345044165606,0.7909512226014829,0.6538346922393357,243541,64368,128940,3175823,0.75,0.5882352941176471,0.6593406593406593,30,0.675,0.5294117647058824,0.5934065934065934,27,0.55,0.43137254901960786,0.4835164835164835,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.5971946582631286,0.4709645065970446,0.5862303966838708,0.703703916573933,82.50747741694049,25.155044183424664,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,71,1,1,0.9861111111111112,0.9166666666666666,0.8902439024390244,0.6610169491525424,82,73,118,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9883745304647451,0.6037881314559437,0.715881803437466,249827,163939,99151,13937771,0.8536585365853658,0.5932203389830508,0.7,70,0.7804878048780488,0.5423728813559322,0.64,64,0.5609756097560976,0.3898305084745763,0.46,46,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,144,0,0.0,{},0.47593582887700536,0.5240641711229946,0.9978806153143075,0.0,,0,79544,0,37452104,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.2342874864898389,0.1616518516515943,0.20837838005593043,0.5019159969795426,107.76633130052929,58.986148382254925,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,82,12,12,0.8723404255319149,0.6276595744680851,0.6,0.42105263157894735,105,63,152,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9959032727622595,0.16454791553871143,0.45917689007070767,15196,77154,17898,18755928,0.5333333333333333,0.3684210526315789,0.4357976653696498,56,0.38095238095238093,0.2631578947368421,0.311284046692607,40,0.12380952380952381,0.08552631578947369,0.10116731517509728,13,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.35280956560289506,0.26302509024638376,0.3371702002972831,0.5654010967570772,101.65639933965235,49.076331298969926,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,120,11,11,0.916030534351145,0.7251908396946565,0.6883116883116883,0.32664756446991405,154,106,349,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.4727272727272727,0.5272727272727272,0.9957091929094732,0.4866430001377846,0.6623259867187328,240170,253354,122446,58792414,0.6168831168831169,0.2722063037249284,0.37773359840954274,95,0.5064935064935064,0.22349570200573066,0.3101391650099404,78,0.2792207792207792,0.12320916905444126,0.1709741550695825,43,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.5883182837375219,0.4608673980798759,0.5929964303336999,0.6801011717482136,83.43426000667037,25.780318931163485,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,30,1,1,0.967741935483871,0.9032258064516129,0.9302325581395349,0.6212121212121212,43,40,66,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.5625,0.4375,0.9904099350388275,0.650402641518398,0.7287276985725312,164280,88302,61154,9119352,0.8372093023255814,0.5454545454545454,0.6605504587155964,36,0.7209302325581395,0.4696969696969697,0.5688073394495413,31,0.5116279069767442,0.3333333333333333,0.4036697247706422,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.5499328716194476,0.44119835641180655,0.5862584902939575,0.6302808905875357,91.48839841132349,29.09342140338324,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,21,1,1,0.9545454545454546,0.8636363636363636,0.8666666666666667,0.58,30,26,50,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.3333333333333333,0.6666666666666666,0.9920507356310752,0.7060347341366987,0.6252980426779097,104114,43349,62389,5409860,0.8333333333333334,0.5,0.625,25,0.7333333333333333,0.44,0.55,22,0.5333333333333333,0.32,0.4,16,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.014913276057707894,0.0075126571941858565,1.0,0.0075126571941858565,95.38970121194063,51.45967930596065,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,1.0,1.0,0.0075126571941858565,46,0,6077,194581,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.4886251640574713,0.3756417599674366,0.46869543504241234,0.6488239351896884,104.66508385232297,36.69093024958375,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,43,5,5,0.8958333333333334,0.8125,0.82,0.6,50,41,80,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9908295556414712,0.607897545357524,0.6115720603823239,133856,86339,85016,9328581,0.76,0.475,0.5846153846153846,38,0.72,0.45,0.5538461538461539,36,0.44,0.275,0.3384615384615385,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.1733816914914527,0.11268002587943982,0.1951139383926411,0.3101164336549216,86.30267926169373,44.128565342888905,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,10,2,2,0.8333333333333334,0.5,0.46153846153846156,0.3157894736842105,13,6,19,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9984138763563999,0.14659803043867503,0.14640143048725973,655,3813,3819,2400161,0.38461538461538464,0.2631578947368421,0.3125,5,0.3076923076923077,0.21052631578947367,0.25,4,0.07692307692307693,0.05263157894736842,0.0625,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
