threshold,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
0.2,371,184,187,tumor images only,0.4131580354838799,0.3104082209308341,0.3805292001133834,0.6404175919264669,106.9147444120622,43.02622826134301,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,175,9,9,0.9510869565217391,0.8097826086956522,0.7973568281938326,0.31270903010033446,227,181,598,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.32085561497326204,0.679144385026738,0.9926109226183463,0.501127588828535,0.7250464844749143,547086,544624,207467,73162007,0.7224669603524229,0.27424749163879597,0.3975757575757576,164,0.5814977973568282,0.22073578595317725,0.32,132,0.3436123348017621,0.13043478260869565,0.1890909090909091,78,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.25,371,184,187,tumor images only,0.4137505927460106,0.3120582908377399,0.38777085917869336,0.6302169367667889,103.72925073835047,42.86460202097911,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,175,9,9,0.9510869565217391,0.8097826086956522,0.7973568281938326,0.33098591549295775,227,181,568,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.3422459893048128,0.6577540106951871,0.9931107419629586,0.5154242700120432,0.7158012757221826,540110,507784,214443,73198847,0.7004405286343612,0.27992957746478875,0.4,159,0.5859030837004405,0.23415492957746478,0.33459119496855344,133,0.3436123348017621,0.13732394366197184,0.19622641509433963,78,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.3,371,184,187,tumor images only,0.41443001738826946,0.3136166397399438,0.39382573419596806,0.6220439639445001,101.89410424503437,42.29681847433955,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,174,10,10,0.9456521739130435,0.7989130434782609,0.788546255506608,0.344954128440367,227,179,545,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.37433155080213903,0.6256684491978609,0.993510624573249,0.5274797901315185,0.70762822492257,533943,478310,220610,73228321,0.7048458149779736,0.29357798165137616,0.41450777202072536,160,0.5991189427312775,0.24954128440366974,0.35233160621761656,136,0.3436123348017621,0.14311926605504588,0.20207253886010362,78,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.35,371,184,187,tumor images only,0.4151974385583895,0.314932627000415,0.3942317678839215,0.6137616275348922,101.03192883390656,42.421915794674156,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,171,13,13,0.9293478260869565,0.7880434782608695,0.775330396475771,0.3603082851637765,227,176,519,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.41711229946524064,0.5828877005347594,0.9938893557623059,0.5391680786451555,0.6983697632903189,526957,450395,227596,73256236,0.6960352422907489,0.3044315992292871,0.42359249329758714,158,0.5903083700440529,0.2581888246628131,0.35924932975871315,134,0.3436123348017621,0.15028901734104047,0.20911528150134048,78,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.4,371,184,187,tumor images only,0.4159049987241994,0.31619133573640873,0.3999065306908628,0.6063465314935085,100.3863835459278,42.22729192766317,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,171,13,13,0.9293478260869565,0.782608695652174,0.7665198237885462,0.36947791164658633,227,174,498,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.43315508021390375,0.5668449197860963,0.9942028418040163,0.5493235988381046,0.6902324952654088,520817,427289,233736,73279342,0.6916299559471366,0.3152610441767068,0.43310344827586206,157,0.5859030837004405,0.26706827309236947,0.36689655172413793,133,0.3524229074889868,0.1606425702811245,0.2206896551724138,80,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.45,371,184,187,tumor images only,0.41585778613944535,0.3168077972857507,0.405054326878584,0.5994437059646688,97.37289435344611,41.979158158939626,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,171,13,13,0.9293478260869565,0.7717391304347826,0.7577092511013216,0.3804573804573805,227,172,481,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.45454545454545453,0.5454545454545454,0.9944933855408478,0.5591182234117897,0.682154865198336,514722,405874,239831,73300757,0.6960352422907489,0.3284823284823285,0.4463276836158192,158,0.5859030837004405,0.2765072765072765,0.3757062146892655,133,0.3524229074889868,0.16632016632016633,0.22598870056497175,80,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.5,371,184,187,tumor images only,0.41605675579059925,0.3176605434989792,0.4100536541617166,0.5924829325668344,97.21083092161514,42.535270019194996,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,171,13,13,0.9293478260869565,0.7717391304347826,0.7577092511013216,0.3956989247311828,227,172,465,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.47593582887700536,0.5240641711229946,0.9947765215316923,0.5691379177209595,0.6739937419902909,508564,385005,245989,73321626,0.6872246696035242,0.33548387096774196,0.4508670520231214,156,0.5770925110132159,0.2817204301075269,0.3786127167630058,131,0.3568281938325991,0.17419354838709677,0.23410404624277456,81,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.55,371,184,187,tumor images only,0.41657416382226214,0.31877416371747047,0.4101339608987102,0.5856625104882888,97.24420467240867,42.60039458189642,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,169,15,15,0.9184782608695652,0.7608695652173914,0.748898678414097,0.4103139013452915,227,170,446,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.49732620320855614,0.5026737967914439,0.9950538914198914,0.5794736744967217,0.665765029096697,502355,364561,252198,73342070,0.6828193832599119,0.3475336322869955,0.4606240713224368,155,0.5770925110132159,0.2937219730941704,0.38930163447251115,131,0.36123348017621143,0.18385650224215247,0.2436849925705795,82,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.6,371,184,187,tumor images only,0.41734853603864336,0.3200404324250224,0.41650229242797154,0.5775235985196706,95.96349491304736,42.29320153843708,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,167,17,17,0.907608695652174,0.7554347826086957,0.7444933920704846,0.4149184149184149,227,169,429,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5294117647058824,0.47058823529411764,0.9953497399711567,0.5911001303927171,0.6566563250030151,495482,342755,259071,73363876,0.6696035242290749,0.3543123543123543,0.4634146341463415,152,0.5682819383259912,0.3006993006993007,0.3932926829268293,129,0.3568281938325991,0.1888111888111888,0.24695121951219512,81,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.65,371,184,187,tumor images only,0.41765239766205114,0.3209986949061711,0.42341574206412563,0.5682888782148273,93.6531708145054,41.579333552290606,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,165,19,19,0.8967391304347826,0.7445652173913043,0.73568281938326,0.4282238442822384,227,167,411,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5508021390374331,0.44919786096256686,0.9956612587543175,0.6038441956139601,0.646010286885083,487449,319794,267104,73386837,0.6607929515418502,0.36496350364963503,0.4702194357366771,150,0.5682819383259912,0.31386861313868614,0.4043887147335423,129,0.3568281938325991,0.19708029197080293,0.25391849529780564,81,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
