subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.6166781423645553,0.4947629221134341,0.7970315567260213,0.5690658657870591,106.41007293640585,37.65297209164459,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.9444444444444444,0.9,0.8695652173913043,40,36,46,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9853761707257381,0.8256158868255055,0.6022803847713037,224338,47384,148143,3192807,0.725,0.6304347826086957,0.6744186046511628,29,0.675,0.5869565217391305,0.627906976744186,27,0.5,0.43478260869565216,0.46511627906976744,20,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.5897250106404035,0.4720941566875012,0.6285135194447788,0.6494752038867552,69.95488622314419,21.071808431839514,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,67,5,5,0.9305555555555556,0.9027777777777778,0.8780487804878049,0.7264150943396226,82,72,106,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.991539323954329,0.6583127851331265,0.6586919519282017,229869,119310,119109,13982400,0.8170731707317073,0.6320754716981132,0.7127659574468085,67,0.7682926829268293,0.5943396226415094,0.6702127659574468,63,0.5609756097560976,0.4339622641509434,0.48936170212765956,46,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,100,0,0.0,{},0.6256684491978609,0.37433155080213903,0.9987222783289452,0.0,,0,47955,0,37483693,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.24903903424442825,0.1760773424337024,0.21347520796930086,0.4606499133764695,94.18998307940443,56.23966079501389,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,75,19,19,0.7978723404255319,0.5638297872340425,0.5428571428571428,0.4956521739130435,105,57,115,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9971313776470575,0.20632005758862332,0.4243669547349973,14044,54025,19050,18779057,0.5047619047619047,0.4608695652173913,0.4818181818181818,53,0.37142857142857144,0.3391304347826087,0.35454545454545455,39,0.12380952380952381,0.11304347826086956,0.11818181818181818,13,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.3625297989397157,0.27360865449196137,0.36159791123899604,0.5237600101487667,91.20711026094187,46.33849080672397,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,113,18,18,0.8625954198473282,0.6793893129770993,0.6493506493506493,0.39622641509433965,154,100,265,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.6181818181818182,0.38181818181818183,0.9970429379460354,0.5591838177374725,0.610800405939065,221486,174602,141130,58871166,0.5974025974025974,0.3471698113207547,0.43914081145584727,92,0.4935064935064935,0.28679245283018867,0.3627684964200477,76,0.2727272727272727,0.15849056603773584,0.20047732696897375,42,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.5807956900840601,0.46200840778288116,0.6298838978815612,0.6320996279356578,57.027426519322304,16.537641956865425,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,28,3,3,0.9032258064516129,0.9032258064516129,0.9302325581395349,0.7068965517241379,43,40,58,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.75,0.25,0.9928461690676039,0.6986389111289031,0.6773822937090235,152705,65870,72729,9141784,0.7906976744186046,0.5862068965517241,0.6732673267326733,34,0.7209302325581395,0.5344827586206896,0.6138613861386139,31,0.5116279069767442,0.3793103448275862,0.43564356435643564,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.521545749724485,0.4219448949360762,0.5804765347077206,0.5499473784503524,92.81242203862328,32.01240980299223,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,19,3,3,0.8636363636363636,0.8181818181818182,0.8333333333333334,0.6363636363636364,30,25,44,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.5,0.5,0.9948283661968577,0.769331435769086,0.5649147462808478,94060,28202,72443,5425007,0.7666666666666667,0.5227272727272727,0.6216216216216216,23,0.7333333333333333,0.5,0.5945945945945946,22,0.5,0.3409090909090909,0.40540540540540543,15,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0019579050416054823,0.0009799118079372856,1.0,0.0009799118079372856,98.13119849701783,56.83655728457903,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,1.0,1.0,0.0009799118079372856,6,0,6117,194581,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.4880347298610686,0.37815833168222784,0.5070953695196527,0.6010356212304827,89.52573420756572,34.87402281338431,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,42,6,6,0.875,0.8125,0.82,0.6323529411764706,50,41,68,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.99344168617471,0.662706281444093,0.5542828685258964,121317,61746,97555,9353174,0.78,0.5735294117647058,0.6610169491525424,39,0.7,0.5147058823529411,0.5932203389830508,35,0.44,0.3235294117647059,0.3728813559322034,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.16410845537080657,0.10512878410198588,0.19720257363474483,0.26551392041436134,65.85347614956497,42.83548786252008,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,9,3,3,0.75,0.4166666666666667,0.38461538461538464,0.3333333333333333,13,5,15,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9989500718393793,0.17273025237627007,0.11779168529280286,527,2524,3947,2401450,0.38461538461538464,0.3333333333333333,0.35714285714285715,5,0.23076923076923078,0.2,0.21428571428571427,3,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
