subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.6635134985346465,0.5428590601257816,0.8407432755403026,0.601701627309136,93.05802479717482,24.36561854244313,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,1.0,0.925,0.7413793103448276,40,37,58,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9846552255715789,0.8257547880635722,0.6325826015286686,235625,49720,136856,3190471,0.825,0.5689655172413793,0.673469387755102,33,0.675,0.46551724137931033,0.5510204081632653,27,0.525,0.3620689655172414,0.42857142857142855,21,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.6506621347526631,0.5364302695242775,0.7116196464649062,0.686847712829285,75.15647590507182,24.19959492964083,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,70,2,2,0.9722222222222222,0.9305555555555556,0.9146341463414634,0.5620915032679739,82,75,153,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9933254193994913,0.7200553209208257,0.6937314100029228,242097,94123,106881,14007587,0.8658536585365854,0.46405228758169936,0.6042553191489362,71,0.7926829268292683,0.42483660130718953,0.5531914893617021,65,0.6219512195121951,0.3333333333333333,0.4340425531914894,51,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,169,0,0.0,{},0.47058823529411764,0.5294117647058824,0.9987412223412092,0.0,,0,47244,0,37484404,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.34416083437936706,0.2523910040000374,0.3643788229453358,0.4981111671989487,92.53047147416947,39.198118806463924,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,83,11,11,0.8829787234042553,0.7659574468085106,0.7428571428571429,0.49375,105,78,160,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9973519469622657,0.21393670008196206,0.41013476763159484,13573,49871,19521,18783211,0.6571428571428571,0.43125,0.5207547169811321,69,0.49523809523809526,0.325,0.39245283018867927,52,0.2761904761904762,0.18125,0.2188679245283019,29,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.45669657288929444,0.3570778733026641,0.47923746589854116,0.5780526215141456,83.27233759070664,32.686977760667304,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,120,11,11,0.916030534351145,0.8244274809160306,0.7922077922077922,0.32564102564102565,154,122,390,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.45454545454545453,0.5454545454545454,0.997503462060143,0.6222590655518,0.6696643281046617,242831,147410,119785,58898358,0.7142857142857143,0.28205128205128205,0.40441176470588236,110,0.6038961038961039,0.23846153846153847,0.34191176470588236,93,0.4155844155844156,0.1641025641025641,0.23529411764705882,64,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.6284280550501905,0.5048585430124453,0.754691121778954,0.6208138061792196,84.04049836733199,21.37391266942511,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,1.0,1.0,0.5473684210526316,43,43,95,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.5,0.5,0.9923389823292665,0.6814530149970873,0.6693888233363202,150903,70540,74531,9137114,0.9302325581395349,0.42105263157894735,0.5797101449275363,40,0.6976744186046512,0.3157894736842105,0.43478260869565216,30,0.5116279069767442,0.23157894736842105,0.3188405797101449,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.5378870160191999,0.4405173012718531,0.6566395479183543,0.5516360419120574,100.9045465894076,40.048400787154264,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,20,2,2,0.9090909090909091,0.8181818181818182,0.8333333333333334,0.5272727272727272,30,25,55,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.8333333333333334,0.16666666666666666,0.9957808329004079,0.8091715117484594,0.5859413944493492,97561,23008,68942,5430201,0.7666666666666667,0.41818181818181815,0.5411764705882353,23,0.7,0.38181818181818183,0.49411764705882355,21,0.5,0.2727272727272727,0.35294117647058826,15,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.023736968724939855,0.0120110371692907,0.6607142857142857,0.012085578964559857,87.4448300529969,47.090773234670344,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,0.5,1,1,2,0,0.0,{'1': 1},,,0.9998047085789465,0.6607142857142857,0.012085578964559857,74,38,6049,194543,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.5567655732237152,0.45308512071946333,0.6007135648902052,0.6363356547517005,105.67930076339722,41.58151221030647,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,45,3,3,0.9375,0.8541666666666666,0.86,0.5208333333333334,50,43,96,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9943376045680685,0.705390843027272,0.5831901750794986,127644,53311,91228,9361609,0.8,0.4166666666666667,0.547945205479452,40,0.7,0.3645833333333333,0.4794520547945205,35,0.56,0.2916666666666667,0.3835616438356164,28,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.23641129392870489,0.15197755000136834,0.28689454612677695,0.339252551192973,111.57995385853232,38.298841605611635,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,10,2,2,0.8333333333333334,0.75,0.6923076923076923,0.45,13,9,20,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9991351819944808,0.2872814535481659,0.18730442556995977,838,2079,3636,2401895,0.6153846153846154,0.4,0.48484848484848486,8,0.3076923076923077,0.2,0.24242424242424243,4,0.07692307692307693,0.05,0.06060606060606061,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot,7,7,0,tumor images only,0.2202230621710711,0.15658452926705627,0.5317881577891113,0.17692390728669474,59.56712041680189,37.94042962371596,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,6,1,1,0.8571428571428571,0.5714285714285714,0.5,0.5,8,4,8,1,0.14285714285714285,"{'1': 6, '2': 1}",,,0.998866764032548,0.7024390243902439,0.6938472942920682,3744,1586,1652,1397946,0.5,0.5,0.5,4,0.25,0.25,0.25,2,0.125,0.125,0.125,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot|tibia|fibula,1,1,0,tumor images only,0.5083700440528635,0.3408151210868281,0.39092140921409213,0.7267002518891688,39.819579671318124,10.992623889616686,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,0.5,1,1,2,0,0.0,{'1': 1},,,0.9955029763393527,0.39092140921409213,0.7267002518891688,577,899,217,199011,1.0,0.5,0.6666666666666666,1,1.0,0.5,0.6666666666666666,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hand,8,8,0,tumor images only,0.23240640636661233,0.1783441686032176,0.1907828176148811,0.41626840554014505,132.02633194799353,61.43692504826622,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,1,1,0.875,0.625,0.625,0.2,8,5,25,0,0.0,{'1': 8},,,0.9864567853322859,0.34926169612807373,0.550437234195059,11519,21462,9408,1563243,0.5,0.16,0.24242424242424243,4,0.5,0.16,0.24242424242424243,4,0.25,0.08,0.12121212121212122,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip bone,10,10,0,tumor images only,0.38756821950899195,0.3196939641497402,0.4860417119460442,0.38518890996959343,112.65656918035464,41.52538220657024,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,8,2,2,0.8,0.6,0.6,0.25925925925925924,10,6,27,0,0.0,{'1': 10},,,0.9909969190721908,0.7200849885716125,0.5926946567919554,44736,17390,30743,1914171,0.5,0.18518518518518517,0.2702702702702703,5,0.5,0.18518518518518517,0.2702702702702703,5,0.3,0.1111111111111111,0.16216216216216217,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip-joint,2,2,0,tumor images only,0.8010763692185312,0.6697240462996217,0.9227558369545774,0.7157224345258955,41.05945378970113,10.327893444586657,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,2,0,0.0,{'1': 2},,,0.9960189320711953,0.9250276187606709,0.6982147595042262,18421,1493,7962,373532,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,1.0,1.0,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,humerus,25,25,0,tumor images only,0.6547707422081216,0.5538214238269252,0.657633752185931,0.7351880669422667,54.867356377072696,19.921179150977867,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,24,1,1,0.96,0.92,0.92,0.6190476190476191,25,23,42,0,0.0,{'1': 25},,,0.9950639782948056,0.7518121667499261,0.8605487029278938,73743,24344,11950,4907563,0.88,0.5238095238095238,0.6567164179104478,22,0.84,0.5,0.6268656716417911,21,0.76,0.4523809523809524,0.5671641791044776,19,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,knee-joint,2,2,0,tumor images only,0.42351385798464297,0.29751216705615807,0.842043615769344,0.3040074755362273,52.51387818865997,16.213936191957554,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,0.8,2,2,5,0,0.0,{'1': 2},,,0.9986401500238298,0.8745519713261649,0.23865414710485133,3660,525,11676,385547,1.0,0.4,0.5714285714285714,2,0.5,0.2,0.2857142857142857,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,radius,7,7,0,tumor images only,0.4752710512299042,0.38950334057734975,0.5154587218508346,0.7566015231948862,61.95154091179365,30.199747289384657,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,1.0,1.0,0.75,9,9,12,1,0.14285714285714285,"{'1': 6, '3': 1}",,,0.994357797011472,0.5796798886569241,0.8158667972575906,10829,7852,2444,1383803,0.8888888888888888,0.6666666666666666,0.7619047619047619,8,0.6666666666666666,0.5,0.5714285714285714,6,0.4444444444444444,0.3333333333333333,0.38095238095238093,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,shoulder-joint,2,2,0,tumor images only,0.01732327465772562,0.008814330395223202,0.01456766917293233,0.021364576154376293,114.90543361999781,83.19352955047472,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,0.5,0.5,0.5,2,1,2,0,0.0,{'1': 2},,,0.987402111851393,0.01219032638615808,0.023745691306013023,62,5024,2549,393773,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,tibia,40,40,0,tumor images only,0.5300057216992633,0.39550720182870364,0.5488587455628231,0.6648642462759085,67.38903531144616,21.035411592797,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,39,1,1,0.975,0.95,0.9111111111111111,0.6029411764705882,45,41,68,4,0.1,"{'2': 3, '1': 36, '3': 1}",,,0.9979529228588778,0.547196455766302,0.49782099402977553,19762,16353,19935,7972110,0.8888888888888888,0.5882352941176471,0.7079646017699115,40,0.7555555555555555,0.5,0.6017699115044248,34,0.4444444444444444,0.29411764705882354,0.35398230088495575,20,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,tibia|femur,2,2,0,tumor images only,0.20795502556541381,0.11956474897651367,0.41319730129998355,0.18808604522890238,91.97314080049325,17.427288661506633,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,0.75,3,3,4,1,0.5,"{'1': 1, '2': 1}",,,0.9997504940218368,0.38271604938271603,0.10064935064935066,62,100,554,400692,0.3333333333333333,0.25,0.2857142857142857,1,0.3333333333333333,0.25,0.2857142857142857,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,tibia|fibula,2,2,0,tumor images only,0.7290104271419953,0.579148544719285,0.6260966724632402,0.8903362190058118,220.79623629316143,49.59925692477941,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,0.5,3,3,6,1,0.5,"{'1': 1, '2': 1}",,,0.9869359185602432,0.6336676217765043,0.8887772530895207,8846,5114,1107,386341,1.0,0.5,0.6666666666666666,3,1.0,0.5,0.6666666666666666,3,1.0,0.5,0.6666666666666666,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,tibia|fibula|femur,11,11,0,tumor images only,0.671494109971635,0.5340482946640598,0.7730469072840432,0.6644820027426004,71.81709184930442,16.33162116694552,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,11,0,0,1.0,1.0,0.8536585365853658,0.8888888888888888,41,35,45,11,1.0,"{'2': 2, '4': 4, '5': 1, '3': 3, '7': 1}",,,0.9849707078509127,0.8254182843409132,0.7247244302185789,142870,30218,54267,1980389,0.7560975609756098,0.6888888888888889,0.7209302325581395,31,0.5853658536585366,0.5333333333333333,0.5581395348837209,24,0.4146341463414634,0.37777777777777777,0.3953488372093023,17,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
