threshold,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
0.2,371,184,187,tumor images only,0.4951316962732512,0.39326239391968876,0.5247710193549311,0.5889035092313508,77.45607803949659,29.154963488816534,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,167,17,17,0.907608695652174,0.8260869565217391,0.8149779735682819,0.4602409638554217,227,185,415,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5561497326203209,0.44385026737967914,0.9961233474366777,0.6485839310487322,0.6989051796229026,527361,285735,227192,73420896,0.7312775330396476,0.4,0.5171339563862928,166,0.6387665198237885,0.3493975903614458,0.4517133956386293,145,0.42731277533039647,0.23373493975903614,0.30218068535825543,97,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.25,371,184,187,tumor images only,0.4945125402478185,0.3929684901075423,0.5313954910017854,0.5811442823619091,76.68097936061301,29.095008004205486,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,167,17,17,0.907608695652174,0.8260869565217391,0.8105726872246696,0.4621026894865526,227,184,409,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5614973262032086,0.4385026737967914,0.9963796744420458,0.6607191672398864,0.6886872095134471,519651,266842,234902,73439789,0.73568281938326,0.4083129584352078,0.5251572327044025,167,0.6431718061674009,0.3569682151589242,0.4591194968553459,146,0.42731277533039647,0.2371638141809291,0.3050314465408805,97,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.3,371,184,187,tumor images only,0.4941611578523713,0.3927382745744905,0.5368795248486654,0.5746591101774462,76.41935786165183,29.2706834441911,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,167,17,17,0.907608695652174,0.8260869565217391,0.8105726872246696,0.4613466334164589,227,184,401,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5668449197860963,0.43315508021390375,0.9965856124939424,0.6708131730715148,0.6796553721209776,512836,251663,241717,73454968,0.73568281938326,0.4164588528678304,0.5318471337579618,167,0.6431718061674009,0.3640897755610973,0.46496815286624205,146,0.4185022026431718,0.23690773067331672,0.30254777070063693,95,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.35,371,184,187,tumor images only,0.49290746132535485,0.3918873946334833,0.5361733912708486,0.5681278633514932,74.05840969431411,29.119295479832008,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,166,18,18,0.9021739130434783,0.8206521739130435,0.8061674008810573,0.4613466334164589,227,183,401,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5721925133689839,0.42780748663101603,0.9967441735330435,0.6787108590524236,0.6718414743563408,506940,239976,247613,73466655,0.73568281938326,0.4164588528678304,0.5318471337579618,167,0.6299559471365639,0.3566084788029925,0.4554140127388535,143,0.4185022026431718,0.23690773067331672,0.30254777070063693,95,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.4,371,184,187,tumor images only,0.491936044127483,0.39110860671491804,0.5400704300539951,0.5631737615602124,73.43401784618915,28.36448102090908,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,165,19,19,0.8967391304347826,0.8206521739130435,0.8061674008810573,0.4701492537313433,227,183,402,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5775401069518716,0.42245989304812837,0.9968659536209165,0.6847268588149551,0.6648943149122726,501698,231000,252855,73475631,0.73568281938326,0.4154228855721393,0.5310015898251192,167,0.6123348017621145,0.34577114427860695,0.4419713831478537,139,0.4185022026431718,0.236318407960199,0.302066772655008,95,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.45,371,184,187,tumor images only,0.4910179466348318,0.3904795926005371,0.543491641178642,0.5585126913828724,73.39207756547091,28.384417233819804,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,165,19,19,0.8967391304347826,0.8206521739130435,0.8061674008810573,0.47474747474747475,227,183,396,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5882352941176471,0.4117647058823529,0.9969651712883201,0.6898551648979389,0.6593930446237706,497547,223687,257006,73482944,0.7312775330396476,0.41919191919191917,0.5329052969502408,166,0.6035242290748899,0.34595959595959597,0.43980738362760835,137,0.4185022026431718,0.2398989898989899,0.30497592295345105,95,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.5,371,184,187,tumor images only,0.489941358174933,0.3896681413365093,0.5464115535725399,0.553790708016149,73.18312759837335,28.209935776753127,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,165,19,19,0.8967391304347826,0.8206521739130435,0.8061674008810573,0.4770408163265306,227,183,392,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6096256684491979,0.39037433155080214,0.9970572389884432,0.6948374443562774,0.6545212861124401,493871,216901,260682,73489730,0.7312775330396476,0.42346938775510207,0.5363489499192245,166,0.6035242290748899,0.3494897959183674,0.44264943457189015,137,0.4185022026431718,0.2423469387755102,0.3069466882067851,95,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.55,371,184,187,tumor images only,0.48855226555292264,0.3884561438033736,0.5490393979044665,0.5486668696264655,72.91845267999388,28.080412452522186,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,165,19,19,0.8967391304347826,0.8206521739130435,0.8061674008810573,0.4845360824742268,227,183,388,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6096256684491979,0.39037433155080214,0.9971510433030103,0.6999907134233894,0.6493221814769804,489948,209987,264605,73496644,0.7268722466960352,0.4252577319587629,0.5365853658536586,165,0.6035242290748899,0.35309278350515466,0.44552845528455287,137,0.4185022026431718,0.24484536082474226,0.3089430894308943,95,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.6,371,184,187,tumor images only,0.4865726115035193,0.38692901371613564,0.5522786466287409,0.5430993884658998,67.88077893374415,27.48620764936328,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,164,20,20,0.8913043478260869,0.8206521739130435,0.8061674008810573,0.4973544973544973,227,183,378,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6256684491978609,0.37433155080213903,0.9972521468251615,0.7057075601923831,0.6436592260583418,485675,202535,268878,73504096,0.7224669603524229,0.43386243386243384,0.5421487603305785,164,0.5991189427312775,0.35978835978835977,0.44958677685950416,136,0.4185022026431718,0.25132275132275134,0.3140495867768595,95,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.65,371,184,187,tumor images only,0.48563455280881346,0.3860841008577502,0.5560982330828622,0.5381361393431572,66.95436138080044,27.36660064002468,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,164,20,20,0.8913043478260869,0.8206521739130435,0.8061674008810573,0.4947089947089947,227,183,378,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6310160427807486,0.3689839572192513,0.9973625846499482,0.7121144581792548,0.6372726634179441,480856,194395,273697,73512236,0.7224669603524229,0.43386243386243384,0.5421487603305785,164,0.5991189427312775,0.35978835978835977,0.44958677685950416,136,0.4185022026431718,0.25132275132275134,0.3140495867768595,95,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.7,371,184,187,tumor images only,0.4842071865276633,0.384947999826382,0.5602207704772553,0.5323407956313919,66.83242842113592,27.172053932745868,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,164,20,20,0.8913043478260869,0.8206521739130435,0.801762114537445,0.49866666666666665,227,182,375,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6363636363636364,0.36363636363636365,0.9974853551507462,0.7194320400841646,0.629861653190697,475264,185346,279289,73521285,0.7180616740088106,0.43466666666666665,0.5415282392026578,163,0.5991189427312775,0.3626666666666667,0.45182724252491696,136,0.41409691629955947,0.25066666666666665,0.3122923588039867,94,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.75,371,184,187,tumor images only,0.48117758947962946,0.38240149389999833,0.5641893671292277,0.5246008352723949,66.0848605446689,26.97375586101904,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,164,20,20,0.8913043478260869,0.8206521739130435,0.801762114537445,0.5094339622641509,227,182,371,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.6417112299465241,0.3582887700534759,0.9976164288393536,0.7273618885486872,0.6211677642259722,468704,175685,285849,73530946,0.7136563876651982,0.4366576819407008,0.5418060200668896,162,0.5903083700440529,0.3611859838274933,0.44816053511705684,134,0.40969162995594716,0.25067385444743934,0.3110367892976589,93,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
