subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.5662273828158294,0.4475718817033008,0.7347358143532093,0.5267628502384947,123.11832555210736,30.028660702913854,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,17,1,1,0.9444444444444444,0.9444444444444444,0.9,0.6527777777777778,40,36,72,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9782324560496588,0.7352956630087221,0.5259892450890112,195921,70531,176560,3169660,0.75,0.4166666666666667,0.5357142857142857,30,0.675,0.375,0.48214285714285715,27,0.525,0.2916666666666667,0.375,21,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.5449498413873446,0.42330402069896855,0.6091647474319556,0.5995880588510709,127.48540042102688,37.55752326010074,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,70,2,2,0.9722222222222222,0.9166666666666666,0.926829268292683,0.40969162995594716,82,76,227,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9889337534242301,0.5714477948041962,0.5962754099112265,208087,156053,140891,13945657,0.8780487804878049,0.31718061674008813,0.46601941747572817,72,0.7439024390243902,0.2687224669603524,0.3948220064724919,61,0.5,0.18061674008810572,0.26537216828478966,41,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,346,0,0.0,{},0.32620320855614976,0.6737967914438503,0.9963446049584607,0.0,,0,137193,0,37394455,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.32265939702583374,0.23118998690662657,0.29997710782964093,0.6013829386499728,148.69084970034896,59.405661924667626,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,89,5,5,0.9468085106382979,0.8191489361702128,0.8,0.31636363636363635,105,84,275,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9937724478659414,0.1288161276425059,0.5240224814165709,17342,117284,15752,18715798,0.7142857142857143,0.2727272727272727,0.39473684210526316,75,0.580952380952381,0.22181818181818183,0.32105263157894737,61,0.3619047619047619,0.13818181818181818,0.2,38,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.41141049113405936,0.3105733171223282,0.41435509169528345,0.6137698645757265,139.14243913608655,48.67644226486276,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,124,7,7,0.9465648854961832,0.8549618320610687,0.8311688311688312,0.19913419913419914,154,128,693,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.3212121212121212,0.6787878787878788,0.9950463680987264,0.42391051725564194,0.5935397224612262,215227,292491,147389,58753277,0.7532467532467533,0.1673881673881674,0.27390791027154665,116,0.6493506493506493,0.1443001443001443,0.2361275088547816,100,0.42207792207792205,0.09379509379509379,0.15348288075560804,65,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.4948824244703016,0.362424716181225,0.5810190814025966,0.5310736322065717,133.29101352263746,39.6393075122414,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,30,1,1,0.967741935483871,0.9354838709677419,0.9534883720930233,0.38636363636363635,43,41,132,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.375,0.625,0.9860779955458795,0.4976270442494523,0.563260200324707,126978,128189,98456,9079465,0.8837209302325582,0.2878787878787879,0.4342857142857143,38,0.6976744186046512,0.22727272727272727,0.34285714285714286,30,0.4883720930232558,0.1590909090909091,0.24,21,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.4782879679027721,0.3793532447984122,0.5904930033582819,0.559769678038344,136.276469483405,54.61635023826286,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.8636363636363636,0.9,0.4,30,27,95,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.3333333333333333,0.6666666666666666,0.9889274370375315,0.5672419477373393,0.47533678071866575,79145,60381,87358,5392828,0.7666666666666667,0.24210526315789474,0.368,23,0.6333333333333333,0.2,0.304,19,0.4666666666666667,0.14736842105263157,0.224,14,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.02341031319202784,0.011843790012804098,0.37185929648241206,0.012085578964559857,78.75182065841695,39.33869518103481,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,0.3333333333333333,1,1,3,0,0.0,{'1': 1},,,0.9993575940096926,0.37185929648241206,0.012085578964559857,74,125,6049,194456,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.4856531535968198,0.37818179716373707,0.54254280099941,0.5877265397160508,146.11172326243448,49.390805550279914,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,45,3,3,0.9375,0.875,0.88,0.358974358974359,50,44,156,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.992871739749249,0.6125061347036578,0.48468054387952775,106083,67112,112789,9347808,0.78,0.25,0.3786407766990291,39,0.68,0.21794871794871795,0.3300970873786408,34,0.46,0.14743589743589744,0.22330097087378642,23,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.18746462567667163,0.11200790622797192,0.2143618974335745,0.40017506738221226,151.36585195409825,57.98154201374987,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,11,1,1,0.9166666666666666,0.8333333333333334,0.7692307692307693,0.3333333333333333,13,10,30,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9964392293760249,0.13052310817673946,0.28721502011622707,1285,8560,3189,2395414,0.5384615384615384,0.23333333333333334,0.32558139534883723,7,0.38461538461538464,0.16666666666666666,0.23255813953488372,5,0.15384615384615385,0.06666666666666667,0.09302325581395349,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
