threshold,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
0.2,371,184,187,tumor images only,0.43346991734240276,0.3275328376641742,0.46349431852959144,0.5933808031231927,137.7867908362998,47.87851006506821,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,176,8,8,0.9565217391304348,0.8695652173913043,0.8634361233480177,0.2467391304347826,227,196,920,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.32620320855614976,0.6737967914438503,0.9934733009300072,0.4669158509814264,0.558410078549817,421350,481061,333203,73225570,0.7797356828193832,0.1923913043478261,0.3086312118570183,177,0.6563876651982379,0.16195652173913044,0.2598081952920663,149,0.44052863436123346,0.10869565217391304,0.17436791630340018,100,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.25,371,184,187,tumor images only,0.43051073587601907,0.3254283114493005,0.47835050187485983,0.5639924026955999,128.959393940786,45.98327790282648,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,176,8,8,0.9565217391304348,0.8641304347826086,0.8546255506607929,0.270906949352179,227,194,849,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.3582887700534759,0.6417112299465241,0.9943881711266928,0.4891785316888406,0.5249518589151458,396104,413629,358449,73293002,0.7665198237885462,0.2049469964664311,0.32342007434944237,174,0.6255506607929515,0.16725559481743227,0.26394052044609667,142,0.42290748898678415,0.11307420494699646,0.17843866171003717,96,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.3,371,184,187,tumor images only,0.42529931453488834,0.3212068086402072,0.49095797936736923,0.5396369783740188,124.90473011225279,45.17909030235727,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,175,9,9,0.9510869565217391,0.8586956521739131,0.8502202643171806,0.2853598014888337,227,193,806,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.37433155080213903,0.6256684491978609,0.9950647452601653,0.5081033715705193,0.4979716467895562,375746,363761,378807,73342870,0.7533039647577092,0.21215880893300249,0.33107454017424975,171,0.6167400881057269,0.17369727047146402,0.271055179090029,140,0.3964757709251101,0.11166253101736973,0.17424975798644723,90,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.35,371,184,187,tumor images only,0.41016795331233563,0.3094007503209317,0.49664138288241505,0.506949674911277,121.43126615568207,41.64194008437356,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,170,14,14,0.9239130434782609,0.8478260869565217,0.8370044052863436,0.31466666666666665,227,190,750,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.42780748663101603,0.5721925133689839,0.9957187569731684,0.5203331990605975,0.45365799354054653,342309,315556,412244,73391075,0.7268722466960352,0.22,0.33776867963152507,165,0.5814977973568282,0.176,0.27021494370522003,132,0.3876651982378855,0.11733333333333333,0.18014329580348004,88,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.4,371,184,187,tumor images only,0.4035762380870484,0.3047411465473972,0.5000204918028495,0.48855834866564113,120.47965257477306,42.03025130943055,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,169,15,15,0.9184782608695652,0.8315217391304348,0.8237885462555066,0.33058984910836764,227,187,729,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.44919786096256686,0.5508021390374331,0.996171945506504,0.5360554195352876,0.4320544746359765,326008,282153,428545,73424478,0.7136563876651982,0.2222222222222222,0.3389121338912134,162,0.5638766519823789,0.1755829903978052,0.26778242677824265,128,0.3568281938325991,0.1111111111111111,0.1694560669456067,81,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.45,371,184,187,tumor images only,0.39636529295049194,0.2998913997594556,0.5136082836453769,0.4656230081539399,117.50915636176767,40.99349140939838,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,168,16,16,0.9130434782608695,0.8152173913043478,0.8061674008810573,0.33760683760683763,227,183,702,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.46524064171123,0.5347593582887701,0.9966776394921646,0.5556136263002402,0.4057660628212995,306172,244880,448381,73461751,0.7004405286343612,0.2264957264957265,0.34230355220667386,159,0.5418502202643172,0.1752136752136752,0.26480086114101187,123,0.3436123348017621,0.1111111111111111,0.16792249730893433,78,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.5,371,184,187,tumor images only,0.3846689740303213,0.2907400348210354,0.519173617950656,0.4290810758615677,108.06937552057731,37.93762977221138,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,161,23,23,0.875,0.7934782608695652,0.7797356828193832,0.38388625592417064,227,177,633,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5026737967914439,0.49732620320855614,0.9975980451473898,0.5938769564628941,0.34309982201382805,258887,177040,495666,73529591,0.6607929515418502,0.23696682464454977,0.3488372093023256,150,0.5066079295154186,0.18167456556082148,0.26744186046511625,115,0.31277533039647576,0.11216429699842022,0.16511627906976745,71,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.55,371,184,187,tumor images only,0.3749524135442482,0.28264362453737996,0.5275314233858743,0.40448568352630687,103.77334141003446,36.51941386232121,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,159,25,25,0.8641304347826086,0.7880434782608695,0.7709251101321586,0.4099173553719008,227,175,605,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5240641711229946,0.47593582887700536,0.9979394798278054,0.6115655131844804,0.3168975539160271,239116,151874,515437,73554757,0.6475770925110133,0.24297520661157024,0.35336538461538464,147,0.4889867841409692,0.1834710743801653,0.2668269230769231,111,0.28193832599118945,0.10578512396694215,0.15384615384615385,64,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.6,371,184,187,tumor images only,0.36553638094047025,0.27485296110279284,0.5394444728849465,0.38467474550239833,99.37115061827159,36.85539493788328,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,159,25,25,0.8641304347826086,0.782608695652174,0.7665198237885462,0.4228187919463087,227,174,596,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5508021390374331,0.44919786096256686,0.998202047791331,0.6289849797723869,0.2977444924345937,224664,132521,529889,73574110,0.6167400881057269,0.2348993288590604,0.3402187120291616,140,0.47577092511013214,0.18120805369127516,0.2624544349939247,108,0.2555066079295154,0.09731543624161074,0.14094775212636695,58,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.65,371,184,187,tumor images only,0.3487984446050798,0.2604375829526403,0.5443197948505175,0.35585626715425844,88.7826351988366,38.007632976395286,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,159,25,25,0.8641304347826086,0.7717391304347826,0.7533039647577092,0.46139705882352944,227,171,544,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.5935828877005348,0.40641711229946526,0.9984868389928173,0.6433573589322146,0.26663733362666375,201192,111530,553361,73595101,0.5903083700440529,0.24632352941176472,0.3476005188067445,134,0.45374449339207046,0.18933823529411764,0.26718547341115434,103,0.24669603524229075,0.10294117647058823,0.14526588845654995,56,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
