subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.4884116763372399,0.3886979868839619,0.687970736601342,0.4571525713927502,85.96931435509981,35.68611944670005,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.9444444444444444,0.525,0.88,40,21,25,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.978923262018985,0.6748777665808233,0.3806676736683105,72328,34844,117675,1618353,0.425,0.68,0.5230769230769231,17,0.3,0.48,0.36923076923076925,12,0.2,0.32,0.24615384615384617,8,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.3662039358846545,0.2659699592105992,0.33303972322544756,0.5685212842556627,91.77113439124355,51.75378698798654,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,70,2,2,0.9722222222222222,0.75,0.6867469879518072,0.5514018691588785,83,57,107,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.967203020955803,0.30400106183727343,0.5790573680691721,103067,235968,74924,6958841,0.5903614457831325,0.45794392523364486,0.5157894736842106,49,0.46987951807228917,0.3644859813084112,0.4105263157894737,39,0.2289156626506024,0.17757009345794392,0.2,19,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.10048069760602699,0.07280900267974758,0.09874428355413103,0.37398853303703117,108.28204192706457,71.6718635344132,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,87,7,7,0.925531914893617,0.5319148936170213,0.5142857142857142,0.3851851851851852,105,54,135,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9682344622802191,0.0245969481505153,0.45755558197598384,7697,305228,9125,9303550,0.13333333333333333,0.1037037037037037,0.11666666666666667,14,0.09523809523809523,0.07407407407407407,0.08333333333333333,10,0.08571428571428572,0.06666666666666667,0.075,9,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.2130664319347985,0.1577769724368858,0.20541853272023558,0.4570532470709387,93.22927501960685,53.85642537234854,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,125,6,6,0.9541984732824428,0.6564885496183206,0.6038961038961039,0.4742268041237113,154,93,194,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9851337908040102,0.18657551364389294,0.5555681750577343,102724,447852,82175,29677649,0.2922077922077922,0.23195876288659795,0.25862068965517243,45,0.24025974025974026,0.19072164948453607,0.21264367816091953,37,0.14935064935064934,0.11855670103092783,0.13218390804597702,23,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.42442101847655883,0.31350744269082437,0.4672676806943027,0.6512107384976228,69.72232100440677,31.432547583903407,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,28,3,3,0.9032258064516129,0.8709677419354839,0.6590909090909091,0.775,44,29,40,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9798885802054568,0.3863391314514348,0.5168982628116554,59480,94478,55591,4603251,0.6136363636363636,0.675,0.6428571428571429,27,0.4090909090909091,0.45,0.42857142857142855,18,0.22727272727272727,0.25,0.23809523809523808,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.1606602262045478,0.11831513483286948,0.19314409533047494,0.19344057260176636,172.09456126632807,131.29103921821573,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.36363636363636365,0.3333333333333333,0.30303030303030304,30,10,33,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9878843597903071,0.38257811641452066,0.24618720976828606,20888,33710,63958,2748644,0.26666666666666666,0.24242424242424243,0.25396825396825395,8,0.2,0.18181818181818182,0.19047619047619047,6,0.1,0.09090909090909091,0.09523809523809523,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.2547192071731949,0.1459474075576286,0.15612119459107673,0.6913224463656741,90.80198235721508,38.80208854765812,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.8824501143265812,0.15612119459107673,0.6913224463656741,2159,11670,964,87607,1.0,1.0,1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.3339675978790453,0.254001113778849,0.33941784002950587,0.5315506611165767,100.56413544193812,57.52173064797943,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.7083333333333334,0.72,0.5277777777777778,50,36,72,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9704986458101303,0.2866591832317365,0.5103324670669415,56948,141713,54642,4661897,0.54,0.375,0.4426229508196721,27,0.46,0.3194444444444444,0.3770491803278688,23,0.26,0.18055555555555555,0.21311475409836064,13,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.017531792762238037,0.00936027991784391,0.009405491409775823,0.2011343526902052,121.65922478715592,82.68453127613586,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,10,2,2,0.8333333333333334,0.3333333333333333,0.3076923076923077,0.23529411764705882,13,4,17,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9717822742785769,0.014633868579888396,0.22683142100617829,514,34610,1752,1191924,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
