above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_causal_score_max,classifier_causal_score_mean,classifier_causal_score_min,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
20,12,0.9999999403953552,0.2497246414422989,0.0,0.999990234375,0.18776455521583557,ground_truth,,,,0.057533785700798035,0.048037109375,btxrd-heuristic-000001,IMG000001.jpeg,0.048037109375,4919,320,masks/IMG000001.png,587cabc6d3889a0a9f756a45bf35a0d60fffa95eabf2f0b02ccd3a6b25f5f6ba,0|255,320,6,,54,18,0.04830078125,3,0,3,0.7655516862869263,0.34162524342536926,0.030781202018260956,val,ok,0.15,1,9,24,10,34
25,8,1.0,0.14394724369049072,0.0,0.999990234375,0.20638839900493622,ground_truth,,,,0.01732095144689083,0.043125,btxrd-heuristic-000006,IMG000010.jpeg,0.043125,4416,320,masks/IMG000010.png,f512841df1fbbb7b6dcb5646d1546013c86ec8e9f3ad7174bcbb29551bec27d0,0|255,320,4,,36,12,0.0434375,3,0,3,0.717553436756134,0.4488867521286011,0.01950373686850071,val,ok,0.15,1,8,14,6,20
20,8,1.0,0.22839340567588806,0.0,0.999990234375,0.18927103281021118,ground_truth,,,,0.034104008227586746,0.06658203125,btxrd-heuristic-000009,IMG000017.jpeg,0.06658203125,6818,320,masks/IMG000017.png,43cba11bf47e3b612ae165591dbf59d293db52cb86cba88f04abd0d3368c5b32,0|255,320,4,,36,12,0.068017578125,3,0,3,0.7498335838317871,0.38534224033355713,0.006245634518563747,val,ok,0.15,1,8,15,10,25
24,6,0.9999999403953552,0.15271396934986115,0.0,0.999990234375,0.16383834183216095,ground_truth,,,,0.9964253306388855,0.0548828125,btxrd-heuristic-000009,IMG000018.jpeg,0.0548828125,5620,320,masks/IMG000018.png,1912754533bf38eb94a0ab1e348198dc985dc65f0185910f75de36830df262a2,0|255,320,3,,27,9,0.05501953125,3,0,3,0.720597505569458,0.5265009999275208,0.31561005115509033,val,ok,0.15,1,8,12,5,17
8,6,1.0,0.1546386331319809,0.0,0.999990234375,0.17803360521793365,ground_truth,,,,0.7169684171676636,0.050888671875,btxrd-heuristic-000017,IMG000033.jpeg,0.050888671875,5211,320,masks/IMG000033.png,ce6a25b19b18ae15614bcceb6bcf1c57806d007de9d56fec77aded59fc067083,0|255,320,3,,27,9,0.050986328125,2,0,2,0.6064298748970032,0.3633391559123993,0.0719074085354805,val,ok,0.15,1,8,12,5,17
6,12,1.0,0.19238406419754028,0.0,0.999990234375,0.18019835650920868,ground_truth,,,,0.35655733942985535,0.16744140625,btxrd-heuristic-000017,IMG000034.jpeg,0.16744140625,17146,320,masks/IMG000034.png,b819b30b4f51c184f527e157672cfcc4124e93fbe147db506ce4b9813b9bf718,0|255,320,6,,54,18,0.16744140625,2,0,2,0.6376891136169434,0.2370881736278534,0.0009330369648523629,val,ok,0.15,1,8,20,13,33
18,14,1.0,0.34275397658348083,0.0,0.999990234375,0.21999096870422363,ground_truth,,,,0.999995231628418,0.02599609375,btxrd-heuristic-000025,IMG000048.jpeg,0.02599609375,2662,320,masks/IMG000048.png,0bf925e8581b87f9d299353488d3bc86c732c601865b3effce311cc7469a1508,0|255,320,7,,63,21,0.02603515625,3,0,3,0.7512218952178955,0.3017053008079529,0.0019294489175081253,val,ok,0.15,1,8,17,15,32
26,18,1.0,0.21525736153125763,0.0,0.999990234375,0.16514696180820465,ground_truth,,,,0.9959636926651001,0.0010546875,btxrd-heuristic-000025,IMG000049.jpeg,0.0010546875,108,320,masks/IMG000049.png,668e2192b56060ae5e7d6ae90f965bf510db2fe96dcf15a848d6711a15d67129,0|255,320,9,,81,27,0.001328125,3,0,3,0.7519397139549255,0.26352599263191223,0.00014419546641875058,val,ok,0.14947265625,1,8,29,15,44
33,14,1.0,0.2648569941520691,0.0,0.999990234375,0.18149176239967346,ground_truth,,,,0.9997990727424622,0.10943359375,btxrd-heuristic-000026,IMG000050.jpeg,0.10943359375,11206,320,masks/IMG000050.png,970a40e6c845d32155740842265073806816563e4b792edfc376b721aa8f21a3,0|255,320,7,,63,21,0.109609375,3,0,3,0.7965267300605774,0.41834756731987,0.050001028925180435,val,ok,0.15,1,8,22,12,34
33,14,0.9999999403953552,0.19947507977485657,0.0,0.999990234375,0.19272512197494507,ground_truth,,,,1.0,0.092353515625,btxrd-heuristic-000029,IMG000055.jpeg,0.092353515625,9457,320,masks/IMG000055.png,3a8d522e23479865d497b1d11fa5e88bf6c7c74b151fe60807e763a3e6afdb97,0|255,320,7,,63,21,0.092802734375,3,0,3,0.7324145436286926,0.390107661485672,0.001262220786884427,val,ok,0.15,1,8,25,13,38
25,8,1.0,0.21178190410137177,0.0,0.999990234375,0.20554032921791077,ground_truth,,,,1.0,0.05830078125,btxrd-heuristic-000029,IMG000056.jpeg,0.05830078125,5970,320,masks/IMG000056.png,3bc2072d5ef039a195eee5cd306df4d01b0b6ab42d90fb9f2a6b487c5ec340b6,0|255,320,4,,36,12,0.058916015625,3,0,3,0.7570195198059082,0.4892922639846802,0.07310827076435089,val,ok,0.15,1,8,13,6,19
18,14,0.9999999403953552,0.24966013431549072,0.0,0.9999609375,0.19359327852725983,ground_truth,,,,0.9966188669204712,0.065810546875,btxrd-heuristic-000037,IMG000071.jpeg,0.065810546875,6739,320,masks/IMG000071.png,8fa11caa7f6b2c8e44b076cf5caf63fe3c921bd11ad2f0df0dc334a592e53972,0|255,320,7,,63,21,0.066552734375,3,0,3,0.7545742392539978,0.27297279238700867,0.0013951373985037208,val,ok,0.15,1,8,25,13,38
26,6,0.9999999403953552,0.20883336663246155,0.0,0.999990234375,0.21662913262844086,ground_truth,,,,1.0,0.002509765625,btxrd-heuristic-000039,IMG000076.jpeg,0.002509765625,257,320,masks/IMG000076.png,7266ba665c17cd9bae71a2b166bc985e67d8cbee9af85ebbcad30b04dc648dd2,0|255,320,3,,27,9,0.002509765625,3,0,3,0.7537418007850647,0.5948771238327026,0.21151022613048553,val,ok,0.15,1,8,12,5,17
12,6,1.0,0.16886913776397705,0.0,0.999990234375,0.17756961286067963,ground_truth,,,,1.0,0.108896484375,btxrd-heuristic-000063,IMG000125.jpeg,0.108896484375,11151,320,masks/IMG000125.png,1b6c5e1776334027abebc9fa569ef81c1b579a2ffd107b1614a07cde39f7a561,0|255,320,3,,27,9,0.109921875,3,0,3,0.5214521288871765,0.3841809034347534,0.17541733384132385,val,ok,0.15,1,8,12,5,17
7,10,1.0,0.21207129955291748,0.0,0.999990234375,0.1771530956029892,ground_truth,,,,1.0,0.132470703125,btxrd-heuristic-000063,IMG000126.jpeg,0.132470703125,13565,320,masks/IMG000126.png,bad976dfbec12f4796a543c766bf06ace66fa8e78cee67792d0e83ccb37e219b,0|255,320,5,,42,14,0.13287109375,3,0,3,0.552223801612854,0.23827306926250458,0.0017481206450611353,val,ok,0.15,1,8,14,8,22
9,8,0.9999999403953552,0.22186172008514404,0.0,0.999990234375,0.1711488962173462,ground_truth,,,,1.0,0.02109375,btxrd-heuristic-000069,IMG000137.jpeg,0.02109375,2160,320,masks/IMG000137.png,daa32e55488add27400ae132c01f023c11a031f64d2e6a6aab6b975255cb6787,0|255,320,4,,36,12,0.0222265625,2,0,2,0.7508190870285034,0.3993763327598572,0.23083291947841644,val,ok,0.15,1,8,15,10,25
19,6,1.0,0.17831572890281677,0.0,0.9999609375,0.16728632152080536,ground_truth,,,,1.0,0.056044921875,btxrd-heuristic-000069,IMG000138.jpeg,0.056044921875,5739,320,masks/IMG000138.png,8ccaed76224faa054fb173a035e84ecec7d8f5e338d703a1e4e22bd7aef223dc,0|255,320,3,,27,9,0.05609375,3,0,3,0.5809057354927063,0.4365284740924835,0.1978934109210968,val,ok,0.15,1,8,12,5,17
34,16,1.0,0.26284682750701904,0.0,0.999990234375,0.18600353598594666,ground_truth,,,,0.999988317489624,0.038447265625,btxrd-heuristic-000073,IMG000144.jpeg,0.038447265625,3937,320,masks/IMG000144.png,a57aaf9892451be4400b8af3b62d37e8f1cb787f7ae0c99820b19eea801927e2,0|255,320,8,,72,24,0.038447265625,3,0,3,0.7440474033355713,0.36919814348220825,0.0008280689362436533,val,ok,0.15,1,8,26,16,42
22,18,1.0,0.30528631806373596,0.0,0.999990234375,0.17914633452892303,ground_truth,,,,0.9999967813491821,0.033046875,btxrd-heuristic-000078,IMG000152.jpeg,0.033046875,3384,320,masks/IMG000152.png,ce7da50a4429911a47b0a5134b1c8d4f3ee77ca87cadf641bd30d66fe642546c,0|255,320,9,,81,27,0.033046875,3,0,3,0.7180100679397583,0.23349787294864655,0.0032328939996659756,val,ok,0.139560546875,1,8,36,15,51
10,10,1.0,0.2991395592689514,0.0,0.999990234375,0.241632878780365,ground_truth,,,,0.9999996423721313,0.043515625,btxrd-heuristic-000082,IMG000160.jpeg,0.043515625,4456,320,masks/IMG000160.png,6377953fc0af1a6514826f6f367daf424766a588b405627e0e32690475eae375,0|255,320,5,,45,15,0.043623046875,3,0,3,0.7512677907943726,0.2796095907688141,0.01897798292338848,val,ok,0.15,1,8,18,7,25
51,12,1.0,0.2967016100883484,0.0,0.999990234375,0.2200041115283966,ground_truth,,,,0.9999809265136719,0.03787109375,btxrd-heuristic-000082,IMG000161.jpeg,0.03787109375,3878,320,masks/IMG000161.png,d9aa1336e2250e84f1f379bd5d608798bebcaa6c1d2a19f7a50c06446c1f3385,0|255,320,6,,54,18,0.0380859375,3,0,3,0.7753319144248962,0.6190237402915955,0.26283520460128784,val,ok,0.15,1,8,24,10,34
13,6,1.0,0.20825019478797913,0.0,0.9999609375,0.16940085589885712,ground_truth,,,,0.9999994039535522,0.041904296875,btxrd-heuristic-000098,IMG000200.jpeg,0.041904296875,4291,320,masks/IMG000200.png,00499e300ff8e46fbf0f3b099884d6568e81af7f40513a7319682c782de2b40e,0|255,320,3,,27,9,0.04234375,3,0,3,0.5785148739814758,0.36657917499542236,0.11142957955598831,val,ok,0.15,1,8,12,5,17
4,6,1.0,0.20587676763534546,0.0,0.999990234375,0.18033204972743988,ground_truth,,,,0.9999960660934448,0.03078125,btxrd-heuristic-000098,IMG000201.jpeg,0.03078125,3152,320,masks/IMG000201.png,87c418f8e8dfed1ad049b64b985e6e24fa5fb06074ccdf88ffbca6439afac9e9,0|255,320,3,,27,9,0.03181640625,2,0,2,0.7141551971435547,0.29168641567230225,0.0983293205499649,val,ok,0.15,1,8,12,5,17
22,16,1.0,0.26023179292678833,0.0,0.9999609375,0.16191211342811584,ground_truth,,,,1.0,0.03642578125,btxrd-heuristic-000099,IMG000202.jpeg,0.03642578125,3730,320,masks/IMG000202.png,fff93ea6e77ba74370a277a4910c5388032dbe1f19170b997ad12d565cd1ed8d,0|255,320,8,,72,24,0.036962890625,3,0,3,0.7786768078804016,0.24183712899684906,0.0005025978316552937,val,ok,0.144462890625,1,8,29,13,42
