subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.47758935097489214,0.3813445846026239,0.6794306627794976,0.45070325922756665,93.54536361288939,36.171595533894326,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.9444444444444444,0.525,0.6666666666666666,40,21,33,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9777001772928453,0.6525942818372001,0.3644784556033326,69252,36866,120751,1616331,0.45,0.5454545454545454,0.4931506849315068,18,0.4,0.48484848484848486,0.4383561643835616,16,0.275,0.3333333333333333,0.3013698630136986,11,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.3761539039480138,0.26509229169637777,0.3142665924742858,0.6260496978001839,92.17614043308683,47.381955025167166,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,72,0,0,1.0,0.7916666666666666,0.7228915662650602,0.5371900826446281,83,60,121,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.961893776471342,0.2882180983633796,0.6237225477692693,111017,274167,66974,6920642,0.6506024096385542,0.4462809917355372,0.5294117647058824,54,0.5301204819277109,0.36363636363636365,0.43137254901960786,44,0.1927710843373494,0.1322314049586777,0.1568627450980392,16,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.07218041172584932,0.05024305545121101,0.06954056114117592,0.43722766710609284,131.37769198104118,80.33872393390487,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,93,1,1,0.9893617021276596,0.5957446808510638,0.5714285714285714,0.29896907216494845,105,60,194,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9516909434269373,0.016279804099831947,0.45666389252169776,7682,464191,9140,9144587,0.1523809523809524,0.08247422680412371,0.10702341137123746,16,0.06666666666666667,0.03608247422680412,0.046822742474916385,7,0.06666666666666667,0.03608247422680412,0.046822742474916385,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.20327891662024153,0.1492556613173461,0.18537703305303468,0.5079843423333945,110.5100076816593,60.40754085136414,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,130,1,1,0.9923664122137404,0.6946564885496184,0.6298701298701299,0.375,154,97,264,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9799861917649104,0.14952195292597534,0.5732859561165826,106000,602926,78899,29522575,0.33766233766233766,0.19696969696969696,0.24880382775119617,52,0.2597402597402597,0.15151515151515152,0.19138755980861244,40,0.13636363636363635,0.07954545454545454,0.10047846889952153,21,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.4225830012961198,0.2994060992690622,0.43343849754983355,0.7240732752407425,80.16129793059937,36.8110226281325,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,0.9354838709677419,0.7272727272727273,0.673469387755102,44,32,49,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9758800475719225,0.34673016275677576,0.5226338521434593,60140,113309,54931,4584420,0.6363636363636364,0.5714285714285714,0.6021505376344086,28,0.5,0.4489795918367347,0.4731182795698925,22,0.25,0.22448979591836735,0.23655913978494625,11,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.12431986302743327,0.08361881943122683,0.16694429915716766,0.24070078352474908,167.60558072667274,115.45312705117458,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.45454545454545453,0.4,0.37142857142857144,30,12,35,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.978798887560677,0.2699381188118812,0.25706574263960585,21811,58989,63035,2723365,0.26666666666666666,0.22857142857142856,0.24615384615384617,8,0.16666666666666666,0.14285714285714285,0.15384615384615385,5,0.06666666666666667,0.05714285714285714,0.06153846153846154,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,92.8891379993003,59.3885316108389,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,1,0,0.0,{'1': 1},,,0.9310212838824703,0.0,0.0,0,6848,3123,92429,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.3127944216906746,0.22665799682288792,0.2868241202099997,0.6053840927578352,106.83958704397907,55.03237303390531,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.7708333333333334,0.78,0.4772727272727273,50,39,88,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9589367163445826,0.2488184958242729,0.5855094542521732,65337,197252,46253,4606358,0.6,0.3409090909090909,0.43478260869565216,30,0.5,0.2840909090909091,0.36231884057971014,25,0.24,0.13636363636363635,0.17391304347826086,12,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.015128774539495272,0.007938815380226099,0.007945364115714984,0.2931306672580327,145.94005460802055,87.86160718443297,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.5,0.46153846153846156,0.2857142857142857,13,6,21,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9459688846782885,0.008498032585765796,0.2506619593998235,568,66271,1698,1160263,0.07692307692307693,0.047619047619047616,0.058823529411764705,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
