above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_causal_score_max,classifier_causal_score_mean,classifier_causal_score_min,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
33,12,1.0,0.22110337018966675,0.0,0.999990234375,0.17941494286060333,ground_truth,,,,0.057533785700798035,0.056396484375,btxrd-heuristic-000001,IMG000001.jpeg,0.056396484375,5775,320,masks/IMG000001.png,987b38dd3a8f05390a450b099bd66b3de75c050f4a836fe9c0c459a148d7c244,0|255,320,6,,54,18,0.058505859375,3,0,3,0.7782381772994995,0.45084628462791443,0.03540970757603645,val,ok,0.149677734375,1,9,22,10,32
17,6,1.0,0.12684640288352966,0.0,0.999990234375,0.18939508497714996,ground_truth,,,,0.01732095144689083,0.046259765625,btxrd-heuristic-000006,IMG000010.jpeg,0.046259765625,4737,320,masks/IMG000010.png,226a62dfb363e3c902cd89e8fc6181e8cd921ca6bc22189693a11d4688aa496e,0|255,320,3,,27,9,0.046689453125,3,0,3,0.7307940125465393,0.4833594560623169,0.06514348089694977,val,ok,0.15,1,8,12,5,17
18,6,1.0,0.17720575630664825,0.0,0.999990234375,0.17607972025871277,ground_truth,,,,0.034104008227586746,0.128544921875,btxrd-heuristic-000009,IMG000017.jpeg,0.128544921875,13163,320,masks/IMG000017.png,7b011b15c925bff5234cf0151cc13ef6f937ddf6eea76e6998fa7f5cfd5d7666,0|255,320,3,,27,9,0.13322265625,3,0,3,0.7840667963027954,0.4852791428565979,0.2443302720785141,val,ok,0.15,1,8,12,5,17
18,6,1.0,0.15681636333465576,0.0,0.999990234375,0.1647668480873108,ground_truth,,,,0.9964253306388855,0.055,btxrd-heuristic-000009,IMG000018.jpeg,0.055,5632,320,masks/IMG000018.png,eaf429e0dfda91b52009ea213f0ee6d2caba278dc85c321812b7168adc429b23,0|255,320,3,,27,9,0.0550390625,3,0,3,0.6855826377868652,0.48023414611816406,0.2625463604927063,val,ok,0.15,1,8,12,5,17
12,6,1.0,0.1437540501356125,0.0,0.999990234375,0.17153380811214447,ground_truth,,,,0.7169684171676636,0.054404296875,btxrd-heuristic-000017,IMG000033.jpeg,0.054404296875,5571,320,masks/IMG000033.png,2b35c54b219947356814cfa6ed1d2f1fa5b3b8711dd0b2b4ea26d63d607e61f8,0|255,320,3,,27,9,0.054443359375,3,0,3,0.6444748044013977,0.39385172724723816,0.10383223742246628,val,ok,0.15,1,8,12,5,17
9,10,1.0,0.17117847502231598,0.0,0.999990234375,0.17073269188404083,ground_truth,,,,0.35655733942985535,0.023427734375,btxrd-heuristic-000017,IMG000034.jpeg,0.023427734375,2399,320,masks/IMG000034.png,ef4a8d19833d7fdf53e05dd4460710bde5702ec2f003588214fcf32e6ea4a104,0|255,320,5,,45,15,0.0234765625,2,0,2,0.6745513677597046,0.27784016728401184,0.008866313844919205,val,ok,0.1491796875,1,8,15,9,24
73,18,1.0,0.3468610346317291,0.0,0.999990234375,0.21755458414554596,ground_truth,,,,0.999995231628418,0.061435546875,btxrd-heuristic-000025,IMG000048.jpeg,0.061435546875,6291,320,masks/IMG000048.png,7926b27b1f2cdeb6e8a60fb3877cd8a3872ff0542dd572de0ee3fa14cf2a13b4,0|255,320,9,,81,27,0.061748046875,3,0,3,0.7728696465492249,0.5801562666893005,0.20134767889976501,val,ok,0.1496875,1,8,29,15,44
36,16,1.0,0.19238731265068054,0.0,0.999990234375,0.16172169148921967,ground_truth,,,,0.9959636926651001,0.0058984375,btxrd-heuristic-000025,IMG000049.jpeg,0.0058984375,604,320,masks/IMG000049.png,7d8c56c268580ac1d90475994e1ef509349e6ba6053c0b7d8eeb9873d3558aca,0|255,320,8,,72,24,0.00607421875,3,0,3,0.7512786388397217,0.37100255489349365,0.0004431655688676983,val,ok,0.15,1,8,27,12,39
33,12,1.0,0.2568375766277313,0.0,0.999990234375,0.18986183404922485,ground_truth,,,,0.9997990727424622,0.119560546875,btxrd-heuristic-000026,IMG000050.jpeg,0.119560546875,12243,320,masks/IMG000050.png,093933f9c28d28f987c0c09ea465aae21337ddaa61be010126d066fa3fc2c065,0|255,320,6,,54,18,0.11962890625,3,0,3,0.7387810945510864,0.4848671555519104,0.1382017880678177,val,ok,0.15,1,8,20,10,30
31,8,1.0,0.17510469257831573,0.0,0.999990234375,0.19017553329467773,ground_truth,,,,1.0,0.076845703125,btxrd-heuristic-000029,IMG000055.jpeg,0.076845703125,7869,320,masks/IMG000055.png,28486ab0865d0edbd2e264a5c4fe94cc102ebea151c8de61a043486fa78ffca8,0|255,320,4,,36,12,0.07736328125,3,0,3,0.750961184501648,0.5571970343589783,0.25579705834388733,val,ok,0.15,1,8,14,6,20
