subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.5040595256935234,0.4057644799353296,0.6853156092786263,0.4754287089052981,92.62485100721932,32.57609953369229,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,1.0,0.575,0.6571428571428571,40,23,35,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9784841129036649,0.682855283219059,0.40308310921406504,76587,35570,113416,1617627,0.45,0.5142857142857142,0.48,18,0.35,0.4,0.37333333333333335,14,0.25,0.2857142857142857,0.26666666666666666,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.3962394376041229,0.282489686215867,0.3269083722975891,0.6884749639020108,98.38804981712671,40.42816533762803,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,72,0,0,1.0,0.8888888888888888,0.8072289156626506,0.5267175572519084,83,67,131,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9524446027684682,0.2638773846124057,0.6890854031945436,122651,342152,55340,6852657,0.7228915662650602,0.4580152671755725,0.5607476635514018,60,0.5301204819277109,0.33587786259541985,0.411214953271028,44,0.2289156626506024,0.1450381679389313,0.17757009345794392,19,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.06736410534850829,0.04704473987717057,0.06658746294338125,0.46178906164689226,133.6237220012788,75.72361754920799,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,93,1,1,0.9893617021276596,0.6170212765957447,0.5904761904761905,0.33513513513513515,105,62,185,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9374862235343557,0.0142767825055261,0.5171798834859113,8700,600681,8122,9008097,0.11428571428571428,0.06486486486486487,0.08275862068965517,12,0.06666666666666667,0.03783783783783784,0.04827586206896552,7,0.06666666666666667,0.03783783783783784,0.04827586206896552,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.18771101727220071,0.13748681282709868,0.17274337997686245,0.52016283288159,118.41419654148281,60.14191036047137,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,130,1,1,0.9923664122137404,0.7251908396946565,0.6558441558441559,0.4186991869918699,154,101,246,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9747178312486819,0.12273900023036166,0.5763254533556158,106562,761638,78337,29363863,0.2987012987012987,0.18699186991869918,0.23,46,0.22727272727272727,0.14227642276422764,0.175,35,0.12337662337662338,0.07723577235772358,0.095,19,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.3991861142983919,0.2793748883838643,0.40103656916252456,0.759699382316967,83.2129048740673,36.15695192196697,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,0.967741935483871,0.75,0.6226415094339622,44,33,53,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9672967512600237,0.2965613553113553,0.5628611900478835,64769,153631,50302,4544098,0.6818181818181818,0.5660377358490566,0.6185567010309279,30,0.4318181818181818,0.3584905660377358,0.3917525773195876,19,0.22727272727272727,0.18867924528301888,0.20618556701030927,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.316801093946891,0.2451740715719396,0.3213994940051043,0.44745790894244325,145.6703386178704,72.7354668886258,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.6818181818181818,0.6,0.34615384615384615,30,18,52,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9773091418273879,0.3670205833107749,0.4314522782452915,36607,63134,48239,2719220,0.4666666666666667,0.2692307692307692,0.34146341463414637,14,0.36666666666666664,0.21153846153846154,0.2682926829268293,11,0.23333333333333334,0.1346153846153846,0.17073170731707318,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.007550919026328862,0.0037897676274060038,0.005473926822241429,0.012167787383925712,87.82795577541347,48.07257719222928,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.9304572055964624,0.005473926822241429,0.012167787383925712,38,6904,3085,92373,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.3268890333200599,0.2355644895441612,0.2839794562384315,0.6896446303152354,115.99832158422937,54.0274708407309,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.8541666666666666,0.84,0.4387755102040816,50,42,98,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9489973166014727,0.22122551995753242,0.6236759566269379,69596,244997,41994,4558613,0.64,0.32653061224489793,0.43243243243243246,32,0.46,0.23469387755102042,0.3108108108108108,23,0.22,0.11224489795918367,0.14864864864864866,11,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.014277045681965009,0.007406064567683433,0.007423438686373691,0.30812717851777477,132.0755862271204,75.04445429082169,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.5,0.46153846153846156,0.3,13,6,20,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9371497243451873,0.009266280250356643,0.3181818181818182,721,77088,1545,1149446,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot,7,7,0,tumor images only,0.004023101584280454,0.0020312405007688293,0.002322239941853643,0.15297415894685518,178.67601881432464,107.86622769656914,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.2857142857142857,0.25,0.25,8,2,8,1,0.14285714285714285,"{'1': 6, '2': 1}",,,0.9221346486179148,0.0036198770675411715,0.07388441843452817,202,55601,2532,658465,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot|tibia|fibula,1,1,0,tumor images only,0.3784860557768924,0.2334152334152334,0.9595959595959596,0.23573200992555832,13.0,5.006613351502643,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.999960783160289,0.9595959595959596,0.23573200992555832,95,4,308,101993,1.0,1.0,1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hand,8,8,0,tumor images only,0.19360650318707096,0.14969641637451914,0.16010490740533398,0.4072111346304573,118.31942838499566,70.94058315033134,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,8,0,0,1.0,0.5,0.5,0.18181818181818182,8,4,22,0,0.0,{'1': 8},,,0.9635679557314052,0.22008049142130903,0.7782042879880161,8312,29456,2369,779063,0.375,0.13636363636363635,0.2,3,0.25,0.09090909090909091,0.13333333333333333,2,0.25,0.09090909090909091,0.13333333333333333,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip bone,10,10,0,tumor images only,0.20530555824899555,0.15635663749057965,0.2151849319153858,0.2013700605731415,170.47626157611163,78.95883222714939,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,10,0,0,1.0,0.5,0.5,0.25,10,5,20,0,0.0,{'1': 10},,,0.9555408755442851,0.24344252387283935,0.36586821685308696,14098,43813,24435,941654,0.4,0.2,0.26666666666666666,4,0.3,0.15,0.2,3,0.2,0.1,0.13333333333333333,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip-joint,2,2,0,tumor images only,0.9232297817351784,0.8600731218305431,0.9172676394525121,0.9311078803401733,16.198955686619964,3.879229514348978,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,2,0,0.0,{'1': 2},,,0.992609434208807,0.8984705966827027,0.9286085343228201,12513,1414,962,189911,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,1.0,1.0,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,humerus,25,25,0,tumor images only,0.37928355174248923,0.2774350675855908,0.2883603116622834,0.7865797839754901,87.89334255220531,40.454315485046365,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,24,1,1,0.96,0.84,0.84,0.4888888888888889,25,21,45,0,0.0,{'1': 25},,,0.9469475591799751,0.23352873965791454,0.9299874242597462,40673,133494,3062,2382771,0.68,0.37777777777777777,0.4857142857142857,17,0.52,0.28888888888888886,0.37142857142857144,13,0.28,0.15555555555555556,0.2,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,knee-joint,2,2,0,tumor images only,0.7177764518181917,0.5809573124155356,0.7015164301469017,0.8212575516320892,31.768786400254236,7.747937199442449,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,2,0,0.0,{'1': 2},,,0.9839910231934684,0.6674401434447843,0.8063200815494393,6328,3153,1520,193799,1.0,1.0,1.0,2,1.0,1.0,1.0,2,0.5,0.5,0.5,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,radius,7,7,0,tumor images only,0.26821267271548294,0.211835945941133,0.29267371540365145,0.6472620268936579,102.90690707253141,45.44997950360871,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.8571428571428571,0.7777777777777778,0.6363636363636364,9,7,11,1,0.14285714285714285,"{'1': 6, '3': 1}",,,0.9459671479132601,0.10454205956493325,0.6616930122617817,4479,38365,2290,671666,0.3333333333333333,0.2727272727272727,0.3,3,0.3333333333333333,0.2727272727272727,0.3,3,0.2222222222222222,0.18181818181818182,0.2,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,shoulder-joint,2,2,0,tumor images only,0.0,0.0,0.0,0.0,163.60533881567204,94.94566557367898,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,0.0,0.0,0.0,2,0,3,0,0.0,{'1': 2},,,0.8575809550956619,0.0,0.0,0,28979,1323,174498,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
