above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_causal_score_max,classifier_causal_score_mean,classifier_causal_score_min,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
38,12,1.0,0.250175803899765,0.0,0.999990234375,0.18817490339279175,ground_truth,,,,0.057533785700798035,0.056845703125,btxrd-heuristic-000001,IMG000001.jpeg,0.056845703125,5821,320,masks/IMG000001.png,bae92861c65328ef0369aa52c1692942e68000bf98d7259d65f401c56eae2564,0|255,320,6,,54,18,0.05685546875,3,0,3,0.7656905055046082,0.33689406514167786,0.030781202018260956,val,ok,0.15,1,9,24,10,34
26,8,0.9999999403953552,0.1445322483778,0.0,0.999990234375,0.2064758539199829,ground_truth,,,,0.01732095144689083,0.043193359375,btxrd-heuristic-000006,IMG000010.jpeg,0.043193359375,4423,320,masks/IMG000010.png,19246da23f622f152e520979bdabf791d164286db203fc0e48c636af45b7528e,0|255,320,4,,36,12,0.043369140625,3,0,3,0.717553436756134,0.44527366757392883,0.019419876858592033,val,ok,0.15,1,8,15,6,21
29,8,1.0,0.226840540766716,0.0,0.999990234375,0.18875081837177277,ground_truth,,,,0.034104008227586746,0.09466796875,btxrd-heuristic-000009,IMG000017.jpeg,0.09466796875,9694,320,masks/IMG000017.png,413710320e75b4ce83bce51ca97ee6fd188f057fb8356a70e38b8c23fa37f691,0|255,320,4,,36,12,0.096201171875,3,0,3,0.7360329031944275,0.3784466087818146,0.006175949703902006,val,ok,0.15,1,8,15,10,25
20,6,1.0,0.1514820158481598,0.0,0.999990234375,0.16232728958129883,ground_truth,,,,0.9964253306388855,0.053828125,btxrd-heuristic-000009,IMG000018.jpeg,0.053828125,5512,320,masks/IMG000018.png,b651a7c7eca776f1bd0188bb6d5385efabd703404a9cccb79199bb8fc0071594,0|255,320,3,,27,9,0.054287109375,3,0,3,0.7225098609924316,0.5259108543395996,0.3132564127445221,val,ok,0.15,1,8,12,5,17
12,6,1.0,0.15487560629844666,0.0,0.999990234375,0.17787069082260132,ground_truth,,,,0.7169684171676636,0.053291015625,btxrd-heuristic-000017,IMG000033.jpeg,0.053291015625,5457,320,masks/IMG000033.png,a5561490834f6e8681657f4a4a377ae2633f8421be37dea07fe850da9247eecb,0|255,320,3,,27,9,0.053330078125,2,0,2,0.6143142580986023,0.36415067315101624,0.07203604280948639,val,ok,0.15,1,8,12,5,17
9,12,1.0,0.19236958026885986,0.0,0.999990234375,0.1805323213338852,ground_truth,,,,0.35655733942985535,0.05642578125,btxrd-heuristic-000017,IMG000034.jpeg,0.05642578125,5778,320,masks/IMG000034.png,e58b15d2ffa423abeefa0166034e87d4b18cb293bc00142492b841302e25608b,0|255,320,6,,54,18,0.0572265625,2,0,2,0.641518771648407,0.22306382656097412,0.0014999471604824066,val,ok,0.15,1,8,22,11,33
58,14,1.0,0.33347904682159424,0.0,0.999990234375,0.2199210822582245,ground_truth,,,,0.999995231628418,0.130380859375,btxrd-heuristic-000025,IMG000048.jpeg,0.130380859375,13351,320,masks/IMG000048.png,42f0bbd476056dbc774323f8444b8f106ae15d92671736f8302ade0e9ad0b75e,0|255,320,7,,63,21,0.130380859375,3,0,3,0.7512321472167969,0.3000897467136383,0.0020956327207386494,val,ok,0.15,1,8,19,15,34
32,16,1.0,0.21528135240077972,0.0,0.999990234375,0.16511420905590057,ground_truth,,,,0.9959636926651001,0.00556640625,btxrd-heuristic-000025,IMG000049.jpeg,0.00556640625,570,320,masks/IMG000049.png,eab4925d48d31384b2088074bf505b9e846c3e77738d8aeb5b9cb90ff36f8362,0|255,320,8,,72,24,0.00556640625,3,0,3,0.7519619464874268,0.2809194326400757,0.00015609066758770496,val,ok,0.149462890625,1,8,28,14,42
37,14,1.0,0.2672118544578552,0.0,0.999990234375,0.18341925740242004,ground_truth,,,,0.9997990727424622,0.113759765625,btxrd-heuristic-000026,IMG000050.jpeg,0.113759765625,11649,320,masks/IMG000050.png,2617c77d14139c6e07bc2973d17c83245afea06ba523c1eca8c66bbe5e05e47f,0|255,320,7,,63,21,0.11431640625,3,0,3,0.7958177924156189,0.42582768201828003,0.050001028925180435,val,ok,0.15,1,8,22,12,34
30,12,1.0,0.2002079337835312,0.0,0.999990234375,0.19307439029216766,ground_truth,,,,1.0,0.0798828125,btxrd-heuristic-000029,IMG000055.jpeg,0.0798828125,8180,320,masks/IMG000055.png,4cbbc1a00cc8fd9ba3e0f6e8242ff8b109efdfa4ba827a8889e8c0703401782b,0|255,320,6,,54,18,0.080107421875,3,0,3,0.729160726070404,0.35711121559143066,0.000993535970337689,val,ok,0.15,1,8,24,10,34
