subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.5207354177927963,0.4093898623971657,0.7209567227125941,0.48996413791442783,96.35744912034413,32.6363123244264,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,1.0,0.6,0.7272727272727273,40,24,33,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.979963670391369,0.7039407237918183,0.41451450766566844,78759,33124,111244,1620073,0.525,0.6363636363636364,0.5753424657534246,21,0.425,0.5151515151515151,0.4657534246575342,17,0.225,0.2727272727272727,0.2465753424657534,9,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.42166540422929916,0.3033438651008149,0.3487192373265513,0.7016450363007697,95.63386230263905,38.94951026097105,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,72,0,0,1.0,0.8888888888888888,0.8072289156626506,0.5590551181102362,83,67,127,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9557253013943803,0.2841006647758685,0.7102269215859229,126414,318548,51577,6876261,0.7228915662650602,0.47244094488188976,0.5714285714285714,60,0.5783132530120482,0.3779527559055118,0.45714285714285713,48,0.25301204819277107,0.16535433070866143,0.2,21,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.064656909319016,0.044260987835526566,0.05887231648186645,0.46156306350210563,128.1229518240524,71.58289617663709,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,93,1,1,0.9893617021276596,0.648936170212766,0.6571428571428571,0.31100478468899523,105,69,209,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9455947468033916,0.01663434353314736,0.5256806562834384,8843,522768,7979,9086010,0.1619047619047619,0.08133971291866028,0.10828025477707007,17,0.0761904761904762,0.03827751196172249,0.050955414012738856,8,0.047619047619047616,0.023923444976076555,0.03184713375796178,5,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.19725433742274856,0.1451251285143511,0.17973475733886038,0.5332630985494381,113.3547528070992,56.279221387948596,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,130,1,1,0.9923664122137404,0.7557251908396947,0.7077922077922078,0.4052044609665427,154,109,269,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.976939171899581,0.13951448987250992,0.6091866370288644,112638,694719,72261,29430782,0.33766233766233766,0.19330855018587362,0.2458628841607565,52,0.2597402597402597,0.14869888475836432,0.18912529550827423,40,0.12337662337662338,0.07063197026022305,0.08983451536643026,19,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.4099449714997873,0.2823240426114613,0.406502287938819,0.7459743427248353,83.88414291296512,33.113445391605225,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,0.967741935483871,0.7727272727272727,0.5932203389830508,44,34,59,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9730297341545244,0.3361887397441137,0.557629637354329,64167,126699,50904,4571030,0.7272727272727273,0.5423728813559322,0.6213592233009708,32,0.4772727272727273,0.3559322033898305,0.4077669902912621,21,0.20454545454545456,0.15254237288135594,0.17475728155339806,9,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.33010380826790486,0.25485779593690255,0.33964453218817,0.44282066049394453,145.4081997440119,77.55509624926195,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.6363636363636364,0.5666666666666667,0.3902439024390244,30,17,41,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9809434744823987,0.4123879290281826,0.4385710581524173,37211,53022,47635,2729332,0.4666666666666667,0.34146341463414637,0.39436619718309857,14,0.4,0.2926829268292683,0.3380281690140845,12,0.23333333333333334,0.17073170731707318,0.19718309859154928,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.006664762448824146,0.0033435231180741305,0.0047425474254742545,0.011207172590457892,87.9462599351531,47.762991087486824,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.9260150890941508,0.0047425474254742545,0.011207172590457892,35,7345,3088,91932,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.3671312965153915,0.26967530992444116,0.3279277838638017,0.6917660221255755,106.47659382066263,47.399052729496674,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.875,0.86,0.4943820224719101,50,43,89,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9563041129483867,0.25941006280431866,0.65885832063805,73522,209898,38068,4593712,0.74,0.4157303370786517,0.5323741007194245,37,0.56,0.3146067415730337,0.4028776978417266,28,0.28,0.15730337078651685,0.2014388489208633,14,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.01801563997992085,0.009417555427908418,0.00944066639390386,0.35827536580392544,123.81163283174958,70.16237319840363,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.5,0.46153846153846156,0.2222222222222222,13,6,27,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.947347566394409,0.011374247967790824,0.32789055604589584,743,64580,1523,1161954,0.07692307692307693,0.037037037037037035,0.05,1,0.07692307692307693,0.037037037037037035,0.05,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
