above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_causal_score_max,classifier_causal_score_mean,classifier_causal_score_min,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
38,12,1.0,0.2503867447376251,0.0,0.999990234375,0.18858903646469116,ground_truth,,,,0.057533785700798035,0.065322265625,btxrd-heuristic-000001,IMG000001.jpeg,0.065322265625,6689,320,masks/IMG000001.png,268a9d0a1e9915ac5976aa23c17022860cd613e716c4d4d9730da6d214a1d284,0|255,320,6,,54,18,0.0654296875,3,0,3,0.753842830657959,0.48431888222694397,0.15024007856845856,val,ok,0.15,1,9,24,10,34
26,8,1.0,0.14429476857185364,0.0,0.999990234375,0.20661742985248566,ground_truth,,,,0.01732095144689083,0.04302734375,btxrd-heuristic-000006,IMG000010.jpeg,0.04302734375,4406,320,masks/IMG000010.png,529174ae65fd371c7c86bed47c2c5e5092b0243432d7d2f71cecdd14dd1ac67d,0|255,320,4,,36,12,0.0432421875,3,0,3,0.7953249216079712,0.4925134479999542,0.019259275868535042,val,ok,0.15,1,8,15,6,21
30,8,1.0,0.22780601680278778,0.0,0.999990234375,0.18894855678081512,ground_truth,,,,0.034104008227586746,0.107685546875,btxrd-heuristic-000009,IMG000017.jpeg,0.107685546875,11027,320,masks/IMG000017.png,bbdfcfbde1cd6869a0e2b9ba9f7f3f85b2fde8ca0d49ffa995f9c73e67f471dd,0|255,320,4,,36,12,0.108134765625,3,0,3,0.7560973763465881,0.5306129455566406,0.21276052296161652,val,ok,0.15,1,8,14,10,24
20,6,1.0,0.15145742893218994,0.0,0.999990234375,0.16246166825294495,ground_truth,,,,0.9964253306388855,0.053828125,btxrd-heuristic-000009,IMG000018.jpeg,0.053828125,5512,320,masks/IMG000018.png,b651a7c7eca776f1bd0188bb6d5385efabd703404a9cccb79199bb8fc0071594,0|255,320,3,,27,9,0.054287109375,3,0,3,0.7134220600128174,0.5078491568565369,0.27913644909858704,val,ok,0.15,1,8,12,5,17
12,6,1.0,0.15476901829242706,0.0,0.999990234375,0.17742323875427246,ground_truth,,,,0.7169684171676636,0.050380859375,btxrd-heuristic-000017,IMG000033.jpeg,0.050380859375,5159,320,masks/IMG000033.png,6afbe2753f120ccbe541264f5ce30659c1c63afd527d79dd6c489e6bc23c1167,0|255,320,3,,27,9,0.05083984375,2,0,2,0.6951538920402527,0.4065561294555664,0.18927152454853058,val,ok,0.15,1,8,12,5,17
12,12,1.0,0.19333602488040924,0.0,0.999990234375,0.18068158626556396,ground_truth,,,,0.35655733942985535,0.167314453125,btxrd-heuristic-000017,IMG000034.jpeg,0.167314453125,17133,320,masks/IMG000034.png,6e67edd6219d4c7d1ffe405daf9bff4bbd6ea837a34205c6b985c6815c951a91,0|255,320,6,,54,18,0.167314453125,3,0,3,0.6723467111587524,0.26015418767929077,0.006131639238446951,val,ok,0.15,1,8,18,13,31
57,14,0.9999998807907104,0.3396596610546112,0.0,0.999990234375,0.21891510486602783,ground_truth,,,,0.999995231628418,0.12861328125,btxrd-heuristic-000025,IMG000048.jpeg,0.12861328125,13170,320,masks/IMG000048.png,4e43b64a0ebce1cae6f0e171c19d39aaab70322bb2add6d9da48221d633f78fe,0|255,320,7,,63,21,0.128642578125,3,0,3,0.8152923583984375,0.6338527798652649,0.15700910985469818,val,ok,0.15,1,8,17,14,31
41,18,0.9999999403953552,0.2163211852312088,0.0,0.999990234375,0.1658787727355957,ground_truth,,,,0.9959636926651001,0.00556640625,btxrd-heuristic-000025,IMG000049.jpeg,0.00556640625,570,320,masks/IMG000049.png,eab4925d48d31384b2088074bf505b9e846c3e77738d8aeb5b9cb90ff36f8362,0|255,320,9,,81,27,0.00556640625,3,0,3,0.7544224858283997,0.3918469250202179,0.0009635395254008472,val,ok,0.14931640625,1,8,29,17,46
36,14,1.0,0.26774024963378906,0.0,0.999990234375,0.18362729251384735,ground_truth,,,,0.9997990727424622,0.105029296875,btxrd-heuristic-000026,IMG000050.jpeg,0.105029296875,10755,320,masks/IMG000050.png,9dd6c5299a21a6ceb18f76402f78318840c7968de73488de1819902c5a148c55,0|255,320,7,,63,21,0.10568359375,3,0,3,0.7302589416503906,0.42512139678001404,0.0007348033832386136,val,ok,0.15,1,8,26,12,38
30,10,1.0,0.19901134073734283,0.0,0.999990234375,0.19286546111106873,ground_truth,,,,1.0,0.088095703125,btxrd-heuristic-000029,IMG000055.jpeg,0.088095703125,9021,320,masks/IMG000055.png,86e38d5906c3318a74aef8133b8a3260eca66a97eaa8612c86e1f86af7aa50d8,0|255,320,5,,45,15,0.088505859375,3,0,3,0.7563828229904175,0.4800815284252167,0.025666337460279465,val,ok,0.15,1,8,18,10,28
