subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.477488958725337,0.3655013396431063,0.6231947383847467,0.433365241568682,89.27089183818545,32.471374225353365,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.9444444444444444,0.525,0.5675675675675675,40,21,37,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9727322273147121,0.6022885677483105,0.35929432693168,68267,45079,121736,1608118,0.45,0.4864864864864865,0.4675324675324675,18,0.4,0.43243243243243246,0.4155844155844156,16,0.175,0.1891891891891892,0.18181818181818182,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.34554987938608506,0.24097981379385422,0.2580561026442291,0.586768959608358,105.2167684579884,53.90170115307418,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,72,0,0,1.0,0.75,0.6987951807228916,0.5,83,58,118,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9580758849887467,0.26114337643632407,0.5989684871706996,106611,301636,71380,6893173,0.6265060240963856,0.4406779661016949,0.5174129353233831,52,0.4819277108433735,0.3389830508474576,0.39800995024875624,40,0.12048192771084337,0.0847457627118644,0.09950248756218906,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.0876768623970465,0.06621120837258364,0.08667812126977387,0.38804956322888506,131.96222492127058,85.05108307459376,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,94,0,0,1.0,0.5319148936170213,0.5142857142857142,0.2760416666666667,105,54,192,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.954716198043081,0.016722332449008184,0.43990013078111995,7400,435122,9422,9173656,0.12380952380952381,0.06770833333333333,0.08754208754208755,13,0.09523809523809523,0.052083333333333336,0.06734006734006734,10,0.0761904761904762,0.041666666666666664,0.05387205387205387,8,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.2069528515977643,0.1539014678318196,0.1900304926110362,0.4766545516165624,109.481908399662,63.867859262593626,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,131,0,0,1.0,0.648854961832061,0.5909090909090909,0.35968379446640314,154,91,253,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9813627331874082,0.15473774539323137,0.5558872681842519,102783,561457,82116,29564044,0.2922077922077922,0.17786561264822134,0.22113022113022113,45,0.2597402597402597,0.15810276679841898,0.19656019656019655,40,0.11688311688311688,0.07114624505928854,0.08845208845208845,18,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.3745067629174258,0.2594845928555877,0.32689335876502423,0.618982247173277,103.68145274440253,46.84576786822385,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,0.8709677419354839,0.6818181818181818,0.6,44,30,50,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9707458646507706,0.30029682957501946,0.512561809665337,58981,137428,56090,4560301,0.6136363636363636,0.54,0.574468085106383,27,0.4090909090909091,0.36,0.3829787234042553,18,0.13636363636363635,0.12,0.1276595744680851,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.13615838311041994,0.08855952860294045,0.13261815576850836,0.222472839064181,183.21261314680615,120.05912094430958,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.4090909090909091,0.4,0.2727272727272727,30,12,44,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9701863961235702,0.1982680300775134,0.2417792235344035,20514,82952,64332,2699402,0.36666666666666664,0.25,0.2972972972972973,11,0.26666666666666666,0.18181818181818182,0.21621621621621623,8,0.03333333333333333,0.022727272727272728,0.02702702702702703,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,231.10505849442086,165.51848220796512,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,2,0,0.0,{'1': 1},,,0.9804284980408352,0.0,0.0,0,1943,3123,97334,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.3150654147461997,0.22892888478415682,0.26798254790213655,0.5323631377318403,116.13460426789737,61.16952564654387,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.75,0.76,0.43333333333333335,50,38,90,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9552549020424222,0.21184408345861905,0.5177166412761,57772,214938,53818,4588672,0.6,0.3333333333333333,0.42857142857142855,30,0.54,0.3,0.38571428571428573,27,0.14,0.07777777777777778,0.1,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.01778872939687441,0.009489431273642882,0.009533788443259396,0.27226313620394116,147.44892961966866,100.64473803596017,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.4166666666666667,0.38461538461538464,0.17857142857142858,13,5,28,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9532935899045604,0.009303934284479032,0.23742277140335394,538,57287,1728,1169247,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
