subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.3507052154564321,0.2559929107192263,0.4723296468874175,0.3335374075405177,145.6060130226709,63.179379470903704,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.8888888888888888,0.5,0.5641025641025641,40,20,39,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9674121062616371,0.47922133007161316,0.26085894314072394,97165,105591,275316,3134600,0.375,0.38461538461538464,0.379746835443038,15,0.3,0.3076923076923077,0.3037974683544304,12,0.1,0.10256410256410256,0.10126582278481013,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.35018725245984067,0.24210898451191623,0.29292803783201954,0.5762973119730005,136.52646525510252,62.28182548684657,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,71,1,1,0.9861111111111112,0.7916666666666666,0.7317073170731707,0.4883720930232558,82,60,129,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9649805590953154,0.27613248589889416,0.5398105324690955,188382,493834,160596,13607876,0.6463414634146342,0.4108527131782946,0.5023696682464455,53,0.47560975609756095,0.3023255813953488,0.3696682464454976,39,0.12195121951219512,0.07751937984496124,0.0947867298578199,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,37531648,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.11404884654207659,0.08695474641394686,0.10296359993358863,0.5012508629796578,155.14288828716772,93.11927719540773,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,93,1,1,0.9893617021276596,0.6595744680851063,0.6571428571428571,0.4,105,69,160,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9605364645043227,0.024198747195237715,0.5569287484136097,18431,743220,14663,18089862,0.18095238095238095,0.11875,0.14339622641509434,19,0.12380952380952381,0.08125,0.09811320754716982,13,0.10476190476190476,0.06875,0.0830188679245283,11,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.18479956626530528,0.13525097385958065,0.1703429964759651,0.4796997366529918,142.1074543895975,79.24365427234291,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,129,2,2,0.9847328244274809,0.7022900763358778,0.6558441558441559,0.43859649122807015,154,101,228,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9835422921419195,0.1243301304550382,0.3804934145211463,137973,971758,224643,58074010,0.3051948051948052,0.20614035087719298,0.24607329842931938,47,0.22727272727272727,0.15350877192982457,0.18324607329842932,35,0.1038961038961039,0.07017543859649122,0.08376963350785341,16,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.38849787340656594,0.2681572608706062,0.35806796992712625,0.6743426089548968,139.56551576201034,59.99468845530021,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,0.8709677419354839,0.6976744186046512,0.5535714285714286,43,30,56,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",1.0,0.0,0.9767717162265219,0.33514459527932083,0.47824640471268753,107813,213878,117621,8993776,0.627906976744186,0.48214285714285715,0.5454545454545454,27,0.3953488372093023,0.30357142857142855,0.3434343434343434,17,0.09302325581395349,0.07142857142857142,0.08080808080808081,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.2724813806327715,0.19012330809641778,0.2661950525247232,0.49406247903315725,185.64469424302504,97.13929436221596,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.7272727272727273,0.6,0.4090909090909091,30,18,44,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.971207962137523,0.27040766539188943,0.34949520429061337,58192,157009,108311,5296200,0.43333333333333335,0.29545454545454547,0.35135135135135137,13,0.4,0.2727272727272727,0.32432432432432434,12,0.16666666666666666,0.11363636363636363,0.13513513513513514,5,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.6361080344210616,0.466391804097951,0.6649447809048806,0.6096684631716479,24.677892006865083,14.192244306520927,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.9903330746578546,0.6649447809048806,0.6096684631716479,3733,1881,2390,192700,1.0,1.0,1.0,1,1.0,1.0,1.0,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.3249559384518841,0.2364802875976255,0.2925696586424187,0.5894731450922162,148.96463412933716,74.71294676398747,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.75,0.72,0.4470588235294118,50,36,85,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9642756390919944,0.24027936519409646,0.486019225848898,106376,336342,112496,9078578,0.62,0.36470588235294116,0.45925925925925926,31,0.46,0.27058823529411763,0.34074074074074073,23,0.18,0.10588235294117647,0.13333333333333333,9,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.045018088496649476,0.02839276841615315,0.02841278631312742,0.30381719937060564,181.65095147512696,114.59599741521201,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.5,0.46153846153846156,0.3181818181818182,13,6,22,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9656377315228867,0.02246047524377544,0.4242288779615557,1898,82606,2576,2321368,0.07692307692307693,0.045454545454545456,0.05714285714285714,1,0.07692307692307693,0.045454545454545456,0.05714285714285714,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot,7,7,0,tumor images only,0.009246647217706312,0.004735375045484212,0.0047380657716877194,0.2569563723806252,211.65580920420604,143.95827071808478,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.42857142857142855,0.375,0.25,8,3,12,1,0.14285714285714285,"{'1': 6, '2': 1}",,,0.9630183518490467,0.004519926142483459,0.043550778354336545,235,51757,5161,1347775,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot|tibia|fibula,1,1,0,tumor images only,0.10596841457578451,0.05594859948021946,0.05602544639629871,0.9760705289672544,87.49570732573466,45.2683079259084,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.9346806062728228,0.05602544639629871,0.9760705289672544,775,13058,19,186852,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
