above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_causal_score_max,classifier_causal_score_mean,classifier_causal_score_min,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
38,18,1.0,0.17671538889408112,0.0,0.9999950175382653,0.19733676314353943,ground_truth,,,,0.9226088523864746,0.03550502232142857,btxrd-heuristic-000001,IMG000001.jpeg,0.03550502232142857,7126,448,masks/IMG000001.png,b0c33f29b5d91669cd8392f978018f431b868329c9dce7cc56a3d52becf619c2,0|255,448,9,,81,27,0.03552993463010204,3,0,3,0.7318858504295349,0.3838871717453003,0.07944903522729874,val,ok,0.15000199298469388,1,9,32,15,47
26,6,0.9999999403953552,0.1036371961236,0.0,0.9999950175382653,0.17417965829372406,ground_truth,,,,0.05654885992407799,0.07196169483418367,btxrd-heuristic-000006,IMG000010.jpeg,0.07196169483418367,14443,448,masks/IMG000010.png,4cee864f033c708d0dcbde954da3d0c32de649eafc9e2610f36870ac0840d21a,0|255,448,3,,27,9,0.07246492346938775,3,0,3,0.6648531556129456,0.5028277039527893,0.37071558833122253,val,ok,0.15000199298469388,1,8,12,5,17
23,6,1.0,0.13529044389724731,0.0,0.9999950175382653,0.21103616058826447,ground_truth,,,,0.9675673842430115,0.11231465242346939,btxrd-heuristic-000009,IMG000017.jpeg,0.11231465242346939,22542,448,masks/IMG000017.png,feb82485897d47c113d16482392f03d36328c2c2a00f5b418ccb24be944fe53f,0|255,448,3,,27,9,0.11250896843112244,3,0,3,0.8084660172462463,0.5717058777809143,0.27591684460639954,val,ok,0.15000199298469388,1,8,12,5,17
19,8,1.0,0.14319682121276855,0.0,0.9999950175382653,0.1792597621679306,ground_truth,,,,0.9997091889381409,0.06350147480867346,btxrd-heuristic-000009,IMG000018.jpeg,0.06350147480867346,12745,448,masks/IMG000018.png,7221ea9fdbe1b2dc832e8fafe2574cdfdf83fe91eaa07e03a18ee10a3fed39fc,0|255,448,4,,36,12,0.06493642378826531,3,0,3,0.7272342443466187,0.3858250081539154,0.005016843788325787,val,ok,0.15000199298469388,1,8,16,6,22
11,6,1.0,0.08429887145757675,0.0,0.9999950175382653,0.14732131361961365,ground_truth,,,,0.972501814365387,0.05113998724489796,btxrd-heuristic-000017,IMG000033.jpeg,0.05113998724489796,10264,448,masks/IMG000033.png,dc496fab511052f7da03193d5f41c7f198275ec2d053ce6c65567d3129a56c74,0|255,448,3,,27,9,0.0523307955994898,3,0,3,0.5704846978187561,0.3750997483730316,0.06886617094278336,val,ok,0.15000199298469388,1,8,12,5,17
18,6,0.9999999403953552,0.12164372950792313,0.0,0.9999950175382653,0.18411031365394592,ground_truth,,,,0.9939365983009338,0.05539500956632653,btxrd-heuristic-000017,IMG000034.jpeg,0.05539500956632653,11118,448,masks/IMG000034.png,31d53240537a9caf3670bcf7a74230098a8b57d360b12062a7c3bcb3086cbd1c,0|255,448,3,,27,9,0.055499641262755105,3,0,3,0.6850455403327942,0.44050881266593933,0.002253571292385459,val,ok,0.15000199298469388,1,8,12,5,17
21,12,1.0,0.2067290097475052,0.0,0.9999950175382653,0.17355051636695862,ground_truth,,,,0.9995806813240051,0.0015196508290816326,btxrd-heuristic-000025,IMG000048.jpeg,0.0015196508290816326,305,448,masks/IMG000048.png,0b746f3dcec0603dd1e61fcd51d57399386b0742f277accc8e25e922cc8b1d0e,0|255,448,6,,54,18,0.0015196508290816326,3,0,3,0.7516350150108337,0.3443862497806549,0.0017093680799007416,val,ok,0.14870157047193877,1,8,20,14,34
12,16,0.9999999403953552,0.12597669661045074,0.0,0.9999800701530612,0.1415945291519165,ground_truth,,,,0.04314253106713295,0.0010114397321428572,btxrd-heuristic-000025,IMG000049.jpeg,0.0010114397321428572,203,448,masks/IMG000049.png,9fb2d7b58297baf4e548a1c4871d9e644d2704a52b336e3adb2213bcfbc593c7,0|255,448,8,,69,23,0.001220703125,3,0,3,0.751862108707428,0.2210182398557663,0.00299971760250628,val,ok,0.15000199298469388,1,8,27,17,44
23,16,1.0,0.1690051555633545,0.0,0.9999950175382653,0.16029095649719238,ground_truth,,,,0.903887152671814,0.031982421875,btxrd-heuristic-000026,IMG000050.jpeg,0.031982421875,6419,448,masks/IMG000050.png,099054b602e27d92c67a70497d99af3d12939310d7c6322c0a241d5ef462de3b,0|255,448,8,,72,24,0.032037228954081634,3,0,3,0.6919496655464172,0.29839324951171875,0.0050010900013148785,val,ok,0.14807876275510204,1,8,30,15,45
35,10,1.0,0.19858601689338684,0.0,0.9999950175382653,0.22675593197345734,ground_truth,,,,0.999992847442627,0.052500199298469385,btxrd-heuristic-000029,IMG000055.jpeg,0.052500199298469385,10537,448,masks/IMG000055.png,a3c469a88f32421f83e49de340136714d8c22512785ec94bf624f75d46ffaeed,0|255,448,5,,45,15,0.05284398915816327,3,0,3,0.758056640625,0.5367489457130432,0.023285439237952232,val,ok,0.15000199298469388,1,8,15,10,25
21,8,1.0,0.14833976328372955,0.0,0.9999950175382653,0.17943546175956726,ground_truth,,,,0.9999998807907104,0.0030891262755102043,btxrd-heuristic-000029,IMG000056.jpeg,0.0030891262755102043,620,448,masks/IMG000056.png,29b189b730859c8aa49b26685d5374e3ff39e6487c42f24f20f8981ec1387a7e,0|255,448,4,,36,12,0.003422951211734694,3,0,3,0.7420717477798462,0.406324177980423,0.0010190384928137064,val,ok,0.15000199298469388,1,8,13,7,20
49,16,1.0,0.21220698952674866,0.0,0.9999950175382653,0.1990574300289154,ground_truth,,,,0.9997385144233704,0.05991908482142857,btxrd-heuristic-000037,IMG000071.jpeg,0.05991908482142857,12026,448,masks/IMG000071.png,ecae70829f8ef8ec6ce47542d6fbe97e15ec69bab7aca1f0009b0438d3e1a10a,0|255,448,8,,72,24,0.06073122608418367,3,0,3,0.7443097233772278,0.48020628094673157,0.09755799174308777,val,ok,0.15000199298469388,1,8,23,15,38
34,12,1.0,0.18692053854465485,0.0,0.9999950175382653,0.18725229799747467,ground_truth,,,,0.9999713897705078,0.024907326211734693,btxrd-heuristic-000039,IMG000076.jpeg,0.024907326211734693,4999,448,masks/IMG000076.png,14be0af882b6c84e41ae08276382f8ffdbb4276c3c7a878df07d70095a87bfb4,0|255,448,6,,54,18,0.025191326530612245,3,0,3,0.7514024972915649,0.38722312450408936,0.01431700773537159,val,ok,0.15000199298469388,1,8,21,15,36
64,18,0.9999999403953552,0.28198474645614624,0.0,0.9999950175382653,0.17699749767780304,ground_truth,,,,0.9984900951385498,0.045619419642857144,btxrd-heuristic-000063,IMG000125.jpeg,0.045619419642857144,9156,448,masks/IMG000125.png,331f939d855a1d6530124ac5b3bc78d67aeb1ff5c606995f9bf630c69a172177,0|255,448,9,,81,27,0.04620236766581633,3,0,3,0.7269701361656189,0.49443069100379944,0.05057906359434128,val,ok,0.14478535554846939,1,8,30,21,51
38,14,1.0,0.2508121132850647,0.0,0.9999950175382653,0.1710648238658905,ground_truth,,,,0.9999998807907104,0.03880341198979592,btxrd-heuristic-000063,IMG000126.jpeg,0.03880341198979592,7788,448,masks/IMG000126.png,f76586541710b6e11e1115044583851541e081547c0bc7db60d03aca61e54916,0|255,448,7,,63,21,0.03912727200255102,3,0,3,0.6658856868743896,0.4030030071735382,0.038682736456394196,val,ok,0.14971301020408162,1,8,18,14,32
32,12,1.0,0.1767459362745285,0.0,0.9999950175382653,0.16353929042816162,ground_truth,,,,0.999996542930603,0.045654296875,btxrd-heuristic-000069,IMG000137.jpeg,0.045654296875,9163,448,masks/IMG000137.png,6fe0372ba3a663fcda44234fc0cf3039b9137796b06215e7d29ffe01e40cd6f2,0|255,448,6,,54,18,0.04645647321428571,3,0,3,0.6846089363098145,0.4126746654510498,0.05028880760073662,val,ok,0.15000199298469388,1,8,21,10,31
25,8,0.9999999403953552,0.187930628657341,0.0,0.9999950175382653,0.1853037029504776,ground_truth,,,,1.0,0.05124461894132653,btxrd-heuristic-000069,IMG000138.jpeg,0.05124461894132653,10285,448,masks/IMG000138.png,c54000ad19422b57f2beeabe36375c6218da90efed27bc46e28ec11780054212,0|255,448,4,,36,12,0.051344268176020405,3,0,3,0.6807478070259094,0.4360622763633728,0.0002755268360488117,val,ok,0.15000199298469388,1,8,13,6,19
35,16,1.0,0.19581519067287445,0.0,0.9999950175382653,0.1828281283378601,ground_truth,,,,0.9995169639587402,0.006377551020408163,btxrd-heuristic-000073,IMG000144.jpeg,0.006377551020408163,1280,448,masks/IMG000144.png,c7ee0db052f33a5b8e616f298eac92add74fbb64869153495373778a450572ed,0|255,448,8,,72,24,0.006377551020408163,3,0,3,0.7528521418571472,0.39433109760284424,0.0005393663886934519,val,ok,0.15000199298469388,1,8,25,14,39
3,14,1.0,0.14190857112407684,0.0,0.9999950175382653,0.13736535608768463,ground_truth,,,,0.9998263716697693,0.0428840481505102,btxrd-heuristic-000078,IMG000152.jpeg,0.0428840481505102,8607,448,masks/IMG000152.png,8158079b5f9f660f0b2f42f362c530345c145cef72c982994b3ae57d531b2397,0|255,448,7,,63,21,0.04307338169642857,1,0,1,0.4805406928062439,0.18440420925617218,0.0003369205805938691,val,ok,0.14765525350765307,1,8,24,11,35
