subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.39842437548642073,0.30695349247042053,0.5895732738383352,0.36285623303601694,118.51236697008464,52.30387947698427,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.8333333333333334,0.45,0.6206896551724138,40,18,29,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9807276446787648,0.6275614574444457,0.2825534333668416,53686,31861,136317,1621336,0.425,0.5862068965517241,0.4927536231884058,17,0.325,0.4482758620689655,0.37681159420289856,13,0.15,0.20689655172413793,0.17391304347826086,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.30977786544248676,0.21846886634465332,0.2853718808583751,0.47413175222959164,116.6898455796395,67.6035691793436,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,71,1,1,0.9861111111111112,0.6527777777777778,0.5903614457831325,0.45217391304347826,83,49,115,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9687952800414855,0.2705344146392181,0.4677989336539488,83264,224512,94727,6970297,0.5180722891566265,0.3739130434782609,0.43434343434343436,43,0.4578313253012048,0.33043478260869563,0.3838383838383838,38,0.12048192771084337,0.08695652173913043,0.10101010101010101,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.08242830435133781,0.06204056431733035,0.08644558456425136,0.305384276854135,130.57789910493454,89.99262960860048,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,93,1,1,0.9893617021276596,0.425531914893617,0.41904761904761906,0.273972602739726,105,44,146,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9640635885229111,0.01451521300490024,0.3023421709665914,5086,345305,11736,9263473,0.11428571428571428,0.0821917808219178,0.09561752988047809,12,0.09523809523809523,0.0684931506849315,0.0796812749003984,10,0.05714285714285714,0.0410958904109589,0.04780876494023904,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.18719628560723642,0.13856982900283338,0.19997036972939908,0.3861660533333869,115.13595159168027,70.27774724610651,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,130,1,1,0.9923664122137404,0.5648854961832062,0.5194805194805194,0.36666666666666664,154,80,210,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9847896969414716,0.15174189678759392,0.44331770317849206,81969,458218,102930,29667283,0.2792207792207792,0.20476190476190476,0.23626373626373626,43,0.24025974025974026,0.1761904761904762,0.2032967032967033,37,0.09740259740259741,0.07142857142857142,0.08241758241758242,15,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.34147260222327236,0.24379210112171296,0.3511297135604649,0.5021285248901347,109.33459875568663,56.66020096990999,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,30,1,1,0.967741935483871,0.7419354838709677,0.5227272727272727,0.5102040816326531,44,23,49,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9781549765854948,0.3097747496283941,0.40024854220437817,46057,102622,69014,4595107,0.4772727272727273,0.42857142857142855,0.45161290322580644,21,0.4090909090909091,0.3673469387755102,0.3870967741935484,18,0.13636363636363635,0.12244897959183673,0.12903225806451613,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.09616098164413431,0.0625696160439723,0.10017453386395361,0.146421960054533,196.1015722175365,148.85111931035507,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.22727272727272727,0.26666666666666666,0.25806451612903225,30,8,31,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9853225003001056,0.2554331971995333,0.1651226928788629,14010,40838,70836,2741516,0.26666666666666666,0.25806451612903225,0.26229508196721313,8,0.2,0.1935483870967742,0.19672131147540983,6,0.03333333333333333,0.03225806451612903,0.03278688524590164,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,175.14422581118194,107.49101018252739,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,2,0,0.0,{'1': 1},,,0.957784783988235,0.0,0.0,0,4191,3123,95086,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.23051856027309015,0.17273805814064644,0.2370207715982243,0.34896690227946364,137.33874093450405,89.24922485644407,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,47,1,1,0.9791666666666666,0.4791666666666667,0.48,0.36764705882352944,50,24,68,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9711720976515579,0.21689070355311002,0.34369567165516623,38353,138478,73237,4665132,0.38,0.27941176470588236,0.3220338983050847,19,0.36,0.2647058823529412,0.3050847457627119,18,0.16,0.11764705882352941,0.13559322033898305,8,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.013898881450699278,0.007396110504575788,0.0074004776161443525,0.21291128687824432,152.6774589819626,103.54499880591773,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.3333333333333333,0.3076923076923077,0.2,13,4,20,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9511648270655358,0.00855747744765373,0.22815533980582525,517,59898,1749,1166636,0.07692307692307693,0.05,0.06060606060606061,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot,7,7,0,tumor images only,0.0,0.0,0.0,0.0,170.34877792892925,123.78702446499882,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.0,0.0,0.0,8,0,10,1,0.14285714285714285,"{'1': 6, '2': 1}",,,0.9641447709315385,0.0,0.0,0,25603,2734,688463,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot|tibia|fibula,1,1,0,tumor images only,0.372,0.2285012285012285,0.9587628865979382,0.23076923076923078,13.0,5.017310748949819,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.999960783160289,0.9587628865979382,0.23076923076923078,93,4,310,101993,1.0,1.0,1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hand,8,8,0,tumor images only,0.16657611762154778,0.12479958507889909,0.1392266938755252,0.3349557506342015,126.65299246026038,97.30655165392716,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,8,0,0,1.0,0.375,0.375,0.17647058823529413,8,3,17,0,0.0,{'1': 8},,,0.9785533796979415,0.3045082624739291,0.7107948693942515,7592,17340,3089,791179,0.375,0.17647058823529413,0.24,3,0.375,0.17647058823529413,0.24,3,0.125,0.058823529411764705,0.08,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip bone,10,10,0,tumor images only,0.08903667614428727,0.058996826137394695,0.10696334863508175,0.07839401574211188,179.58947742343648,118.11475328645649,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,10,0,0,1.0,0.2,0.2,0.09090909090909091,10,2,22,0,0.0,{'1': 10},,,0.9745247684600296,0.20639185686286907,0.16943918199984428,6529,25105,32004,960362,0.2,0.09090909090909091,0.125,2,0.1,0.045454545454545456,0.0625,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip-joint,2,2,0,tumor images only,0.8784575076266692,0.7912189878216981,0.8748326030558279,0.8851907272918917,27.60861346254327,6.242790050173862,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,2,0,0.0,{'1': 2},,,0.9884646543839017,0.8426381461675579,0.8770315398886828,11818,2207,1657,189118,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,1.0,1.0,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,humerus,25,25,0,tumor images only,0.37750154628958227,0.2687378018046108,0.3466872466158445,0.5797999161568613,88.75645686320199,52.00235364743713,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,25,0,0,1.0,0.72,0.72,0.45,25,18,40,0,0.0,{'1': 25},,,0.965174176805702,0.2696990657788371,0.7399565565336687,32362,87631,11373,2428634,0.68,0.425,0.5230769230769231,17,0.64,0.4,0.49230769230769234,16,0.16,0.1,0.12307692307692308,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,knee-joint,2,2,0,tumor images only,0.5072247786951027,0.42075031910331073,0.5373244930846771,0.5388598791738866,49.644294171075835,13.761251976330783,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,3,0,0.0,{'1': 2},,,0.9636561192574841,0.4039966694421316,0.6182466870540265,4852,7158,2996,189794,1.0,0.6666666666666666,0.8,2,0.5,0.3333333333333333,0.4,1,0.5,0.3333333333333333,0.4,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
