above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
38,12,1.0,0.13502569496631622,0.0,0.999990234375,0.18541252613067627,ground_truth,0.057533785700798035,0.001396484375,btxrd-heuristic-000001,IMG000001.jpeg,0.001396484375,143,320,masks/IMG000001.png,3669e8ceb7e04b461cd5e5f88c10ef2c231f6282b1f970fd154129eec73c1987,0|255,320,6,,54,18,0.001396484375,3,0,3,0.7522128224372864,0.4708648920059204,0.14111386239528656,val,ok,0.15,1,9,24,11,35
19,6,1.0,0.0944800153374672,0.0,0.999990234375,0.16926229000091553,ground_truth,0.01732095144689083,0.03791015625,btxrd-heuristic-000006,IMG000010.jpeg,0.03791015625,3882,320,masks/IMG000010.png,4882d4509bdc442dd7a55bd5baccd72a3cee84ad817641cb465c48cfc9ed8417,0|255,320,3,,27,9,0.03791015625,3,0,3,0.7054921984672546,0.46226269006729126,0.14380615949630737,val,ok,0.15,1,8,12,5,17
45,14,1.0,0.19080306589603424,0.0,0.999990234375,0.20708994567394257,ground_truth,0.034104008227586746,0.061064453125,btxrd-heuristic-000009,IMG000017.jpeg,0.061064453125,6253,320,masks/IMG000017.png,40d7e33b4cadce89d85c33e63d397d68d98dc3f9515305a5b63fd5048c3514b6,0|255,320,7,,63,21,0.061181640625,3,0,3,0.7731428146362305,0.48593592643737793,0.019334129989147186,val,ok,0.15,1,8,28,11,39
23,12,1.0,0.1890224814414978,0.0,0.999990234375,0.17343604564666748,ground_truth,0.9964253306388855,0.072802734375,btxrd-heuristic-000009,IMG000018.jpeg,0.072802734375,7455,320,masks/IMG000018.png,d45be76047c3c608f8ee9b6d145a8849b1a536f76e890d21e16257a574fe0197,0|255,320,6,,54,18,0.07359375,3,0,3,0.7050301432609558,0.2851410210132599,0.0004282484878785908,val,ok,0.15,1,8,21,11,32
12,6,1.0,0.09422275424003601,0.0,0.999990234375,0.15642093122005463,ground_truth,0.7169684171676636,0.059755859375,btxrd-heuristic-000017,IMG000033.jpeg,0.059755859375,6119,320,masks/IMG000033.png,1ffc0648318d06ff8c30b1c903256834864712e4dbdc10f05ae06b458b8eff58,0|255,320,3,,27,9,0.060439453125,3,0,3,0.6372833251953125,0.39503955841064453,0.14042605459690094,val,ok,0.15,1,8,12,5,17
21,10,1.0,0.137968972325325,0.0,0.999990234375,0.1756543219089508,ground_truth,0.35655733942985535,0.0427734375,btxrd-heuristic-000017,IMG000034.jpeg,0.0427734375,4380,320,masks/IMG000034.png,6175675a4d0360458b7ae85effc3110267b33e9a1373d9e909a71234c14d022c,0|255,320,5,,45,15,0.04322265625,3,0,3,0.7446216940879822,0.32602599263191223,0.00029124401044100523,val,ok,0.15,1,8,16,7,23
36,16,1.0,0.2210731953382492,0.0,0.999990234375,0.20413966476917267,ground_truth,0.999995231628418,0.0412109375,btxrd-heuristic-000025,IMG000048.jpeg,0.0412109375,4220,320,masks/IMG000048.png,a162011c0d9fa0513da898dcab6524d8a2bb7ac21921d13dcb0c228e82eae290,0|255,320,8,,72,24,0.0415625,3,0,3,0.7642338871955872,0.4370137155056,0.033020492643117905,val,ok,0.15,1,8,27,13,40
32,14,1.0,0.16533447802066803,0.0,0.999990234375,0.1757015734910965,ground_truth,0.9959636926651001,0.00107421875,btxrd-heuristic-000025,IMG000049.jpeg,0.00107421875,110,320,masks/IMG000049.png,cc03d68037cda9192192618aa906df283b576bc87be7c2ce881a8f8f77449f23,0|255,320,7,,63,21,0.00134765625,3,0,3,0.751665472984314,0.36072561144828796,0.016758618876338005,val,ok,0.1498828125,1,8,22,10,32
67,18,1.0,0.3012426793575287,0.0,0.999990234375,0.24940122663974762,ground_truth,0.9997990727424622,0.112529296875,btxrd-heuristic-000026,IMG000050.jpeg,0.112529296875,11523,320,masks/IMG000050.png,189f355b06f41aa3b4b8985ee8f5e4aad85fd0fd04ee60e91cc57d8250361330,0|255,320,9,,81,27,0.112607421875,3,0,3,0.7539412379264832,0.5851368308067322,0.22659870982170105,val,ok,0.1363671875,1,8,23,15,38
35,14,1.0,0.1680917888879776,0.0,0.999990234375,0.18681392073631287,ground_truth,1.0,0.045146484375,btxrd-heuristic-000029,IMG000055.jpeg,0.045146484375,4623,320,masks/IMG000055.png,f8926daddf3e834c4b158b705c98a30940b39d908ce369c544c35d9c77d39dff,0|255,320,7,,63,21,0.045263671875,3,0,3,0.731817364692688,0.44355839490890503,0.029044099152088165,val,ok,0.15,1,8,19,11,30
