subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.3563517113879239,0.2730974263386432,0.5493101539886894,0.3188037180091267,124.24447489288438,54.83201448346761,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,17,1,1,0.9444444444444444,0.7777777777777778,0.425,0.6071428571428571,40,17,28,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9818793525514503,0.619013099325957,0.2561696394267459,48673,29957,141330,1623240,0.4,0.5714285714285714,0.47058823529411764,16,0.3,0.42857142857142855,0.35294117647058826,12,0.125,0.17857142857142858,0.14705882352941177,5,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.25408529279145214,0.18088163231352475,0.24087312111874987,0.39101351921821004,113.08068310463813,68.13734105425267,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,58,14,14,0.8055555555555556,0.5277777777777778,0.4819277108433735,0.44565217391304346,83,40,92,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9766873589000069,0.2896799684923327,0.3843059480535533,68403,167730,109588,7027079,0.42168674698795183,0.3804347826086957,0.4,35,0.37349397590361444,0.33695652173913043,0.35428571428571426,31,0.12048192771084337,0.10869565217391304,0.11428571428571428,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,51,0,0.0,{},0.8181818181818182,0.18181818181818182,0.9932455819685829,0.0,,0,129339,0,19019461,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.07075372938168523,0.05228133220096407,0.07506790393689303,0.25155949341278383,124.37421155316777,82.37465992376005,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,65,29,29,0.6914893617021277,0.3404255319148936,0.3333333333333333,0.32,105,35,100,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9762526514818013,0.01869014187477691,0.2583521578884794,4346,228183,12476,9380595,0.10476190476190476,0.11,0.1073170731707317,11,0.08571428571428572,0.09,0.08780487804878048,9,0.047619047619047616,0.05,0.04878048780487805,5,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.16836941406604786,0.12457615913695512,0.18331132136183145,0.33504187927317697,105.42338669365978,59.919179382596035,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,99,32,32,0.7557251908396947,0.48854961832061067,0.44805194805194803,0.34536082474226804,154,69,194,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.8606060606060606,0.1393939393939394,0.9855145645544617,0.1481874771860854,0.41058091174100453,75916,436381,108983,29689120,0.2532467532467532,0.20103092783505155,0.22413793103448276,39,0.21428571428571427,0.17010309278350516,0.1896551724137931,33,0.09090909090909091,0.07216494845360824,0.08045977011494253,14,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.23185121319427002,0.16637638798875712,0.2602970199679821,0.33633107686100544,105.4741880392541,54.302080984483574,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,19,12,12,0.6129032258064516,0.4838709677419355,0.3409090909090909,0.40540540540540543,44,15,37,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",0.6875,0.3125,0.9848405474219565,0.3066468051133764,0.2737092751431725,31496,71215,83575,4626514,0.3409090909090909,0.40540540540540543,0.37037037037037035,15,0.29545454545454547,0.35135135135135137,0.32098765432098764,13,0.11363636363636363,0.13513513513513514,0.12345679012345678,5,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.09616098164413431,0.0625696160439723,0.10017453386395361,0.146421960054533,196.1015722175365,148.85111931035507,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.22727272727272727,0.26666666666666666,0.2,30,8,40,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.0,1.0,0.9828875117975642,0.2273501776933937,0.1651226928788629,14010,47613,70836,2734741,0.26666666666666666,0.2,0.22857142857142856,8,0.2,0.15,0.17142857142857143,6,0.03333333333333333,0.025,0.02857142857142857,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,1,1,0.0,0.0,0.0,0.0,1,0,0,0,0.0,{'1': 1},,,1.0,,0.0,0,0,3123,99277,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.20085152648251683,0.14881151671668585,0.20736646737757217,0.31860641169279486,131.90160941233043,87.6687665511777,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,42,6,6,0.875,0.4166666666666667,0.42,0.3728813559322034,50,21,59,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9738775629162234,0.22102962995151687,0.31906980912268124,35605,125482,75985,4678128,0.34,0.288135593220339,0.3119266055045872,17,0.32,0.2711864406779661,0.29357798165137616,16,0.14,0.11864406779661017,0.12844036697247707,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.011692325635642641,0.006287237378488554,0.006287237378488554,0.08333333333333333,149.77838001935916,87.21355610786082,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,4,8,8,0.3333333333333333,0.08333333333333333,0.07692307692307693,0.125,13,1,8,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.988543326153209,0.027745104822528194,0.176963812886143,401,14052,1865,1212482,0.07692307692307693,0.125,0.09523809523809523,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot,7,7,0,tumor images only,0.0,0.0,0.0,0.0,140.73732401756888,104.81066936127948,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,5,5,0.2857142857142857,0.0,0.0,0.0,8,0,3,1,0.14285714285714285,"{'1': 6, '2': 1}",,,0.996626362269034,0.0,0.0,0,2409,2734,711657,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot|tibia|fibula,1,1,0,tumor images only,0.372,0.2285012285012285,0.9587628865979382,0.23076923076923078,13.0,5.017310748949819,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.999960783160289,0.9587628865979382,0.23076923076923078,93,4,310,101993,1.0,1.0,1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hand,8,8,0,tumor images only,0.004070455891059799,0.002068913632260006,0.0020732810615199035,0.11088709677419355,170.87764917483207,134.67270838126439,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,4,4,4,0.5,0.125,0.125,0.1,8,1,10,0,0.0,{'1': 8},,,0.9905629923353687,0.0071567989590110605,0.005149330587023687,55,7630,10626,800889,0.125,0.1,0.1111111111111111,1,0.125,0.1,0.1111111111111111,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip bone,10,10,0,tumor images only,0.08903667614428727,0.058996826137394695,0.10696334863508175,0.07839401574211188,172.0247135064758,109.14689766736498,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,9,1,1,0.9,0.2,0.2,0.09523809523809523,10,2,21,0,0.0,{'1': 10},,,0.9746698773271961,0.2073290781493125,0.16943918199984428,6529,24962,32004,960505,0.2,0.09523809523809523,0.12903225806451613,2,0.1,0.047619047619047616,0.06451612903225806,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip-joint,2,2,0,tumor images only,0.8784575076266692,0.7912189878216981,0.8748326030558279,0.8851907272918917,27.60861346254327,6.242790050173862,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,2,0,0.0,{'1': 2},,,0.9884646543839017,0.8426381461675579,0.8770315398886828,11818,2207,1657,189118,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,1.0,1.0,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,humerus,25,25,0,tumor images only,0.31039601157598173,0.22316610237963275,0.28963819106698896,0.4689759444713063,75.92553987288898,36.78204336547173,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,15,10,10,0.6,0.56,0.56,0.5833333333333334,25,14,24,0,0.0,{'1': 25},,,0.9838415270251742,0.39647315530882155,0.6107236766891506,26710,40659,17025,2475606,0.56,0.5833333333333334,0.5714285714285714,14,0.52,0.5416666666666666,0.5306122448979592,13,0.16,0.16666666666666666,0.16326530612244897,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,knee-joint,2,2,0,tumor images only,0.5072247786951027,0.42075031910331073,0.5373244930846771,0.5388598791738866,49.644294171075835,13.761251976330783,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,3,0,0.0,{'1': 2},,,0.9636561192574841,0.4039966694421316,0.6182466870540265,4852,7158,2996,189794,1.0,0.6666666666666666,0.8,2,0.5,0.3333333333333333,0.4,1,0.5,0.3333333333333333,0.4,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
