above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
0,0,,,,,,predicted,0.057533785700798035,0.0,btxrd-heuristic-000001,IMG000001.jpeg,0.0,0,320,masks/IMG000001.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,0,classifier_predicted_normal_or_below_confidence,0,0,0.0,0,0,0,,,,val,empty_by_image_gate,0.0,1,9,0,0,0
0,0,,,,,,predicted,0.01732095144689083,0.0,btxrd-heuristic-000006,IMG000010.jpeg,0.0,0,320,masks/IMG000010.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,0,classifier_predicted_normal_or_below_confidence,0,0,0.0,0,0,0,,,,val,empty_by_image_gate,0.0,1,8,0,0,0
0,0,,,,,,predicted,0.034104008227586746,0.0,btxrd-heuristic-000009,IMG000017.jpeg,0.0,0,320,masks/IMG000017.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,0,classifier_predicted_normal_or_below_confidence,0,0,0.0,0,0,0,,,,val,empty_by_image_gate,0.0,1,8,0,0,0
23,12,1.0,0.1890224665403366,0.0,0.999990234375,0.1734360307455063,predicted,0.9964253306388855,0.072802734375,btxrd-heuristic-000009,IMG000018.jpeg,0.072802734375,7455,320,masks/IMG000018.png,d45be76047c3c608f8ee9b6d145a8849b1a536f76e890d21e16257a574fe0197,0|255,320,6,,54,18,0.07359375,3,0,3,0.7050301432609558,0.2851410210132599,0.0004282484878785908,val,ok,0.15,1,8,21,11,32
12,6,1.0,0.09422275424003601,0.0,0.999990234375,0.15642093122005463,predicted,0.7169684171676636,0.059755859375,btxrd-heuristic-000017,IMG000033.jpeg,0.059755859375,6119,320,masks/IMG000033.png,1ffc0648318d06ff8c30b1c903256834864712e4dbdc10f05ae06b458b8eff58,0|255,320,3,,27,9,0.060439453125,3,0,3,0.6372833251953125,0.39503955841064453,0.14042605459690094,val,ok,0.15,1,8,12,5,17
0,0,,,,,,predicted,0.35655733942985535,0.0,btxrd-heuristic-000017,IMG000034.jpeg,0.0,0,320,masks/IMG000034.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,0,classifier_predicted_normal_or_below_confidence,0,0,0.0,0,0,0,,,,val,empty_by_image_gate,0.0,1,8,0,0,0
36,16,1.0,0.2210731953382492,0.0,0.999990234375,0.20413964986801147,predicted,0.999995231628418,0.0412109375,btxrd-heuristic-000025,IMG000048.jpeg,0.0412109375,4220,320,masks/IMG000048.png,a162011c0d9fa0513da898dcab6524d8a2bb7ac21921d13dcb0c228e82eae290,0|255,320,8,,72,24,0.0415625,3,0,3,0.7642338871955872,0.4370137155056,0.033020492643117905,val,ok,0.15,1,8,27,13,40
32,14,1.0,0.16533447802066803,0.0,0.999990234375,0.1757015734910965,predicted,0.9959636926651001,0.00107421875,btxrd-heuristic-000025,IMG000049.jpeg,0.00107421875,110,320,masks/IMG000049.png,cc03d68037cda9192192618aa906df283b576bc87be7c2ce881a8f8f77449f23,0|255,320,7,,63,21,0.00134765625,3,0,3,0.751665472984314,0.36072561144828796,0.016758618876338005,val,ok,0.1498828125,1,8,22,10,32
67,18,1.0,0.3012426793575287,0.0,0.999990234375,0.24940125644207,predicted,0.9997990727424622,0.112529296875,btxrd-heuristic-000026,IMG000050.jpeg,0.112529296875,11523,320,masks/IMG000050.png,189f355b06f41aa3b4b8985ee8f5e4aad85fd0fd04ee60e91cc57d8250361330,0|255,320,9,,81,27,0.112607421875,3,0,3,0.7539412379264832,0.5851368308067322,0.22659870982170105,val,ok,0.1363671875,1,8,23,15,38
35,14,1.0,0.1680917888879776,0.0,0.999990234375,0.18681392073631287,predicted,1.0,0.045146484375,btxrd-heuristic-000029,IMG000055.jpeg,0.045146484375,4623,320,masks/IMG000055.png,f8926daddf3e834c4b158b705c98a30940b39d908ce369c544c35d9c77d39dff,0|255,320,7,,63,21,0.045263671875,3,0,3,0.731817364692688,0.44355839490890503,0.029044099152088165,val,ok,0.15,1,8,19,11,30
33,8,1.0,0.14838942885398865,0.0,0.999990234375,0.19743750989437103,predicted,1.0,0.068671875,btxrd-heuristic-000029,IMG000056.jpeg,0.068671875,7032,320,masks/IMG000056.png,7e029d4495bcb93fa9224c86775d7fec9f88dbb9f25c8f864912578ad08fe880,0|255,320,4,,36,12,0.07060546875,3,0,3,0.7660556435585022,0.5777709484100342,0.10797861218452454,val,ok,0.15,1,8,14,6,20
39,18,1.0,0.19331495463848114,0.0,0.9999609375,0.20389850437641144,predicted,0.9966188669204712,0.037783203125,btxrd-heuristic-000037,IMG000071.jpeg,0.037783203125,3869,320,masks/IMG000071.png,75bacda25e802224fa72ad72094029841e7e9d8bb6064eee2576918d0a78d8d2,0|255,320,9,,81,27,0.03779296875,3,0,3,0.7516613602638245,0.3958851993083954,0.057006653398275375,val,ok,0.15,1,8,25,14,39
24,6,1.0,0.12279075384140015,0.0,0.999990234375,0.17189493775367737,predicted,1.0,0.00244140625,btxrd-heuristic-000039,IMG000076.jpeg,0.00244140625,250,320,masks/IMG000076.png,587a3257b43dddfb1fbe8cf2c146ad12747add447782402195cb78b96c14602f,0|255,320,3,,27,9,0.002470703125,3,0,3,0.7540510296821594,0.5603532195091248,0.33643078804016113,val,ok,0.15,1,8,12,5,17
16,6,1.0,0.11634956300258636,0.0,0.999990234375,0.18377339839935303,predicted,1.0,0.113486328125,btxrd-heuristic-000063,IMG000125.jpeg,0.113486328125,11621,320,masks/IMG000125.png,970a32e5fdcbfc05c9d086bcbf056fb7b20f69825015101a0083c279ad696c3f,0|255,320,3,,27,9,0.11482421875,3,0,3,0.6887181997299194,0.45693889260292053,0.1752602756023407,val,ok,0.15001953125,1,8,12,5,17
10,6,1.0,0.1384734809398651,0.0,0.999990234375,0.16641025245189667,predicted,1.0,0.129609375,btxrd-heuristic-000063,IMG000126.jpeg,0.129609375,13272,320,masks/IMG000126.png,6215a62a034eca12bc4ecaec5dc08ff2e4b29d5ab00e2265c533dc54f157aa53,0|255,320,3,,27,9,0.129638671875,3,0,3,0.560198962688446,0.34588301181793213,0.02523353323340416,val,ok,0.15,1,8,12,5,17
19,16,1.0,0.2136058807373047,0.0,0.999990234375,0.17822295427322388,predicted,1.0,0.0022265625,btxrd-heuristic-000069,IMG000137.jpeg,0.0022265625,228,320,masks/IMG000137.png,6a6014a66536478c2197c60d8201afd91f20f350ab3a38b637c83424c972ef24,0|255,320,8,,69,23,0.0022265625,3,0,3,0.7510032057762146,0.35559889674186707,0.04238348454236984,val,ok,0.149736328125,1,8,18,12,30
14,6,1.0,0.14174646139144897,0.0,0.999990234375,0.15878774225711823,predicted,1.0,0.05505859375,btxrd-heuristic-000069,IMG000138.jpeg,0.05505859375,5638,320,masks/IMG000138.png,095f5b848565cda6c608d1294522f6b70e29f98a4137e095dff5cb62952fc8cb,0|255,320,3,,27,9,0.05505859375,3,0,3,0.574669361114502,0.4081243574619293,0.10406635701656342,val,ok,0.15,1,8,12,5,17
42,12,1.0,0.23837660253047943,0.0,0.999990234375,0.2123887538909912,predicted,0.999988317489624,0.048349609375,btxrd-heuristic-000073,IMG000144.jpeg,0.048349609375,4951,320,masks/IMG000144.png,db37e36e759ce09ee82358743ad094c9fa18845e80dd0eb8d8ec0a3caef6f854,0|255,320,6,,54,18,0.048349609375,3,0,3,0.7466074824333191,0.5179202556610107,0.11229812353849411,val,ok,0.15,1,8,24,10,34
20,16,1.0,0.1913442611694336,0.0,0.999990234375,0.1465054452419281,predicted,0.9999967813491821,0.04791015625,btxrd-heuristic-000078,IMG000152.jpeg,0.04791015625,4906,320,masks/IMG000152.png,5328b0db8112126a47b7548723ebf559c3c8d774de452443185de71dbbf83dab,0|255,320,8,,72,24,0.04791015625,3,0,3,0.5690502524375916,0.2101125866174698,0.0010600726818665862,val,ok,0.148515625,1,8,29,13,42
27,8,1.0,0.21218784153461456,0.0,0.999990234375,0.1920051872730255,predicted,0.9999996423721313,0.00107421875,btxrd-heuristic-000082,IMG000160.jpeg,0.00107421875,110,320,masks/IMG000160.png,f50ad26ee228f323cdbc385ff718e848f0ef66801d1aae1adb8e676fd03897fb,0|255,320,4,,36,12,0.00107421875,3,0,3,0.7511287331581116,0.5393288135528564,0.27076050639152527,val,ok,0.15,1,8,16,10,26
54,12,1.0,0.2487083375453949,0.0,0.9999609375,0.2042285054922104,predicted,0.9999809265136719,0.032080078125,btxrd-heuristic-000082,IMG000161.jpeg,0.032080078125,3285,320,masks/IMG000161.png,74bb391e7716a4450e4536270edf8969ad0389e7c0ad12b526caa77a65e3dec3,0|255,320,6,,54,18,0.03212890625,3,0,3,0.7539567947387695,0.6296531558036804,0.41075047850608826,val,ok,0.15,1,8,24,10,34
17,6,1.0,0.1352350413799286,0.0,0.999990234375,0.15425291657447815,predicted,0.9999994039535522,0.047548828125,btxrd-heuristic-000098,IMG000200.jpeg,0.047548828125,4869,320,masks/IMG000200.png,25959f7f80240c5ea8b6e3549dc8e0c1a6edac7628b464515d304a8fd47bc05a,0|255,320,3,,27,9,0.047587890625,3,0,3,0.5003548264503479,0.409919410943985,0.09867285192012787,val,ok,0.15,1,8,12,5,17
21,6,1.0,0.13408195972442627,0.0,0.999990234375,0.16332004964351654,predicted,0.9999960660934448,0.029619140625,btxrd-heuristic-000098,IMG000201.jpeg,0.029619140625,3033,320,masks/IMG000201.png,f38742842a57144d3fb21cf1e00583bc842ddb994bbd13ef5fec84d3bf42aa47,0|255,320,3,,27,9,0.0297265625,3,0,3,0.6758091449737549,0.47718900442123413,0.16377507150173187,val,ok,0.15,1,8,12,5,17
25,10,1.0,0.19296085834503174,0.0,0.999990234375,0.180034339427948,predicted,1.0,0.03576171875,btxrd-heuristic-000099,IMG000202.jpeg,0.03576171875,3662,320,masks/IMG000202.png,5177010a1022149aa2cf8d7c4aaeed9edb5386cf2205d8f5121cb1760b3acb68,0|255,320,5,,45,15,0.035810546875,3,0,3,0.7804456353187561,0.37306466698646545,0.00021505451877601445,val,ok,0.15,1,8,17,8,25
0,0,,,,,,predicted,8.936186350183561e-05,0.0,btxrd-heuristic-000109,IMG000222.jpeg,0.0,0,320,masks/IMG000222.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,0,classifier_predicted_normal_or_below_confidence,0,0,0.0,0,0,0,,,,val,empty_by_image_gate,0.0,1,6,0,0,0
0,0,,,,,,predicted,0.00016732391668483615,0.0,btxrd-heuristic-000120,IMG000244.jpeg,0.0,0,320,masks/IMG000244.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,0,classifier_predicted_normal_or_below_confidence,0,0,0.0,0,0,0,,,,val,empty_by_image_gate,0.0,1,1,0,0,0
19,6,1.0,0.07490026205778122,0.0,0.999990234375,0.13988755643367767,predicted,0.9995653033256531,0.02041015625,btxrd-heuristic-000121,IMG000245.jpeg,0.02041015625,2090,320,masks/IMG000245.png,7e366a710060c97802d4b58139467b4aaface7d58044b3709229bb1312aefde4,0|255,320,3,,27,9,0.02044921875,3,0,3,0.7596802115440369,0.4763542115688324,0.07333054393529892,val,ok,0.15,1,3,12,5,17
8,12,1.0,0.1869114339351654,0.0,0.999990234375,0.1776053011417389,predicted,0.9986340403556824,0.02083984375,btxrd-heuristic-000128,IMG000260.jpeg,0.02083984375,2134,320,masks/IMG000260.png,eefbe3ebe2f8a00551ec161666f930352592da90ae446c6c563a2bd48db0ef1b,0|255,320,6,,54,18,0.020849609375,2,0,2,0.6797612309455872,0.2698967158794403,0.0010017312597483397,val,ok,0.149560546875,1,1,18,9,27
1,10,1.0,0.13231594860553741,0.0,0.999990234375,0.15430040657520294,predicted,0.9999994039535522,0.035576171875,btxrd-heuristic-000137,IMG000275.jpeg,0.035576171875,3643,320,masks/IMG000275.png,008412473edabbb96f1791aa430222e230a7f6267f24b16fdcb01e526d4f7f49,0|255,320,5,,45,15,0.035615234375,1,0,1,0.4019099771976471,0.2143324315547943,0.0008308914839290082,val,ok,0.15,1,1,18,10,28
0,0,,,,,,predicted,0.09779532253742218,0.0,btxrd-heuristic-000140,IMG000279.jpeg,0.0,0,320,masks/IMG000279.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,0,classifier_predicted_normal_or_below_confidence,0,0,0.0,0,0,0,,,,val,empty_by_image_gate,0.0,1,1,0,0,0
1,10,1.0,0.12420699000358582,0.0,0.999990234375,0.147993266582489,predicted,0.999988317489624,0.02080078125,btxrd-heuristic-000145,IMG000285.jpeg,0.02080078125,2130,320,masks/IMG000285.png,f442304887205426c187cda78f12eb67e4035f2e3a65c3e586f5bb7a3410c3ab,0|255,320,5,,45,15,0.0209765625,1,0,1,0.5029125809669495,0.2028178721666336,0.0023026757407933474,val,ok,0.15,1,1,18,8,26
0,0,,,,,,predicted,0.0354466587305069,0.0,btxrd-heuristic-000150,IMG000292.jpeg,0.0,0,320,masks/IMG000292.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,0,classifier_predicted_normal_or_below_confidence,0,0,0.0,0,0,0,,,,val,empty_by_image_gate,0.0,1,1,0,0,0
0,0,,,,,,predicted,0.39737874269485474,0.0,btxrd-heuristic-000156,IMG000300.jpeg,0.0,0,320,masks/IMG000300.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,0,classifier_predicted_normal_or_below_confidence,0,0,0.0,0,0,0,,,,val,empty_by_image_gate,0.0,1,2,0,0,0
