subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.28760966246224434,0.2238693010332099,0.5533687886313147,0.24227171152995158,135.687911140516,71.02477237745303,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.7222222222222222,0.325,0.65,40,13,20,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9902243955197112,0.6569663779928681,0.1628974279353484,30951,16161,159052,1637036,0.3,0.6,0.4,12,0.2,0.4,0.26666666666666666,8,0.075,0.15,0.1,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.2801669225662885,0.20959763796689157,0.3130245357064809,0.3343988842607619,107.74289340449043,77.99000522813131,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,71,1,1,0.9861111111111112,0.5416666666666666,0.4819277108433735,0.5119047619047619,83,40,84,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9865232002684158,0.3662714700269274,0.3148529981853015,56041,96963,121950,7097846,0.39759036144578314,0.39285714285714285,0.39520958083832336,33,0.3614457831325301,0.35714285714285715,0.3592814371257485,30,0.1927710843373494,0.19047619047619047,0.19161676646706588,16,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.07822570680384763,0.05854581475412792,0.07658960071449838,0.21645783247855363,115.26594849625566,90.56018578001063,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,87,7,7,0.925531914893617,0.2978723404255319,0.26666666666666666,0.25688073394495414,105,28,109,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9823535313231297,0.021366362120014082,0.22006895731779813,3702,169561,13120,9439217,0.09523809523809523,0.09174311926605505,0.09345794392523364,10,0.08571428571428572,0.08256880733944955,0.08411214953271028,9,0.05714285714285714,0.05504587155963303,0.056074766355140186,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.17404617028756922,0.13197198672352622,0.19341118952610334,0.2875381733420417,99.40803698975509,71.39210287238822,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,124,7,7,0.9465648854961832,0.45038167938931295,0.38961038961038963,0.3973509933774834,154,60,151,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.992358932055603,0.20925639026199988,0.32945554059243154,60916,230191,123983,29895310,0.22077922077922077,0.2251655629139073,0.22295081967213115,34,0.2077922077922078,0.2119205298013245,0.2098360655737705,32,0.1038961038961039,0.10596026490066225,0.10491803278688525,16,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.30604765599234934,0.22917349519466196,0.3845312960995408,0.3501042938793125,103.37953596353856,69.23632041934209,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,30,1,1,0.967741935483871,0.5806451612903226,0.4090909090909091,0.5714285714285714,44,18,35,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9925636408571035,0.44402711907565967,0.2424590035717079,27900,34934,87171,4662795,0.4090909090909091,0.5142857142857142,0.45569620253164556,18,0.3181818181818182,0.4,0.35443037974683544,14,0.18181818181818182,0.22857142857142856,0.20253164556962025,8,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.018849233873657056,0.010512514876615408,0.11093141938126524,0.011996041328721507,213.2855766266619,171.12554854981803,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.13636363636363635,0.1,0.14814814814814814,30,3,27,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9936887973277304,0.0966148780738759,0.02213421964500389,1878,17560,82968,2764794,0.1,0.1111111111111111,0.10526315789473684,3,0.03333333333333333,0.037037037037037035,0.03508771929824561,1,0.03333333333333333,0.037037037037037035,0.03508771929824561,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,110.0,68.75792679774368,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,1,0,0.0,{'1': 1},,,0.9939160127723441,0.0,0.0,0,604,3123,98673,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.20976373405312332,0.16236966547320356,0.2715068776552395,0.2599253706872639,128.66777788363038,95.65219770921809,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,46,2,2,0.9583333333333334,0.4375,0.42,0.3770491803278688,50,21,61,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9844723031220269,0.24056935153792114,0.21173940317232726,23628,74589,87962,4729021,0.32,0.26229508196721313,0.2882882882882883,16,0.3,0.2459016393442623,0.2702702702702703,15,0.18,0.14754098360655737,0.16216216216216217,9,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.0013604087862499172,0.0006858022213301218,0.0006924739900013512,0.038389513108614236,143.76854761353482,118.48865766590474,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.08333333333333333,0.07692307692307693,0.07142857142857142,13,1,14,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9777046539272454,0.0014970606492131302,0.018093556928508385,41,27346,2225,1199188,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
