above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
38,12,1.0,0.13502569496631622,0.0,0.999990234375,0.18541252613067627,ground_truth,0.057533785700798035,0.001396484375,btxrd-heuristic-000001,IMG000001.jpeg,0.001396484375,143,320,masks/IMG000001.png,3669e8ceb7e04b461cd5e5f88c10ef2c231f6282b1f970fd154129eec73c1987,0|255,320,6,,54,18,0.001396484375,1,0,1,0.7522128224372864,0.4708648920059204,0.14111386239528656,val,ok,0.15,1,9,24,11,35
19,6,1.0,0.0944800153374672,0.0,0.999990234375,0.16926229000091553,ground_truth,0.01732095144689083,0.03416015625,btxrd-heuristic-000006,IMG000010.jpeg,0.03416015625,3498,320,masks/IMG000010.png,fc436b7ff9799b8a0a887b50affe38224f7c78ebb56e02c0d071cff512bed275,0|255,320,3,,27,9,0.034306640625,1,0,1,0.7054921984672546,0.46226269006729126,0.14380615949630737,val,ok,0.15,1,8,12,5,17
45,14,1.0,0.19080306589603424,0.0,0.999990234375,0.20708994567394257,ground_truth,0.034104008227586746,0.0416796875,btxrd-heuristic-000009,IMG000017.jpeg,0.0416796875,4268,320,masks/IMG000017.png,5853f44d1c9c02067c6e2c0fdba4daf5472c3ca50b50882e86e9eefbaadc7b1c,0|255,320,7,,63,21,0.0416796875,1,0,1,0.7731428146362305,0.48593592643737793,0.019334129989147186,val,ok,0.15,1,8,28,11,39
23,12,1.0,0.1890224665403366,0.0,0.999990234375,0.1734360307455063,ground_truth,0.9964253306388855,0.056513671875,btxrd-heuristic-000009,IMG000018.jpeg,0.056513671875,5787,320,masks/IMG000018.png,a0c60aacf58c71f3f519ca9ed5cac0e6846165a66221ae20af5547d2e9e7f7ee,0|255,320,6,,54,18,0.05763671875,1,0,1,0.7050301432609558,0.2851410210132599,0.0004282484878785908,val,ok,0.15,1,8,21,11,32
12,6,1.0,0.09422275424003601,0.0,0.999990234375,0.15642093122005463,ground_truth,0.7169684171676636,0.021806640625,btxrd-heuristic-000017,IMG000033.jpeg,0.021806640625,2233,320,masks/IMG000033.png,c3e0f083329fa470718751b0927ffe0e7ad457984bb6e1459283efb11b8fa762,0|255,320,3,,27,9,0.022939453125,1,0,1,0.6372833251953125,0.39503955841064453,0.14042605459690094,val,ok,0.15,1,8,12,5,17
21,10,1.0,0.137968972325325,0.0,0.999990234375,0.1756543219089508,ground_truth,0.35655733942985535,0.02587890625,btxrd-heuristic-000017,IMG000034.jpeg,0.02587890625,2650,320,masks/IMG000034.png,e9a71a939498eb9dcd3e40ba63127f0289f49b4c3c4b194592e6327632cc022e,0|255,320,5,,45,15,0.025888671875,1,0,1,0.7446216940879822,0.32602599263191223,0.00029124401044100523,val,ok,0.15,1,8,16,7,23
36,16,1.0,0.2210731953382492,0.0,0.999990234375,0.20413966476917267,ground_truth,0.999995231628418,0.039921875,btxrd-heuristic-000025,IMG000048.jpeg,0.039921875,4088,320,masks/IMG000048.png,a62eb23998fa4614524507dc207424b127ca67f2e4c5b7e1d2c2cffd9056b695,0|255,320,8,,72,24,0.0402734375,1,0,1,0.7642338871955872,0.4370137155056,0.033020492643117905,val,ok,0.15,1,8,27,13,40
32,14,1.0,0.16533447802066803,0.0,0.999990234375,0.1757015883922577,ground_truth,0.9959636926651001,0.001044921875,btxrd-heuristic-000025,IMG000049.jpeg,0.001044921875,107,320,masks/IMG000049.png,9b60aacaeae57ebb0a243299111d3afcc2ffd818b93658d4597841c1fbf4246f,0|255,320,7,,63,21,0.001259765625,1,0,1,0.751665472984314,0.36072561144828796,0.016758618876338005,val,ok,0.1498828125,1,8,22,10,32
67,18,1.0,0.3012427091598511,0.0,0.999990234375,0.24940125644207,ground_truth,0.9997990727424622,0.00603515625,btxrd-heuristic-000026,IMG000050.jpeg,0.00603515625,618,320,masks/IMG000050.png,50de120f3d2bc3f6de0318fe310e761c00c93010dbc92e9728549e762dbfce81,0|255,320,9,,81,27,0.006064453125,1,0,1,0.7539412379264832,0.5851368308067322,0.22659870982170105,val,ok,0.1363671875,1,8,23,15,38
35,14,1.0,0.1680917888879776,0.0,0.999990234375,0.18681392073631287,ground_truth,1.0,0.001220703125,btxrd-heuristic-000029,IMG000055.jpeg,0.001220703125,125,320,masks/IMG000055.png,4186a5a06f08d0e077b3e1da0b8fd94d71ccd4061d4d2d2895149ef36fb277f7,0|255,320,7,,63,21,0.001220703125,1,0,1,0.731817364692688,0.44355839490890503,0.029044099152088165,val,ok,0.15,1,8,19,11,30
