subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.3656347915165472,0.27071844249956445,0.3717086818265709,0.42319184133290727,118.78213973366391,45.65518112087097,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,17,1,1,0.9444444444444444,0.7777777777777778,0.425,0.6071428571428571,40,17,28,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9482094390444696,0.45275348979904895,0.3728151660763251,70836,85620,119167,1567577,0.35,0.5,0.4117647058823529,14,0.25,0.35714285714285715,0.29411764705882354,10,0.125,0.17857142857142858,0.14705882352941177,5,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.1815820552525468,0.11642048756069531,0.13314895423085443,0.4062815971657597,127.56524091804856,65.61999217961501,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,60,12,12,0.8333333333333334,0.5277777777777778,0.4939759036144578,0.39,83,41,100,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9410554192613035,0.15017323364800605,0.4210437606395829,74942,424095,103049,6770714,0.3855421686746988,0.32,0.34972677595628415,32,0.2289156626506024,0.19,0.20765027322404372,19,0.03614457831325301,0.03,0.03278688524590164,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.009779738981823435,0.005126340078316199,0.00518036924718559,0.2132769038797376,167.90519005526986,111.06400217194886,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,62,32,32,0.6595744680851063,0.2765957446808511,0.2857142857142857,0.23275862068965517,105,30,116,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9534408017335815,0.007914473129820422,0.21216264415646177,3569,447377,13253,9161401,0.01904761904761905,0.017241379310344827,0.01809954751131222,2,0.009523809523809525,0.008620689655172414,0.00904977375565611,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.08798871283183989,0.059421517539043914,0.06482866108755553,0.2962386355300208,143.0553120026344,85.01465507876912,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,98,33,33,0.7480916030534351,0.3969465648854962,0.37012987012987014,0.29347826086956524,154,57,184,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9782738219025802,0.1039765190023314,0.41077020427368455,75951,654512,108948,29470989,0.14285714285714285,0.11956521739130435,0.1301775147928994,22,0.11038961038961038,0.09239130434782608,0.10059171597633136,17,0.01948051948051948,0.016304347826086956,0.01775147928994083,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.23562451109103932,0.1581227262306825,0.21788807461298865,0.45807017642220127,118.46769952946875,52.68870807727789,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,24,7,7,0.7741935483870968,0.6129032258064516,0.5,0.5675675675675675,44,22,37,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9660344391939168,0.25540731615125084,0.4756367807701332,54732,159561,60339,4538168,0.45454545454545453,0.5405405405405406,0.49382716049382713,20,0.20454545454545456,0.24324324324324326,0.2222222222222222,9,0.09090909090909091,0.10810810810810811,0.09876543209876543,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.07926129386269899,0.04777544208900158,0.06897048960285534,0.17774183550460884,189.4521911186182,117.84356193638189,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,17,5,5,0.7727272727272727,0.3181818181818182,0.3,0.34782608695652173,30,9,23,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9485978419712229,0.11543576009846428,0.21997501355396837,18664,143019,66182,2639335,0.2,0.2608695652173913,0.22641509433962265,6,0.13333333333333333,0.17391304347826086,0.1509433962264151,4,0.03333333333333333,0.043478260869565216,0.03773584905660377,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,177.40631330367023,109.6530880777427,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,2,0,0.0,{'1': 1},,,0.9615721667657161,0.0,0.0,0,3815,3123,95462,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.14119937274898822,0.08954281018084846,0.11560973572293125,0.30156638864693436,147.47378084067424,82.71489663900954,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,36,12,12,0.75,0.4166666666666667,0.44,0.3684210526315789,50,22,57,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9424761793734295,0.13800224606937858,0.3964333721659647,44238,276322,67352,4527288,0.36,0.3157894736842105,0.3364485981308411,18,0.2,0.17543859649122806,0.18691588785046728,10,0.02,0.017543859649122806,0.018691588785046728,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.013606740613848443,0.007205174908166866,0.007209225285300131,0.24434403541625596,175.64907283919396,102.77168608695283,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,9,3,3,0.75,0.3333333333333333,0.3076923076923077,0.25,13,4,16,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9516613481566757,0.008810351745352414,0.2325684024713151,527,59289,1739,1167245,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
