above_threshold_candidates,box_prompt_calls,cam_max,cam_mean,cam_min,cam_nonzero_ratio,cam_std,cam_target_protocol,classifier_confidence,final_area_ratio,group_id,image_name,mask_area_ratio,mask_foreground_pixels,mask_height,mask_path,mask_sha256,mask_unique_values,mask_width,morphology_components,reason,sam_candidate_count,sam_prompt_calls,selected_area_ratio,selected_candidates,selected_class,selected_components,selection_score_max,selection_score_mean,selection_score_min,split,status,support_area_ratio,true_tumor,true_tumor_type,unique_negative_prompt_points,unique_positive_prompt_points,unique_prompt_points
44,12,1.0,0.13502569496631622,0.0,0.999990234375,0.18541252613067627,ground_truth,0.057533785700798035,0.09111328125,btxrd-heuristic-000001,IMG000001.jpeg,0.09111328125,9330,320,masks/IMG000001.png,0b7acd7703f358bdfa5422383837864645695ce2b0fd79a7b7323732ca37ed84,0|255,320,6,,54,18,0.092255859375,3,0,3,0.8771427869796753,0.5264323949813843,0.2713168263435364,val,ok,0.15,1,9,24,11,35
24,6,1.0,0.0944800153374672,0.0,0.999990234375,0.16926229000091553,ground_truth,0.01732095144689083,0.0,btxrd-heuristic-000006,IMG000010.jpeg,0.0,0,320,masks/IMG000010.png,14bf4fc16d7e9f17cb073a83ba89ab04bd4c22a2b6f80f25bf73a67ce7a0a340,0,320,3,no_candidate_survived_or_postprocess_empty,27,9,0.1537109375,3,0,3,0.7526745796203613,0.5463389754295349,0.2753826081752777,val,empty_after_localization,0.15,1,8,12,5,17
58,14,1.0,0.19080306589603424,0.0,0.999990234375,0.20708994567394257,ground_truth,0.034104008227586746,0.059443359375,btxrd-heuristic-000009,IMG000017.jpeg,0.059443359375,6087,320,masks/IMG000017.png,d9c7e2636652ebe2777e82c549df9e675ae4b12e9b90d018511e6ac82c541174,0|255,320,7,,63,21,0.0594921875,3,0,3,0.8643202781677246,0.6632288694381714,0.23398511111736298,val,ok,0.15,1,8,28,11,39
40,12,1.0,0.1890224814414978,0.0,0.999990234375,0.1734360307455063,ground_truth,0.9964253306388855,0.108818359375,btxrd-heuristic-000009,IMG000018.jpeg,0.108818359375,11143,320,masks/IMG000018.png,fc8d52ecb396cc464a9cdc8749f7a0796e33a9b029e8d4785b3c26b97b9fc364,0|255,320,6,,54,18,0.11037109375,3,0,3,0.8766089677810669,0.5660524368286133,0.10563591867685318,val,ok,0.15,1,8,21,11,32
24,6,1.0,0.09422275424003601,0.0,0.999990234375,0.15642093122005463,ground_truth,0.7169684171676636,0.022548828125,btxrd-heuristic-000017,IMG000033.jpeg,0.022548828125,2309,320,masks/IMG000033.png,00166abed23d968ccba4c2009b4ad2498e5b1851b1058bf49bddc854e792788c,0|255,320,3,,27,9,0.222763671875,3,0,3,0.7362446784973145,0.5464308857917786,0.19545739889144897,val,ok,0.15,1,8,12,5,17
41,10,1.0,0.137968972325325,0.0,0.999990234375,0.1756543219089508,ground_truth,0.35655733942985535,0.044072265625,btxrd-heuristic-000017,IMG000034.jpeg,0.044072265625,4513,320,masks/IMG000034.png,78867edd2de6341e10b1187fb729890711ebd599bc150fae891bc6848a45848d,0|255,320,5,,45,15,0.046845703125,3,0,3,0.7199657559394836,0.5300741195678711,0.2980157732963562,val,ok,0.15,1,8,16,7,23
66,16,1.0,0.2210731953382492,0.0,0.999990234375,0.20413966476917267,ground_truth,0.999995231628418,0.0177734375,btxrd-heuristic-000025,IMG000048.jpeg,0.0177734375,1820,320,masks/IMG000048.png,03a138eb2f3156260e157d8c55374c92fd1ed123be008bf0d46c5b8afcfcd659,0|255,320,8,,72,24,0.019150390625,3,0,3,0.8742637634277344,0.6156319379806519,0.25878193974494934,val,ok,0.15,1,8,27,13,40
51,14,1.0,0.16533447802066803,0.0,0.999990234375,0.1757015883922577,ground_truth,0.9959636926651001,0.050390625,btxrd-heuristic-000025,IMG000049.jpeg,0.050390625,5160,320,masks/IMG000049.png,4aa6eda39667fb45f2ccc986c4ca8b770d764a1f191b2b1f2d54ed72d1f84088,0|255,320,7,,63,21,0.050927734375,3,0,3,0.8864198923110962,0.5745986104011536,0.2086140364408493,val,ok,0.1498828125,1,8,22,10,32
74,18,1.0,0.3012426793575287,0.0,0.999990234375,0.24940125644207,ground_truth,0.9997990727424622,0.13205078125,btxrd-heuristic-000026,IMG000050.jpeg,0.13205078125,13522,320,masks/IMG000050.png,8e0ebd11ae73b30d73ede878b80a6091eeb77b28d7513b7b1e9e60f9deae8dd8,0|255,320,9,,81,27,0.135771484375,3,0,3,0.9326510429382324,0.6378259658813477,0.18220217525959015,val,ok,0.1363671875,1,8,23,15,38
60,14,1.0,0.1680917888879776,0.0,0.999990234375,0.18681392073631287,ground_truth,1.0,0.045146484375,btxrd-heuristic-000029,IMG000055.jpeg,0.045146484375,4623,320,masks/IMG000055.png,f8926daddf3e834c4b158b705c98a30940b39d908ce369c544c35d9c77d39dff,0|255,320,7,,63,21,0.05513671875,3,0,3,0.8285719156265259,0.6189351677894592,0.24318952858448029,val,ok,0.15,1,8,19,11,30
