subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.40508165409956626,0.3051078185348801,0.5551803412215706,0.3756891327584341,102.00042783315787,45.066143892268116,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.8333333333333334,0.475,0.7037037037037037,40,19,27,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9718551388612489,0.55464412879513,0.30497939506218325,57947,46529,132056,1606668,0.45,0.6666666666666666,0.5373134328358209,18,0.3,0.4444444444444444,0.3582089552238806,12,0.1,0.14814814814814814,0.11940298507462686,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.3429068482137077,0.24546421066788898,0.28556395929821093,0.5341768820839511,106.95191864033231,64.24018309520466,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,72,0,0,1.0,0.6805555555555556,0.6265060240963856,0.5098039215686274,83,52,102,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9670794596493111,0.29284385701447707,0.551072807052042,98086,236857,79905,6957952,0.5662650602409639,0.46078431372549017,0.5081081081081081,47,0.43373493975903615,0.35294117647058826,0.3891891891891892,36,0.1566265060240964,0.12745098039215685,0.14054054054054055,13,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.11128703120410546,0.08578602402784982,0.12071389850229644,0.37288171687588106,122.3509745176585,84.57910306800372,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,94,0,0,1.0,0.4787234042553192,0.44761904761904764,0.3219178082191781,105,47,146,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9646452441715273,0.019988749296831053,0.41190108191653785,6929,339716,9893,9269062,0.14285714285714285,0.10273972602739725,0.11952191235059761,15,0.11428571428571428,0.0821917808219178,0.09561752988047809,12,0.10476190476190476,0.07534246575342465,0.08764940239043825,11,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.2130320014685206,0.158271328828928,0.20831977853361708,0.45544052257322665,106.24279078585067,65.82068632667945,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,131,0,0,1.0,0.6030534351145038,0.538961038961039,0.4097560975609756,154,83,205,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9846386289144203,0.17321930094117816,0.5243673573139931,96955,462769,87944,29662732,0.3116883116883117,0.23414634146341465,0.26740947075208915,48,0.2597402597402597,0.1951219512195122,0.22284122562674094,40,0.13636363636363635,0.1024390243902439,0.116991643454039,21,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.418848719537852,0.306315609004093,0.4155960603580138,0.5903683427892147,87.45307297805209,44.27215744159984,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,0.8387096774193549,0.6590909090909091,0.6904761904761905,44,29,42,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9755950162301827,0.3194106402934926,0.4675895751318751,53806,114648,61265,4583081,0.6136363636363636,0.6428571428571429,0.627906976744186,27,0.38636363636363635,0.40476190476190477,0.3953488372093023,17,0.1590909090909091,0.16666666666666666,0.16279069767441862,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.07046551274161152,0.04545100930078561,0.07852676416695735,0.10499519102139879,200.39484511339143,154.1805759919686,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.18181818181818182,0.2,0.17857142857142858,30,6,28,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9835804502230845,0.21077635352244065,0.14380171133583197,12201,45685,72645,2736669,0.16666666666666666,0.17857142857142858,0.1724137931034483,5,0.1,0.10714285714285714,0.10344827586206896,3,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,167.70091043679133,118.09935253639686,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,3,0,0.0,{'1': 1},,,0.9819092035416058,0.0,0.0,0,1796,3123,97481,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.31006197140221636,0.23521950525467572,0.2738226649469786,0.49175932041384796,119.52237887087308,72.31442922382985,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.625,0.64,0.484375,50,32,64,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9642033803743435,0.22952531163465933,0.45904650954386594,51225,171953,60365,4631657,0.48,0.375,0.42105263157894735,24,0.4,0.3125,0.3508771929824561,20,0.22,0.171875,0.19298245614035087,11,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.015143304485504503,0.008095674669606558,0.00809782681418162,0.19229868913857676,141.80029769259963,102.8324622664249,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.25,0.23076923076923078,0.15789473684210525,13,3,19,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.965532141791422,0.01173500397400533,0.22153574580759047,502,42276,1764,1184258,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
