epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_precision,val_recall,val_f1,val_tp,val_fp,val_fn,val_tn
1,0.5244518280748388,0.7544448171754444,0.7592592592592593,0.7439516129032258,0.7515274949083502,1107,351,381,1142,0.7821389252835131,0.6981132075471698,0.6914893617021277,0.7065217391304348,0.6989247311827957,130,58,54,129
2,0.4208644059843736,0.8178463602817846,0.8288100208768268,0.8004032258064516,0.8143589743589745,1191,246,297,1247,0.7920811209887108,0.7277628032345014,0.6693877551020408,0.8913043478260869,0.7645687645687645,164,81,20,106
3,0.3451195849784857,0.856759476685676,0.8696864111498258,0.8387096774193549,0.8539172083475881,1248,187,240,1306,0.7348309073676454,0.7466307277628033,0.7884615384615384,0.6684782608695652,0.7235294117647058,123,33,61,154
4,0.3030266045585235,0.8805769875880577,0.8798657718120806,0.8810483870967742,0.880456682337139,1311,179,177,1314,1.0862280316799482,0.7493261455525606,0.8273381294964028,0.625,0.7120743034055728,115,24,69,163
5,0.2164419143905129,0.9174773565917478,0.9253424657534246,0.9079301075268817,0.9165535956580733,1351,109,137,1384,0.8419717996990546,0.7870619946091644,0.7868852459016393,0.782608695652174,0.784741144414169,144,39,40,148
6,0.19221516611739922,0.9355920831935592,0.9343163538873994,0.9368279569892473,0.9355704697986577,1394,98,94,1395,0.940446650302855,0.7789757412398922,0.7833333333333333,0.7663043478260869,0.7747252747252747,141,39,43,148
7,0.14941892438804127,0.9486749412948675,0.9513184584178499,0.9455645161290323,0.9484327603640041,1407,72,81,1421,0.8918390983537315,0.7762803234501348,0.7953216374269005,0.7391304347826086,0.7661971830985915,136,35,48,152
8,0.11079610708076319,0.9637705467963771,0.9643337819650067,0.9630376344086021,0.9636852723604573,1433,53,55,1440,1.0251505601051403,0.7654986522911051,0.7869822485207101,0.7228260869565217,0.7535410764872521,133,36,51,151
9,0.11223957950613932,0.9671251257967125,0.964572192513369,0.969758064516129,0.9671581769436998,1443,53,45,1440,1.4254873183142875,0.7951482479784366,0.8068181818181818,0.7717391304347826,0.7888888888888889,142,34,42,153
10,0.08284657817413446,0.977859778597786,0.9784656796769852,0.9771505376344086,0.9778076664425017,1454,32,34,1461,1.5682127245582957,0.77088948787062,0.7487437185929648,0.8097826086956522,0.7780678851174935,149,50,35,137
11,0.08163564936049764,0.977859778597786,0.9714854111405835,0.9845430107526881,0.9779706275033376,1465,43,23,1450,1.3513237091838357,0.784366576819407,0.782608695652174,0.782608695652174,0.782608695652174,144,40,40,147
12,0.10795713339761541,0.9745051995974505,0.9731903485254692,0.9758064516129032,0.9744966442953019,1452,40,36,1453,1.3133215152625548,0.784366576819407,0.75,0.8478260869565217,0.7959183673469389,156,52,28,135
13,0.09783106595579248,0.9775243206977524,0.9816949152542372,0.9731182795698925,0.9773877826527168,1448,27,40,1466,1.459095977031269,0.7762803234501348,0.7759562841530054,0.7717391304347826,0.7738419618528609,142,41,42,146
14,0.07135059194701568,0.9825561891982556,0.9767596281540505,0.9885752688172043,0.9826319305277221,1471,35,17,1458,1.7120137868194898,0.7816711590296496,0.8410596026490066,0.6902173913043478,0.7582089552238807,127,24,57,163
15,0.08061247630165715,0.985239852398524,0.9832663989290495,0.9872311827956989,0.9852448021462106,1469,25,19,1468,1.4470001228663019,0.7762803234501348,0.7853107344632768,0.7554347826086957,0.7700831024930748,139,38,45,149
16,0.07365150732965685,0.977859778597786,0.9733688415446072,0.9825268817204301,0.9779264214046823,1462,40,26,1453,1.3978074398089915,0.7789757412398922,0.8227848101265823,0.7065217391304348,0.7602339181286549,130,28,54,159
17,0.07953488883266122,0.9835625628983563,0.9832102081934184,0.9838709677419355,0.9835404769902587,1464,25,24,1468,1.4000940001382758,0.7897574123989218,0.7944444444444444,0.7771739130434783,0.7857142857142856,143,37,41,150
18,0.0761318348077852,0.9842334786984234,0.9825853985264568,0.9858870967741935,0.9842334786984233,1467,26,21,1467,1.2267293718425518,0.8059299191374663,0.8783783783783784,0.7065217391304348,0.7831325301204821,130,18,54,169
19,0.08185240737412351,0.9862462260986247,0.9865501008742434,0.9858870967741935,0.9862184873949579,1467,20,21,1473,1.7978925751688408,0.7789757412398922,0.7833333333333333,0.7663043478260869,0.7747252747252747,141,39,43,148
