epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_precision,val_recall,val_f1,val_tp,val_fp,val_fn,val_tn
1,0.5268963828443203,0.74740020127474,0.7525773195876289,0.7358870967741935,0.7441386340468908,1095,360,393,1133,0.7565149392615608,0.706199460916442,0.6666666666666666,0.8152173913043478,0.7334963325183375,150,75,34,112
2,0.4278484263404924,0.8138208654813821,0.8269096005606167,0.793010752688172,0.8096054888507719,1180,247,308,1246,0.7430832987611599,0.7035040431266847,0.6608695652173913,0.8260869565217391,0.7342995169082125,152,78,32,109
3,0.36167058109458106,0.8507212344850721,0.8659649122807017,0.8293010752688172,0.8472365259182973,1234,191,254,1302,0.6183754582988455,0.7547169811320755,0.7687861271676301,0.7228260869565217,0.7450980392156863,133,40,51,147
4,0.2815448733011695,0.8909761824890976,0.890530557421088,0.8911290322580645,0.8908296943231441,1326,163,162,1330,0.823237306042079,0.7681940700808625,0.8024691358024691,0.7065217391304348,0.7514450867052024,130,32,54,155
5,0.22108444393033178,0.9174773565917478,0.9207317073170732,0.9133064516129032,0.917004048582996,1359,117,129,1376,0.8925570321289149,0.7654986522911051,0.8050314465408805,0.6956521739130435,0.7463556851311953,128,31,56,156
6,0.18519651720811545,0.9319020462931902,0.9303415941058272,0.9334677419354839,0.9319020462931902,1389,104,99,1389,0.9962630259946541,0.7574123989218329,0.7397959183673469,0.7880434782608695,0.763157894736842,145,51,39,136
7,0.16935315454993885,0.9453203622945321,0.9559532002752925,0.9334677419354839,0.944576674600476,1389,64,99,1429,0.9317809063544933,0.77088948787062,0.776536312849162,0.7554347826086957,0.765840220385675,139,40,45,147
8,0.12059328983962005,0.9577323045957732,0.9546061415220294,0.9610215053763441,0.9578030810448761,1430,68,58,1425,1.1396651422648885,0.7762803234501348,0.7790055248618785,0.7663043478260869,0.7726027397260274,141,40,43,147
9,0.11841974755808485,0.9654478362965447,0.9644533869885983,0.9663978494623656,0.9654246391406512,1438,53,50,1440,1.1893965849514179,0.784366576819407,0.8058823529411765,0.7445652173913043,0.7740112994350282,137,33,47,154
10,0.07770322163687964,0.9798725259979872,0.9753661784287616,0.9845430107526881,0.9799331103678929,1465,37,23,1456,1.4406410283662556,0.7816711590296496,0.7942857142857143,0.7554347826086957,0.7743732590529249,139,36,45,151
11,0.101101367874664,0.9731633679973163,0.9705882352941176,0.9758064516129032,0.9731903485254693,1452,44,36,1449,1.388383193321696,0.7897574123989218,0.8011363636363636,0.7663043478260869,0.7833333333333333,141,35,43,152
12,0.11212785704145273,0.9771888627977189,0.9739652870493992,0.980510752688172,0.9772270596115205,1459,39,29,1454,1.6370290895488033,0.7762803234501348,0.8389261744966443,0.6793478260869565,0.7507507507507507,125,24,59,163
13,0.07920150499528816,0.9825561891982556,0.9844804318488529,0.980510752688172,0.9824915824915824,1459,23,29,1470,1.504702442416311,0.7654986522911051,0.7650273224043715,0.7608695652173914,0.7629427792915532,140,43,44,144
14,0.07951916053063929,0.9855753102985575,0.9819879919946631,0.989247311827957,0.9856042852360228,1472,27,16,1466,1.6475251643149196,0.7816711590296496,0.8047337278106509,0.7391304347826086,0.7705382436260624,136,33,48,154
15,0.09978327617383775,0.9805434417980543,0.9766666666666667,0.9845430107526881,0.9805890227576974,1465,35,23,1458,1.5166657291826615,0.77088948787062,0.7828571428571428,0.7445652173913043,0.7632311977715877,137,38,47,149
16,0.0635065729687002,0.988929889298893,0.98989898989899,0.9879032258064516,0.9889001009081736,1470,15,18,1478,1.7210260444048897,0.7493261455525606,0.7973856209150327,0.6630434782608695,0.7240356083086054,122,31,62,156
17,0.08184926557201873,0.9771888627977189,0.9784366576819407,0.9758064516129032,0.9771197846567968,1452,32,36,1461,1.556498884306688,0.7601078167115903,0.7486910994764397,0.7771739130434783,0.7626666666666666,143,48,41,139
18,0.09637615153995914,0.9792016101979202,0.9817567567567568,0.9764784946236559,0.97911051212938,1453,27,35,1466,2.070425035951709,0.7601078167115903,0.7878787878787878,0.7065217391304348,0.7449856733524355,130,35,54,152
