subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.40022700179814447,0.30370328446981776,0.6428512681120107,0.34706258515723865,105.5838867073832,47.949117828720475,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.8333333333333334,0.45,0.36923076923076925,40,18,65,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9842136176148396,0.6650237453471954,0.27269043120371783,51812,26098,138191,1627099,0.4,0.24615384615384617,0.3047619047619048,16,0.325,0.2,0.24761904761904763,13,0.15,0.09230769230769231,0.11428571428571428,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.3533511416136556,0.2551137565637737,0.31008329640962146,0.5029049454291461,103.52047366748758,63.532608268467456,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,72,0,0,1.0,0.6805555555555556,0.6265060240963856,0.3248730964467005,83,52,197,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.973678244968004,0.3275550458226958,0.5182790141074549,92249,189380,85742,7005429,0.5783132530120482,0.2436548223350254,0.34285714285714286,48,0.5421686746987951,0.22842639593908629,0.32142857142857145,45,0.1686746987951807,0.07106598984771574,0.1,14,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.09246755700658776,0.06554602312758022,0.13309243820782846,0.26585523880109707,120.17558808803226,84.20301465920315,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,94,0,0,1.0,0.44680851063829785,0.4095238095238095,0.16796875,105,43,256,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9736367100998691,0.02183994594072787,0.33622637022946145,5656,253319,11166,9355459,0.17142857142857143,0.0703125,0.0997229916897507,18,0.11428571428571428,0.046875,0.0664819944598338,12,0.06666666666666667,0.02734375,0.038781163434903045,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.20705473613254297,0.15102325250865398,0.23206719748753618,0.37048916917465075,103.2428915556283,65.0597218165646,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,131,0,0,1.0,0.5801526717557252,0.512987012987013,0.21588089330024815,154,79,403,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9885328048154286,0.20917929359409015,0.49419412760480047,91376,345455,93523,29780046,0.3246753246753247,0.12406947890818859,0.17953321364452424,50,0.2857142857142857,0.10918114143920596,0.15798922800718132,44,0.12987012987012986,0.04962779156327544,0.0718132854578097,20,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.4159774817288267,0.30213474987386724,0.46032210766249204,0.5468230721550772,85.47812404632032,44.86376502648923,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,0.8387096774193549,0.6590909090909091,0.45454545454545453,44,29,77,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9822305628953906,0.37136359186378387,0.42854411624127714,49313,83476,65758,4614253,0.6136363636363636,0.35064935064935066,0.4462809917355372,27,0.5227272727272727,0.2987012987012987,0.38016528925619836,23,0.1590909090909091,0.09090909090909091,0.11570247933884298,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.05990210091874086,0.03845238374170019,0.07896459775637811,0.08913993874296797,203.4476684474453,156.31431911002693,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.18181818181818182,0.16666666666666666,0.23684210526315788,30,5,38,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.9856718447760422,0.1846443326379515,0.10640454470452348,9028,39866,75818,2742488,0.16666666666666666,0.13157894736842105,0.14705882352941177,5,0.1,0.07894736842105263,0.08823529411764706,3,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,165.25127207073842,109.91900989097293,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,6,0,0.0,{'1': 1},,,0.9873485298709671,0.0,0.0,0,1256,3123,98021,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.31433902191940877,0.23331831053679628,0.3003535621992051,0.4425629861014528,114.83464362824604,71.05858508748197,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.625,0.64,0.328,50,32,125,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9720183362096423,0.26245987544239896,0.4286405591898916,47832,134413,63758,4669197,0.54,0.216,0.30857142857142855,27,0.5,0.2,0.2857142857142857,25,0.2,0.08,0.11428571428571428,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.016104865355556025,0.008726258096110499,0.008730718060361017,0.14579431960049938,142.55230644808097,103.6010184842883,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.25,0.23076923076923078,0.1111111111111111,13,3,27,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9706351393438747,0.012773072389880218,0.205648720211827,466,36017,1800,1190517,0.15384615384615385,0.07407407407407407,0.1,2,0.07692307692307693,0.037037037037037035,0.05,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot,7,7,0,tumor images only,0.0,0.0,0.0,0.0,165.5324880145668,125.39343708648319,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.0,0.0,0.0,8,0,28,1,0.14285714285714285,"{'1': 6, '2': 1}",,,0.9768116672688519,0.0,0.0,0,16558,2734,697508,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot|tibia|fibula,1,1,0,tumor images only,0.2168141592920354,0.12158808933002481,1.0,0.12158808933002481,14.455698739853515,6.573458466040949,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,1.0,1.0,0.12158808933002481,49,0,354,101997,1.0,1.0,1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hand,8,8,0,tumor images only,0.15535191492956285,0.11353530405651298,0.15210996953854586,0.18138785351170358,114.66974418748829,92.46556170050101,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,8,0,0,1.0,0.25,0.25,0.16666666666666666,8,2,12,0,0.0,{'1': 8},,,0.9869823714717898,0.3402494828558892,0.5081921168429923,5428,10525,5253,797994,0.25,0.16666666666666666,0.2,2,0.25,0.16666666666666666,0.2,2,0.125,0.08333333333333333,0.1,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip bone,10,10,0,tumor images only,0.1326740081992503,0.10040414371753056,0.12798426961618392,0.13774314785591754,160.9620172553136,117.03756581501311,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,10,0,0,1.0,0.3,0.3,0.09375,10,3,32,0,0.0,{'1': 10},,,0.9747530866076692,0.3341005807884806,0.32395608958555006,12483,24880,26050,960587,0.2,0.0625,0.09523809523809523,2,0.2,0.0625,0.09523809523809523,2,0.1,0.03125,0.047619047619047616,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip-joint,2,2,0,tumor images only,0.8358476994233335,0.7254224526673938,0.9188651331519717,0.7666057324769304,19.01332409151749,6.692035700095162,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,2,0,0.0,{'1': 2},,,0.994266300797073,0.902210732750936,0.7510946196660483,10121,1097,3354,190228,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,1.0,1.0,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,humerus,25,25,0,tumor images only,0.36650851543977014,0.26679705244978136,0.3619757199968042,0.5199459169699883,78.87367177489142,55.13450461790404,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,25,0,0,1.0,0.68,0.68,0.3448275862068966,25,17,58,0,0.0,{'1': 25},,,0.9817296667878781,0.4016113916801166,0.7054990282382532,30855,45973,12880,2470292,0.6,0.25862068965517243,0.3614457831325301,15,0.56,0.2413793103448276,0.3373493975903614,14,0.2,0.08620689655172414,0.12048192771084337,5,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,knee-joint,2,2,0,tumor images only,0.7122372752874004,0.5666662660830383,0.7409840587890364,0.7302305296679623,23.775122076851822,7.446012130759318,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,0.6666666666666666,2,2,3,0,0.0,{'1': 2},,,0.9896726105853203,0.7369714211819475,0.7261722731906218,5699,2034,2149,194918,1.0,0.6666666666666666,0.8,2,1.0,0.6666666666666666,0.8,2,0.5,0.3333333333333333,0.4,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,radius,7,7,0,tumor images only,0.14686480544128802,0.10036392744208107,0.17532109807472437,0.26158308394364554,119.10484973551031,81.0372001332897,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.5714285714285714,0.4444444444444444,0.23529411764705882,9,4,17,1,0.14285714285714285,"{'1': 6, '3': 1}",,,0.9857907612484526,0.07879839298758218,0.12749298271531984,863,10089,5906,699942,0.3333333333333333,0.17647058823529413,0.23076923076923078,3,0.2222222222222222,0.11764705882352941,0.15384615384615385,2,0.1111111111111111,0.058823529411764705,0.07692307692307693,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,shoulder-joint,2,2,0,tumor images only,0.0,0.0,0.0,0.0,158.89718858603283,107.23248046090777,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,0.0,0.0,0.0,2,0,3,0,0.0,{'1': 2},,,0.9804597079768229,0.0,0.0,0,3976,1323,199501,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,tibia,40,40,0,tumor images only,0.15147617595969737,0.10364005600715702,0.17273860288675308,0.48169176571297234,100.9118834089702,63.27542068075532,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,40,0,0,1.0,0.7,0.6304347826086957,0.234375,46,29,128,5,0.125,"{'2': 4, '1': 35, '3': 1}",,,0.9636980943940817,0.08460524769075622,0.6757758450286618,13675,147958,6561,3927806,0.2608695652173913,0.09375,0.13793103448275862,12,0.21739130434782608,0.078125,0.11494252873563218,10,0.06521739130434782,0.0234375,0.034482758620689655,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,tibia|femur,2,2,0,tumor images only,0.15634218289085547,0.09265734265734266,0.09265734265734266,0.5,80.1852856411326,33.9509564346812,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,0.5,0.3333333333333333,0.16666666666666666,3,1,6,1,0.5,"{'1': 1, '2': 1}",,,0.9612783333740861,0.03238421116949774,0.8412698412698413,265,7918,50,196567,0.3333333333333333,0.16666666666666666,0.2222222222222222,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,tibia|fibula,2,2,0,tumor images only,0.2803865691983645,0.19481749311294766,0.23105983255054116,0.3564902331442974,115.59076905580105,35.75352239419567,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,0.5,0.6666666666666666,0.2857142857142857,3,2,7,1,0.5,"{'1': 1, '2': 1}",,,0.9630560492652764,0.23470234391205144,0.446791707798618,2263,7379,2802,192356,0.6666666666666666,0.2857142857142857,0.4,2,0.6666666666666666,0.2857142857142857,0.4,2,0.3333333333333333,0.14285714285714285,0.2,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,tibia|fibula|femur,11,11,0,tumor images only,0.21455485497993568,0.1350622269381192,0.5866048907845761,0.15521659259682286,141.03113064945316,62.73644439440783,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,11,0,0,1.0,0.9090909090909091,0.3170731707317073,0.34615384615384615,41,13,52,11,1.0,"{'2': 2, '4': 4, '5': 1, '3': 3, '7': 1}",,,0.9869634129461283,0.44917627677100497,0.10849798046121092,10906,13374,89612,1012508,0.24390243902439024,0.19230769230769232,0.21505376344086022,10,0.17073170731707318,0.1346153846153846,0.15053763440860216,7,0.04878048780487805,0.038461538461538464,0.043010752688172046,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ulna,3,3,0,tumor images only,0.2128637059724349,0.156355455568054,0.2521160822249093,0.18418727915194347,93.80166427695421,73.6373368071573,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,3,0,0,1.0,0.3333333333333333,0.3333333333333333,0.14285714285714285,3,1,7,0,0.0,{'1': 3},,,0.988372612263545,0.7212156152198979,0.5446911737264415,8757,3385,7320,287738,0.3333333333333333,0.14285714285714285,0.2,1,0.3333333333333333,0.14285714285714285,0.2,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ulna|radius,1,1,0,tumor images only,0.05128205128205128,0.02631578947368421,0.027227722772277228,0.44,92.66437281146814,24.34155187251472,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,0.25,1,1,4,0,0.0,{'1': 1},,,0.9807870936201418,0.027227722772277228,0.44,55,1965,70,100310,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,unknown,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
view,frontal,231,132,99,tumor images only,0.2427756933811364,0.17859901502332542,0.27093548720098987,0.39022870142130756,107.79182104726362,67.74542386421261,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,132,0,0,1.0,0.5984848484848485,0.5119047619047619,0.24744897959183673,168,86,392,18,0.13636363636363635,"{'1': 114, '2': 10, '4': 4, '5': 1, '3': 2, '7': 1}",1.0,0.0,0.9847103357464984,0.24644144239077748,0.43481364969936304,116934,357556,151995,23027915,0.36904761904761907,0.15816326530612246,0.22142857142857142,62,0.30952380952380953,0.1326530612244898,0.18571428571428572,52,0.14285714285714285,0.061224489795918366,0.08571428571428572,24,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
