subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.4153105265301879,0.31847042415094357,0.6156687190837812,0.37538372186529895,104.44159983675848,46.469975649396275,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.8333333333333334,0.45,0.6785714285714286,40,18,28,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9803858826262085,0.6330862800565771,0.29446377162465853,55949,32426,134054,1620771,0.425,0.6071428571428571,0.5,17,0.325,0.4642857142857143,0.38235294117647056,13,0.175,0.25,0.20588235294117646,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.34860371437700266,0.2502460631585008,0.2914264719959179,0.5327605075350133,107.91910879468988,63.93883231318503,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,72,0,0,1.0,0.6944444444444444,0.6385542168674698,0.5092592592592593,83,53,108,8,0.1111111111111111,"{'1': 64, '3': 3, '2': 5}",,,0.9693902923621739,0.3071272164403559,0.548460315409206,97621,220231,80370,6974578,0.5903614457831325,0.4537037037037037,0.5130890052356021,49,0.4819277108433735,0.37037037037037035,0.418848167539267,40,0.1566265060240964,0.12037037037037036,0.13612565445026178,13,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,{},1.0,0.0,1.0,,,0,0,0,19148800,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.1121634039404338,0.08637936377558755,0.12130934939387014,0.3509366827813046,121.62775817206827,84.47908275837219,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,94,0,0,1.0,0.4574468085106383,0.42857142857142855,0.29605263157894735,105,45,152,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9696001926571725,0.022785665538144494,0.4048864582094876,6811,292105,10011,9316673,0.1523809523809524,0.10526315789473684,0.1245136186770428,16,0.11428571428571428,0.07894736842105263,0.0933852140077821,12,0.10476190476190476,0.07236842105263158,0.08560311284046693,11,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.2189760396128608,0.1634066170871323,0.2152886123402875,0.4409335284586745,105.90024692824089,65.45766761150313,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,131,0,0,1.0,0.5954198473282443,0.5324675324675324,0.3870967741935484,154,82,217,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",1.0,0.0,0.9865902313126677,0.19503442229329188,0.5293646801767451,97879,403976,87020,29721525,0.3181818181818182,0.22580645161290322,0.2641509433962264,49,0.2792207792207792,0.19815668202764977,0.23180592991913745,43,0.15584415584415584,0.11059907834101383,0.1293800539083558,24,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.42134743345836545,0.3091554883367791,0.43808742816835383,0.5866660519540308,88.60811918390073,44.61764071442221,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,31,0,0,1.0,0.8387096774193549,0.6590909090909091,0.6976744186046512,44,29,43,5,0.16129032258064516,"{'1': 26, '7': 1, '2': 2, '4': 1, '3': 1}",1.0,0.0,0.9797144535157307,0.35558125224000703,0.45696135429430523,52583,95296,62488,4602433,0.6363636363636364,0.6511627906976745,0.6436781609195402,28,0.4318181818181818,0.4418604651162791,0.4367816091954023,19,0.1590909090909091,0.16279069767441862,0.16091954022988506,7,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.06230842075428451,0.03998897273544477,0.0765592400200596,0.0979441763126207,202.87953891605733,155.59036128506557,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.18181818181818182,0.16666666666666666,0.17857142857142858,30,5,28,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",1.0,0.0,0.98365053476301,0.17901423956396975,0.116905923673479,9919,45490,74927,2736864,0.16666666666666666,0.17857142857142858,0.1724137931034483,5,0.1,0.10714285714285714,0.10344827586206896,3,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,167.70091043679133,118.09935253639686,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,3,0,0.0,{'1': 1},,,0.9819092035416058,0.0,0.0,0,1796,3123,97481,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.32126817113711603,0.24448509397348328,0.2831284868817409,0.48857328535395966,119.36033364314169,71.33836963335473,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,48,0,0,1.0,0.625,0.64,0.4714285714285714,50,32,70,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9679501458278253,0.24953813606828273,0.4587507841204409,51192,153955,60398,4649655,0.54,0.38571428571428573,0.45,27,0.48,0.34285714285714286,0.4,24,0.24,0.17142857142857143,0.2,12,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.015143304485504503,0.008095674669606558,0.00809782681418162,0.19229868913857676,142.09985280706252,102.1945932514434,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,12,0,0,1.0,0.25,0.23076923076923078,0.15,13,3,20,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9670477948430293,0.012268139495100076,0.22153574580759047,502,40417,1764,1186117,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot,7,7,0,tumor images only,0.0,0.0,0.0,0.0,166.3300149335691,126.07177731366006,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.0,0.0,0.0,8,0,13,1,0.14285714285714285,"{'1': 6, '2': 1}",,,0.9724829357510371,0.0,0.0,0,19649,2734,694417,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,foot|tibia|fibula,1,1,0,tumor images only,0.37524950099800397,0.23095823095823095,0.9591836734693877,0.23325062034739455,13.0,5.012241328103195,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,1.0,1.0,1.0,1,1,1,0,0.0,{'1': 1},,,0.999960783160289,0.9591836734693877,0.23325062034739455,94,4,309,101993,1.0,1.0,1.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hand,8,8,0,tumor images only,0.15392063859646354,0.11144270302466003,0.14418153812581652,0.18876542233470422,115.57765155080433,92.66027576280696,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,8,0,0,1.0,0.25,0.25,0.2,8,2,10,0,0.0,{'1': 8},,,0.9840238757530745,0.3080302137461831,0.5383391068252036,5750,12917,4931,795602,0.25,0.2,0.2222222222222222,2,0.25,0.2,0.2222222222222222,2,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip bone,10,10,0,tumor images only,0.1319805375818161,0.09873704569007893,0.12149168890530664,0.14452465274957754,161.40892112416435,116.7017602119189,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,10,0,0,1.0,0.3,0.3,0.16666666666666666,10,3,18,0,0.0,{'1': 10},,,0.9696996449399118,0.3027437244600117,0.3364648483118366,12965,29860,25568,955607,0.2,0.1111111111111111,0.14285714285714285,2,0.2,0.1111111111111111,0.14285714285714285,2,0.1,0.05555555555555555,0.07142857142857142,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,hip-joint,2,2,0,tumor images only,0.8605884104014689,0.765461790787305,0.9085773789523539,0.8174960766516833,18.42891539793102,6.013100016929375,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,1.0,2,2,2,0,0.0,{'1': 2},,,0.9931686920162028,0.8917149958574979,0.7987384044526902,10763,1307,2712,190018,1.0,1.0,1.0,2,1.0,1.0,1.0,2,1.0,1.0,1.0,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,humerus,25,25,0,tumor images only,0.37055339722910857,0.26783469975864144,0.3402750475171171,0.5557919918256967,83.46204442373184,55.279219825549404,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,25,0,0,1.0,0.68,0.68,0.6,25,17,30,0,0.0,{'1': 25},,,0.978005496241453,0.3708835866365052,0.746015776837773,32627,55344,11108,2460921,0.64,0.5333333333333333,0.5818181818181818,16,0.52,0.43333333333333335,0.4727272727272727,13,0.16,0.13333333333333333,0.14545454545454545,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,knee-joint,2,2,0,tumor images only,0.7319160481247968,0.5933014819238622,0.7295961798773442,0.7869602631948672,26.96968028396776,7.320053044054438,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,1.0,1.0,0.6666666666666666,2,2,3,0,0.0,{'1': 2},,,0.9880884682562249,0.7230878186968839,0.7805810397553516,6126,2346,1722,194606,1.0,0.6666666666666666,0.8,2,1.0,0.6666666666666666,0.8,2,0.5,0.3333333333333333,0.4,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,radius,7,7,0,tumor images only,0.1692333579248613,0.1202560078494657,0.17363678200073163,0.3905864719731723,124.56840735457145,81.84266405805268,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,7,0,0,1.0,0.5714285714285714,0.4444444444444444,0.2857142857142857,9,4,14,1,0.14285714285714285,"{'1': 6, '3': 1}",,,0.982813426456028,0.08330829326923077,0.16383513074309353,1109,12203,5660,697828,0.3333333333333333,0.21428571428571427,0.2608695652173913,3,0.2222222222222222,0.14285714285714285,0.17391304347826086,2,0.2222222222222222,0.14285714285714285,0.17391304347826086,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,shoulder-joint,2,2,0,tumor images only,0.0,0.0,0.0,0.0,160.17415073062293,106.5533256529822,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,2,0,0,1.0,0.0,0.0,0.0,2,0,3,0,0.0,{'1': 2},,,0.9770391739606934,0.0,0.0,0,4672,1323,198805,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
