subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.41510238649750636,0.29086675859617683,0.6055251054810998,0.380968937566708,153.9023651907225,48.893881582236766,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,18,0,0,1.0,0.9444444444444444,0.775,0.5409836065573771,40,31,61,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9724664379352945,0.5644974689167355,0.3104561038012677,115639,89214,256842,3150977,0.6,0.39344262295081966,0.4752475247524752,24,0.375,0.2459016393442623,0.297029702970297,15,0.15,0.09836065573770492,0.1188118811881188,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.36909724846612646,0.2525145905125854,0.2779010587994908,0.6515704180216909,174.38369550751398,72.63858330926277,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,71,1,1,0.9861111111111112,0.8055555555555556,0.7682926829268293,0.29777777777777775,82,63,225,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9625892179033606,0.3020647429952598,0.6542676042615867,228325,527556,120653,13574154,0.7317073170731707,0.26666666666666666,0.39087947882736157,60,0.6585365853658537,0.24,0.3517915309446254,54,0.1951219512195122,0.07111111111111111,0.10423452768729642,16,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,303,0,0.0,{},0.20855614973262032,0.7914438502673797,0.9817281937633008,0.0,,0,685771,0,36845877,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.06297106937284555,0.04180026445520687,0.05071222428262988,0.4670300100192847,184.9402440193804,108.14653578133873,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,85,9,9,0.9042553191489362,0.5638297872340425,0.5714285714285714,0.2682926829268293,105,60,205,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9518739949202154,0.01946548616655524,0.5436937209161782,17993,906361,15101,17926721,0.09523809523809523,0.04878048780487805,0.06451612903225806,10,0.047619047619047616,0.024390243902439025,0.03225806451612903,5,0.01904761904761905,0.00975609756097561,0.012903225806451613,2,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.1680525221012101,0.11476591708546996,0.14366519883572254,0.518341801000091,169.50621727981664,88.26172795491135,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,122,9,9,0.9312977099236641,0.6641221374045801,0.6558441558441559,0.1663778162911612,154,101,577,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.21818181818181817,0.7818181818181819,0.9686891700688862,0.09222001918897606,0.5179418448165553,187814,1848772,174802,57196996,0.2987012987012987,0.07972270363951472,0.12585499316005472,46,0.24025974025974026,0.06412478336221837,0.1012311901504788,37,0.06493506493506493,0.01733102253032929,0.027359781121751026,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.39065920127857345,0.27203614841672696,0.38053570655914515,0.625467849373576,146.68300821036974,57.62523638432268,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,30,1,1,0.967741935483871,0.8709677419354839,0.8604651162790697,0.34710743801652894,43,37,121,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.1875,0.8125,0.9787083658877712,0.3630651470454457,0.4957104961984439,111750,196046,113684,9011608,0.7674418604651163,0.2727272727272727,0.4024390243902439,33,0.5581395348837209,0.19834710743801653,0.2926829268292683,24,0.18604651162790697,0.06611570247933884,0.0975609756097561,8,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.26549135148497277,0.17629187687780384,0.22993314836259945,0.47177512063556704,263.2344064393231,124.23622376467462,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.6363636363636364,0.5333333333333333,0.17708333333333334,30,16,96,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.0,1.0,0.9699105609192679,0.2754937587481289,0.3747259809132568,62393,164084,104110,5289125,0.5,0.15625,0.23809523809523808,15,0.43333333333333335,0.13541666666666666,0.20634920634920634,13,0.2,0.0625,0.09523809523809523,6,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,124.41300163214237,91.2172774618068,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,1,0,0.0,{'1': 1},,,0.974473355569146,0.0,0.0,0,4967,6123,189614,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.30461459507546756,0.20854459328020933,0.25424747579471135,0.5891190707561291,186.61672742534176,84.70308498303194,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,47,1,1,0.9791666666666666,0.7708333333333334,0.78,0.2867132867132867,50,39,143,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9597314687750932,0.24176971398743632,0.5523228188164772,120888,379125,97984,9035795,0.62,0.21678321678321677,0.32124352331606215,31,0.54,0.1888111888111888,0.27979274611398963,27,0.16,0.055944055944055944,0.08290155440414508,8,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.07106918399726218,0.04936561819752922,0.04937637449864032,0.2461271029366526,155.78760725317494,89.80064743678349,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,11,1,1,0.9166666666666666,0.4166666666666667,0.38461538461538464,0.20833333333333334,13,5,24,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9653324037614384,0.027674071308568228,0.5301743406347788,2372,83340,2102,2320634,0.15384615384615385,0.08333333333333333,0.10810810810810811,2,0.07692307692307693,0.041666666666666664,0.05405405405405406,1,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
