subgroup_field,subgroup_value,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
lesion_size,large_ge_5pct,18,18,0,tumor images only,0.32691687742170106,0.23270167767300856,0.6096638649353424,0.2654319318214183,144.77143491671382,63.51332900761789,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,17,1,1,0.9444444444444444,0.7777777777777778,0.6,0.6511627906976745,40,24,43,7,0.3888888888888889,"{'1': 11, '2': 1, '5': 1, '4': 3, '7': 1, '3': 1}",,,0.9889639221885377,0.6739905367089992,0.1984745530644516,73928,35759,298553,3204432,0.4,0.37209302325581395,0.3855421686746988,16,0.275,0.2558139534883721,0.26506024096385544,11,0.1,0.09302325581395349,0.0963855421686747,4,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,medium_1_to_5pct,72,72,0,tumor images only,0.413403043041036,0.30134004626198085,0.3614839716571814,0.5522843402111722,150.1562249040351,64.21269630813914,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,64,8,8,0.8888888888888888,0.7361111111111112,0.6829268292682927,0.45112781954887216,82,56,133,7,0.09722222222222222,"{'1': 65, '3': 3, '2': 4}",,,0.9814796219749236,0.4243930284223147,0.5517797683521597,192559,261169,156419,13840541,0.6463414634146342,0.39849624060150374,0.4930232558139535,53,0.6219512195121951,0.38345864661654133,0.4744186046511628,51,0.2682926829268293,0.16541353383458646,0.20465116279069767,22,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,normal,187,0,187,tumor images only,,,,,,,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,0,0,0,0.0,0.0,0.0,0.0,0,0,154,0,0.0,{},0.5133689839572193,0.48663101604278075,0.9914914474312452,0.0,,0,319340,0,37212308,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
lesion_size,small_lt_1pct,94,94,0,tumor images only,0.07100141707025527,0.04852620912401368,0.056789326202940575,0.37082973808723263,148.58973857519942,88.2609287305915,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,73,21,21,0.776595744680851,0.48936170212765956,0.4857142857142857,0.3983739837398374,105,51,123,8,0.0851063829787234,"{'2': 6, '1': 86, '3': 1, '4': 1}",,,0.9721590443879552,0.024846984606400332,0.40369855562941925,13360,524331,19734,18308751,0.11428571428571428,0.0975609756097561,0.10526315789473684,12,0.0380952380952381,0.032520325203252036,0.03508771929824561,4,0.02857142857142857,0.024390243902439025,0.02631578947368421,3,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,1,296,131,165,tumor images only,0.18371126045200736,0.13120148615290686,0.17394188561120105,0.4212759198758889,135.20873914964807,73.30361330292243,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,110,21,21,0.8396946564885496,0.5877862595419847,0.5584415584415584,0.2537313432835821,154,86,335,14,0.10687022900763359,"{'1': 117, '2': 9, '3': 2, '4': 2, '5': 1}",0.5212121212121212,0.47878787878787876,0.9837104328967319,0.13671563664562825,0.4200642001456086,152322,961830,210294,58083938,0.2792207792207792,0.12835820895522387,0.17586912065439672,43,0.22077922077922077,0.10149253731343283,0.1390593047034765,34,0.09090909090909091,0.041791044776119404,0.05725971370143149,14,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,2,47,31,16,tumor images only,0.38025215292856884,0.2838421551643222,0.42275995603715477,0.49850044732539944,110.52769457156859,32.649728811116205,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,9,9,0.7096774193548387,0.7096774193548387,0.6976744186046512,0.5818181818181818,43,30,55,4,0.12903225806451613,"{'1': 27, '7': 1, '4': 1, '3': 1, '2': 1}",0.625,0.375,0.9898414949128193,0.4574981440237565,0.34990285405040944,78880,93536,146554,9114118,0.5813953488372093,0.45454545454545453,0.5102040816326531,25,0.46511627906976744,0.36363636363636365,0.40816326530612246,20,0.23255813953488372,0.18181818181818182,0.20408163265306123,10,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
center,3,28,22,6,tumor images only,0.29407564714320916,0.20273071320496697,0.29304756995502274,0.39816287624368046,255.16332347255195,129.57706622807115,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,22,0,0,1.0,0.6363636363636364,0.5,0.31746031746031744,30,15,63,4,0.18181818181818182,"{'1': 18, '4': 1, '3': 2, '2': 1}",0.0,1.0,0.9843701204190046,0.3633532021691391,0.2921568980739086,48645,85233,117858,5367976,0.43333333333333335,0.20634920634920634,0.27956989247311825,13,0.4,0.19047619047619047,0.25806451612903225,12,0.16666666666666666,0.07936507936507936,0.10752688172043011,5,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,ankle-joint,1,1,0,tumor images only,0.0,0.0,0.0,0.0,157.18269473444903,120.40210273888502,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,1,0,0,1.0,0.0,0.0,0.0,1,0,2,0,0.0,{'1': 1},,,0.9996094171578931,0.0,0.0,0,76,6123,194505,0.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,femur,48,48,0,tumor images only,0.3251399584767644,0.23438334690135046,0.29779499053776975,0.4578719395318022,141.93152568262025,69.50706329100166,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,41,7,7,0.8541666666666666,0.6458333333333334,0.64,0.4520547945205479,50,32,73,2,0.041666666666666664,"{'1': 46, '2': 2}",,,0.9788289226036971,0.3285951036796508,0.44570342483277897,97552,199324,121320,9215596,0.54,0.3698630136986301,0.43902439024390244,27,0.48,0.3287671232876712,0.3902439024390244,24,0.18,0.1232876712328767,0.14634146341463414,9,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
anatomy,fibula,12,12,0,tumor images only,0.09137727408214284,0.07141933639984722,0.08252752274440868,0.17151678879403476,126.68903566897069,83.17029994955966,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,9,3,3,0.75,0.3333333333333333,0.3076923076923077,0.2857142857142857,13,4,14,1,0.08333333333333333,"{'1': 11, '2': 1}",,,0.9831986535628089,0.04594307310735798,0.4347340187751453,1945,40390,2529,2363584,0.15384615384615385,0.14285714285714285,0.14814814814814814,2,0.07692307692307693,0.07142857142857142,0.07407407407407407,1,0.07692307692307693,0.07142857142857142,0.07407407407407407,1,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
