threshold,images,tumor_images,normal_images,main_population,mean_tumor_dice,mean_tumor_iou,mean_tumor_precision,mean_tumor_recall,mean_tumor_hd95_px_conditional_defined,mean_tumor_assd_px_conditional_defined,boundary_metric_definition,boundary_metric_eligible_tumor_images,boundary_metric_excluded_tumor_images,boundary_metric_complete_misses,tumor_non_empty_prediction_rate,tumor_overlap_detection_rate,lesion_any_overlap_recall,lesion_any_overlap_precision,gt_lesions,detected_lesions_any_overlap,predicted_lesions,multifocal_tumor_images,multifocal_tumor_image_rate,gt_component_count_histogram,normal_empty_prediction_rate,normal_false_positive_case_rate,pixel_specificity,pixel_precision,pixel_recall,tp_pixels,fp_pixels,fn_pixels,tn_pixels,lesion_one_to_one_iou10_recall,lesion_one_to_one_iou10_precision,lesion_one_to_one_iou10_f1,lesion_tp_one_to_one_iou10,lesion_one_to_one_iou25_recall,lesion_one_to_one_iou25_precision,lesion_one_to_one_iou25_f1,lesion_tp_one_to_one_iou25,lesion_one_to_one_iou50_recall,lesion_one_to_one_iou50_precision,lesion_one_to_one_iou50_f1,lesion_tp_one_to_one_iou50,lesion_matching_definition
0.05,371,184,187,tumor images only,0.16737003209578805,0.10679577881162464,0.11617172492591567,0.7008100585666311,218.6957170809014,103.57361640712786,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,184,0,0,1.0,0.7989130434782609,0.7841409691629956,0.10286783042394015,227,178,1604,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.0,1.0,0.9155108988769274,0.07619176750333073,0.6806811449957789,513610,6227407,240943,67479224,0.3920704845814978,0.05548628428927681,0.09721463681048607,89,0.21585903083700442,0.03054862842892768,0.05352266521026761,49,0.05286343612334802,0.007481296758104738,0.013107591480065538,12,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.1,371,184,187,tumor images only,0.18338901133070182,0.1187778815038335,0.13425015657232353,0.6558950558887736,207.97687694633672,97.94957280638938,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,184,0,0,1.0,0.782608695652174,0.7665198237885462,0.1240199572344975,227,174,1403,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.0,1.0,0.9348734308586157,0.08896029619333189,0.6212035470006746,468731,4800260,285822,68906371,0.40969162995594716,0.06628652886671418,0.11411042944785275,93,0.27312775330396477,0.044191019244476125,0.07607361963190185,62,0.06607929515418502,0.010691375623663579,0.018404907975460124,15,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.15,371,184,187,tumor images only,0.19286902887021848,0.12652949621216358,0.14580745956877708,0.6292518947303187,201.01797564059527,94.31367222311802,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,184,0,0,1.0,0.7717391304347826,0.7533039647577092,0.13046937151949084,227,171,1257,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.0,1.0,0.9437467980323235,0.09681662164437625,0.589030856679385,444455,4146234,310098,69560397,0.41409691629955947,0.07478122513922036,0.12668463611859837,94,0.3039647577092511,0.05489260143198091,0.09299191374663072,69,0.06607929515418502,0.011933174224343675,0.02021563342318059,15,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.2,371,184,187,tumor images only,0.1997383227462109,0.13211968926504036,0.15552944282987627,0.6079282772801947,194.75845327059795,91.75288540161466,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,184,0,0,1.0,0.7554347826086957,0.73568281938326,0.13725490196078433,227,167,1173,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.0053475935828877,0.9946524064171123,0.9501639954212532,0.10410474717334922,0.5656832588300623,426838,3673244,327715,70033387,0.41409691629955947,0.08013640238704177,0.13428571428571429,94,0.3039647577092511,0.058823529411764705,0.09857142857142857,69,0.05726872246696035,0.011082693947144074,0.018571428571428572,13,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.25,371,184,187,tumor images only,0.20218059174091066,0.13450900364509155,0.16144902341442993,0.5891060996246329,189.38555602094414,90.10820285429465,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,181,3,3,0.9836956521739131,0.7391304347826086,0.7180616740088106,0.15307057745187902,227,163,1091,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.0481283422459893,0.9518716577540107,0.9548631927024314,0.11003793507567354,0.5451532231665636,411347,3326882,343206,70379749,0.40969162995594716,0.08524289642529789,0.1411229135053111,93,0.3039647577092511,0.06324472960586618,0.1047040971168437,69,0.07488986784140969,0.015582034830430797,0.025796661608497723,17,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.3,371,184,187,tumor images only,0.20561628025851894,0.137600021306472,0.16762958749885304,0.5760981448452785,186.46056314454302,89.0598801255427,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,180,4,4,0.9782608695652174,0.7228260869565217,0.7048458149779736,0.15972894482090996,227,160,1033,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.06951871657754011,0.93048128342246,0.9582634566488326,0.11507484694907853,0.530160240566269,400034,3076260,354519,70630371,0.40969162995594716,0.09002904162633107,0.14761904761904762,93,0.32158590308370044,0.07066795740561471,0.11587301587301588,73,0.08370044052863436,0.018393030009680542,0.03015873015873016,19,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.35,371,184,187,tumor images only,0.20873956745650182,0.14041130226060675,0.17413538663901068,0.5627207865021906,181.65839364401145,88.21273421604916,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,178,6,6,0.967391304347826,0.7228260869565217,0.7004405286343612,0.16495901639344263,227,159,976,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.09090909090909091,0.9090909090909091,0.961493478110538,0.12080107801682077,0.5168145908902356,389964,2838186,364589,70868445,0.40969162995594716,0.09528688524590163,0.1546134663341646,93,0.3303964757709251,0.07684426229508197,0.12468827930174564,75,0.09251101321585903,0.02151639344262295,0.034912718204488775,21,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.4,371,184,187,tumor images only,0.21184230673085666,0.14340873106660074,0.18175846983440735,0.5495637230049312,181.43935096770485,88.54404311383952,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,177,7,7,0.9619565217391305,0.717391304347826,0.6960352422907489,0.16847826086956522,227,158,920,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.12834224598930483,0.8716577540106952,0.965138645395419,0.12860970627903137,0.5025995523177298,379238,2569513,375315,71137118,0.41409691629955947,0.10217391304347827,0.16390584132519617,94,0.32599118942731276,0.08043478260869565,0.12903225806451613,74,0.10572687224669604,0.02608695652173913,0.041848299912816043,24,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.45,371,184,187,tumor images only,0.2148983973613822,0.14633511173087496,0.18833315507348272,0.5389695210355426,179.64975159175447,88.81915875883013,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,175,9,9,0.9510869565217391,0.7010869565217391,0.6828193832599119,0.1811764705882353,227,155,850,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.1711229946524064,0.8288770053475936,0.9680323741835385,0.13572604703385494,0.49038702384060495,370023,2356226,384530,71350405,0.4185022026431718,0.11176470588235295,0.1764159702878366,95,0.32158590308370044,0.08588235294117647,0.13556174558960074,73,0.1013215859030837,0.027058823529411764,0.04271123491179202,23,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
0.5,371,184,187,tumor images only,0.21720720308458533,0.1486188969044934,0.19388737616733878,0.530822456062909,177.42187181674618,87.52807370604428,conditional mean over tumor images with both GT and prediction non-empty; distances are pixels on the resized evaluation grid (not mm); complete misses are excluded and counted separately,174,10,10,0.9456521739130435,0.6956521739130435,0.6784140969162996,0.1952141057934509,227,154,794,22,0.11956521739130435,"{'1': 162, '2': 11, '3': 5, '4': 4, '5': 1, '7': 1}",0.20855614973262032,0.7914438502673797,0.9700311631391754,0.14079224103694524,0.47969725122025886,361957,2208902,392596,71497729,0.41409691629955947,0.11838790931989925,0.1841332027424094,94,0.32599118942731276,0.09319899244332494,0.14495592556317335,74,0.10572687224669604,0.030226700251889168,0.04701273261508325,24,"maximum-cardinality one-to-one connected-component matching at IoU thresholds 0.10, 0.25, 0.50"
