method,role,comparable_binary_mask_dice,tumor_dice,tumor_iou,small_dice,medium_dice,large_dice,status,main_failure
fully_resnet18_unet_448,fully_supervised_comparison,true,0.4927646892,0.4003588496,0.3456076210,0.6296743370,0.7136130090,comparison_only,not_wsss
binary_layercam_320_sam,wsss_teacher,true,0.2343392222,0.1732056760,0.1121634039,0.3486037144,0.4153105265,best_local_wsss,cam_extent_and_selector_ceiling
pcam_512,wsss_teacher,true,0.2037849950,0.1421240208,0.0265488334,0.3541841314,0.5277550705,rejected,small_lesion_collapse
binary_highres_512,wsss_teacher,true,0.1874351374,0.1355136395,0.1195163340,0.2818050503,0.1646425700,rejected,resolution_without_selector_repair
pcam_sam_iou_selector,wsss_teacher,true,0.1107303744,0.0799414309,0.0087675712,0.1680387987,0.4139690936,rejected,selector_reduced_overlap
counterfactual_diffusion_30k,direct_wsss,true,0.0283110000,,,,,rejected,counterfactual_residual_not_tumor_specific
dense_normal_contrast_anomaly,direct_wsss,true,0.0173850874,0.0094389858,0.0219344325,0.0129186032,0.0114933338,rejected,weak_rank_and_low_overlap
biomedclip_hybrid_generic_cv,direct_wsss_diagnostic,true,0.0172460000,,0.0009120000,0.0125380000,0.1213720000,rejected,opposite_localization_and_border_shortcut
global_local_binary_s2c,direct_wsss,true,0.0150625820,0.0102370580,0.0200348853,0.0122785050,0.0002324175,rejected,nonempty_but_spatially_unrelated
global_local_hybrid_s2c,direct_wsss,true,0.0109211562,0.0065322868,0.0038895206,0.0132551708,0.0383058608,rejected,proposal_and_selector_failure
synrad_consensus,direct_wsss,true,0.0038380000,0.0021760000,0.0058360000,0.0001170000,0.0082860000,rejected,real_image_outer_border_shortcut
masked_healthy_inpainting,direct_wsss,true,0.0005390000,0.0002770000,0.0010470000,0.0000000000,0.0000420000,rejected,anatomical_reconstruction_residual
overlapping_local_view_mil,direct_wsss,true,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,rejected,lesion_anticorrelation_and_border_shortcut
static_13_family_consensus,postfreeze_diagnostic,true,0.2154230000,,0.1135350000,0.3095420000,0.3710280000,rejected,agreement_does_not_identify_best_family
grouped_cv_geometry_family_selector,gt_diagnostic_non_deployable,true,0.2204400000,,0.0823110000,0.3631670000,0.3708720000,rejected,geometry_features_do_not_predict_oracle_family
gt_per_image_13_family_oracle,gt_oracle_non_deployable,true,0.3841070000,,0.2199940000,0.5323370000,0.6482190000,diagnostic_upper_bound,candidate_extent_still_limits_small_lesions
k32_healthy_feature_density,ranking_diagnostic,false,0.0240370000,,0.0057250000,,,rejected,healthy_rarity_not_tumor_specific
feature_normal_replacement_nrce,ranking_diagnostic,false,0.0233730000,,0.0024630000,0.0263550000,0.1206380000,rejected,causal_logit_drop_not_spatial_tumor_evidence
causal_patch_full,ranking_diagnostic,false,0.0142930000,,0.0017150000,,,rejected,true_area_overlap_near_zero
